 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,520,829 ","19,231,711 ","3,280,676 ","1,102,531 ","2,178,145 ","10,201,131 ","2,973,101 ","7,228,030 ","3,240,153 ","1,325,295 ","1,914,858 ","9,030,580 ","3,679,332 ","5,351,248 "
公共計,"3,195,161 ","8,914,160 ","850,114 ","180,739 ","669,375 ","2,588,696 ","481,465 ","2,107,231 ","2,345,047 ","1,232,983 ","1,112,064 ","6,325,464 ","3,414,393 ","2,911,071 "
ドルフィン,"6,307 ","24,759 ",-,-,-,-,-,-,"6,307 ","6,307 ",-,"24,759 ","24,759 ",-
芝浦ふ頭,"61,887 ","169,013 ",-,-,-,-,-,-,"61,887 ","1,821 ","60,066 ","169,013 ","4,198 ","164,815 "
芝浦物揚場,"9,046 ","24,434 ",-,-,-,-,-,-,"9,046 ","6,051 ","2,995 ","24,434 ","17,214 ","7,220 "
日の出ふ頭,"1,600 ","8,425 ",-,-,-,-,-,-,"1,600 ",-,"1,600 ","8,425 ",-,"8,425 "
竹芝ふ頭,"9,381 ","22,360 ",-,-,-,-,-,-,"9,381 ","5,883 ","3,498 ","22,360 ","14,729 ","7,631 "
品川岸壁,"470,189 ","1,402,600 ","249,943 ","59,756 ","190,187 ","801,498 ","157,732 ","643,766 ","220,246 ","131,376 ","88,870 ","601,102 ","359,438 ","241,664 "
 品川コンテナ,"244,202 ","792,261 ","244,196 ","59,467 ","184,729 ","787,335 ","156,033 ","631,302 ",6 ,6 ,-,"4,926 ","2,466 ","2,460 "
 品川外貿,"5,747 ","14,163 ","5,747 ",289 ,"5,458 ","14,163 ","1,699 ","12,464 ",-,-,-,-,-,-
 品川内貿,"220,240 ","596,176 ",-,-,-,-,-,-,"220,240 ","131,370 ","88,870 ","596,176 ","356,972 ","239,204 "
月島ふ頭,"1,966 ","6,665 ",-,-,-,-,-,-,"1,966 ",908 ,"1,058 ","6,665 ","3,359 ","3,306 "
10号西岸壁,"522,643 ","1,425,849 ",-,-,-,-,-,-,"522,643 ","323,878 ","198,765 ","1,425,849 ","898,624 ","527,225 "
10号東岸壁,"33,149 ","89,700 ",-,-,-,-,-,-,"33,149 ",-,"33,149 ","89,700 ",226 ,"89,474 "
東京港フェリーふ頭,"938,130 ","2,477,315 ",-,-,-,-,-,-,"938,130 ","471,845 ","466,285 ","2,477,315 ","1,280,955 ","1,196,360 "
辰巳ふ頭,"32,963 ","88,619 ",-,-,-,-,-,-,"32,963 ","15,230 ","17,733 ","88,619 ","38,998 ","49,621 "
青海コンテナふ頭（公共）,"570,371 ","1,728,104 ","550,888 ","120,983 ","429,905 ","1,668,753 ","323,733 ","1,345,020 ","19,483 ","12,504 ","6,979 ","59,351 ","43,205 ","16,146 "
大井水産物ふ頭,50 ,50 ,-,-,-,-,-,-,50 ,50 ,-,50 ,50 ,-
大井食品ふ頭（OL）,"24,373 ","61,186 ","17,443 ",-,"17,443 ","46,936 ",-,"46,936 ","6,930 ",-,"6,930 ","14,250 ",-,"14,250 "
大井食品ふ頭（OM）,"7,840 ","22,872 ","7,840 ",-,"7,840 ","22,872 ",-,"22,872 ",-,-,-,-,-,-
大井食品ふ頭（ON）,650 ,650 ,-,-,-,-,-,-,650 ,650 ,-,650 ,650 ,-
若洲内貿ふ頭,"54,446 ","162,537 ",-,-,-,-,-,-,"54,446 ","38,128 ","16,318 ","162,537 ","117,142 ","45,395 "
15号地木材ふ頭,-,"1,432 ",-,-,-,"1,432 ",-,"1,432 ",-,-,-,-,-,-
若洲建材ふ頭,"46,500 ","138,633 ",-,-,-,-,-,-,"46,500 ","1,400 ","45,100 ","138,633 ","8,172 ","130,461 "
大井建材ふ頭,"115,005 ","289,469 ",-,-,-,-,-,-,"115,005 ",-,"115,005 ","289,469 ",-,"289,469 "
城南島建設発生土ふ頭,"150,930 ","422,970 ",-,-,-,-,-,-,"150,930 ","150,930 ",-,"422,970 ","422,970 ",-
中央防波堤内側ばら物ふ頭,"32,355 ","67,506 ","24,000 ",-,"24,000 ","47,205 ",-,"47,205 ","8,355 ","3,308 ","5,047 ","20,301 ","9,661 ","10,640 "
中央防波堤内側建設発生土ふ頭,"13,173 ","46,669 ",-,-,-,-,-,-,"13,173 ","13,173 ",-,"46,669 ","46,669 ",-
中央防波堤内側内貿ふ頭,"92,207 ","232,343 ",-,-,-,-,-,-,"92,207 ","49,541 ","42,666 ","232,343 ","123,374 ","108,969 "
東京港埠頭㈱計,"2,322,323 ","7,332,452 ","2,215,986 ","878,574 ","1,337,412 ","7,039,607 ","2,376,520 ","4,663,087 ","106,337 ","43,710 ","62,627 ","292,845 ","120,844 ","172,001 "
青海コンテナふ頭(埠頭㈱),"440,968 ","1,443,578 ","427,058 ","143,305 ","283,753 ","1,406,154 ","380,168 ","1,025,986 ","13,910 ","13,910 ",-,"37,424 ","37,004 ",420 
お台場ライナーふ頭,"66,345 ","189,510 ","62,286 ","59,203 ","3,083 ","174,320 ","147,196 ","27,124 ","4,059 ","1,149 ","2,910 ","15,190 ","4,150 ","11,040 "
大井コンテナふ頭,"1,815,010 ","5,699,364 ","1,726,642 ","676,066 ","1,050,576 ","5,459,133 ","1,849,156 ","3,609,977 ","88,368 ","28,651 ","59,717 ","240,231 ","79,690 ","160,541 "
民間計,"1,003,345 ","2,985,099 ","214,576 ","43,218 ","171,358 ","572,828 ","115,116 ","457,712 ","788,769 ","48,602 ","740,167 ","2,412,271 ","144,095 ","2,268,176 "
,,,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
