事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
0,平成21,2009,4239,2429,107767,104518,1810,118300,114938
0,平成22,2010,3745,2029,105097,101277,1716,118955,115466
0,平成23,2011,3811,1942,99482,95667,1869,127016,121456
1,保護施設,Public assistance facilities,38,14,1161,1007,24,1252,1197
2,救護施設,Relief facilities,10,-,-,-,10,966,955
2,更生施設,Rehabilitation facilities,11,9,761,771,2,226,199
2,医療保護施設,Medical facilities for persons requiring public assistance,11,-,-,-,11,-,-
2,宿泊提供施設（生活保護法）,Lodging ( Public Assistance Act ),6,5,400,236,1,60,43
1,老人福祉施設,Welfare facilities for the elderly,269,197,918,734,72,5342,5228
2,養護老人ホーム(一般）,Nursing homes (general),29,1,466,382,28,3021,3008
2,養護老人ホーム(盲),Nursing homes (visually impaired),1,-,-,-,1,100,100
2,軽費老人ホーム（A型),Low-cost homes (type A),9,-,-,-,9,660,658
2,軽費老人ホーム（B型),Low-cost homes (type B),4,2,150,75,2,70,54
2,軽費老人ホーム （ケアハウス）,Low-cost homes (care house),36,6,302,277,30,1491,1408
2,老人福祉センター（A型),Welfare centers (type A),72,71,-,-,1,-,-
2,老人福祉センター（B型),Welfare centers (type B),118,117,-,-,1,-,-
2,老人(在宅）介護支援センター,Inform care support centers,-,-,-,-,-,-,-
1,障害者支援施設等,Support facilities for persons with impairments， etc.,197,75,2151,845,122,3695,2711
2,障害者支援施設,Support facilities  ,54,12,830,822,42,2251,2596
2,地域活動支援センター,Local activity support centers,129,60,1298,-,69,1308,-
2,福祉ホーム,Group homes ,14,3,23,23,11,136,115
1,旧法指定による身体障害者更生援護施設,Rehabilitation homes for the physically disabled under the former law,20,6,360,126,14,350,331
2,肢体不自由者更生施設,Facilities for the crippled,1,1,50,19,-,-,-
2,視覚障害者更生施設,Facilities for the visually disabled,-,-,-,-,-,-,-
2,聴覚・言語障害者更生施設,Facilities for auricular or speech deficiency,-,-,-,-,-,-,-
2,内部障害者更生施設,Facilities for cardiac or pulmonary function insufficiency,2,1,140,21,1,62,46
2,身体障害者療護施設,Facilities for the physically disabled,1,-,-,-,1,10,10
2,身体障害者入所授産施設 a),VTF for the physically disabled (inmates)  a),3,-,-,-,3,118,108
2,身体障害者通所授産施設 a),VTF for the physically disabled (Only commuting)  a),3,1,20,1,2,27,23
2,身体障害者小規模通所授産施設 a),VTF for the physically disabled (Only commuting)  a),7,-,-,-,7,133,144
2,身体障害者福祉工場,Facilities for the physically disabled,3,3,150,85,-,-,-
1,旧法指定による知的障害者援護施設,Institutions for protection for the intellectually disabled under the former law,45,18,779,654,27,986,1012
2,知的障害者入所更生施設,Rehabilitation for the intellectually disabled (inmates),4,-,-,-,4,284,285
