年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
平成20,2008,歳入,Revenue,総数,Total,6856000,7007089,6791028
平成21,2009,歳入,Revenue,総数,Total,6598000,6687407,6417085
平成22,2010,歳入,Revenue,総数,Total,6264000,6254444,5892680
平成23,2011,歳入,Revenue,総数,Total,6236000,6320233,5970153
平成24,2012,歳入,Revenue,総数,Total,6149000,6225103,5955489
平成24,2012,歳入,Revenue,都税,Metropolitan taxes,4119511,4223551,4247147
平成24,2012,歳入,Revenue,地方譲与税,Local transfer tax,270791,284034,285440
平成24,2012,歳入,Revenue,助成交付金,Subsidies and grants,29,29,33
平成24,2012,歳入,Revenue,地方特例交付金,Special local grants,5503,5503,5557
平成24,2012,歳入,Revenue,特別交付金,Special grants,3806,3806,3663
平成24,2012,歳入,Revenue,分担金及負担金,Beneficiary contribution,18069,18522,17053
平成24,2012,歳入,Revenue,使用料及手数料,Charges and fees,76671,77031,70738
平成24,2012,歳入,Revenue,国庫支出金,National treasury disbursements,369838,429085,374365
平成24,2012,歳入,Revenue,財産収入,Revenue from property,81364,81905,28687
平成24,2012,歳入,Revenue,寄附金,Contributions,191,1691,1587
平成24,2012,歳入,Revenue,繰入金,Funds transferred,340299,227491,158036
平成24,2012,歳入,Revenue,諸収入,Miscellaneous,369433,372796,407812
平成24,2012,歳入,Revenue,都債,Metropolitan bonds,493495,464080,319792
平成24,2012,歳入,Revenue,繰越金,Balance brought forward,1,35580,35580
平成20,2008,歳出,Expenditure,総数,Total,6856000,7007089,6750078
平成21,2009,歳出,Expenditure,総数,Total,6598000,6687407,6395642
平成22,2010,歳出,Expenditure,総数,Total,6264000,6254444,5869941
平成23,2011,歳出,Expenditure,総数,Total,6236000,6320233,5934573
平成24,2012,歳出,Expenditure,総数,Total,6149000,6225103,5902977
平成24,2012,歳出,Expenditure,議会費,Metropolitan assembly,6056,5995,5523
平成24,2012,歳出,Expenditure,総務費,General services,177798,188108,174106
平成24,2012,歳出,Expenditure,徴税費,Tax collection,64582,62457,60531
平成24,2012,歳出,Expenditure,生活文化費,Citizens and cultural affairs,30450,30668,28453
平成24,2012,歳出,Expenditure,スポーツ振興費,Sports promotion,23828,22477,20495
平成24,2012,歳出,Expenditure,都市整備費,Urban development,158360,191233,166324
平成24,2012,歳出,Expenditure,環境費,Environmental protection,39464,39031,33189
平成24,2012,歳出,Expenditure,福祉保健費,Welfare and public health,947195,986474,925291
平成24,2012,歳出,Expenditure,産業労働費,Industry and labor ,418058,427443,358813
平成24,2012,歳出,Expenditure,土木費,Civil engineering works,472116,459582,384684
平成24,2012,歳出,Expenditure,港湾費,Port and harbor,77464,73851,64029
平成24,2012,歳出,Expenditure,教育費,Education,749748,730535,721683
平成24,2012,歳出,Expenditure,学務費,School affairs,201613,201554,194144
平成24,2012,歳出,Expenditure,警察費,Police,625069,614659,597535
平成24,2012,歳出,Expenditure,消防費,Fire fighting,246479,248532,241370
平成24,2012,歳出,Expenditure,公債費,Debt services,466278,456661,456582
平成24,2012,歳出,Expenditure,諸支出金,Miscellaneous,1439442,1480842,1470226
平成24,2012,歳出,Expenditure,予備費,Reserve funds,5000,5000,-
,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成20～24年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2008-2012 ),,,,,,,,
注．1) 最終予算額は， 前年度からの繰越額を含む。,,,,,,,,
Note.1) The final budget includes the account brought from the previous fiscal year.,,,,,,,,
注．2) 歳出における予備費の決算額は各款への充当額の合計であり， 再掲である。,,,,,,,,
Note.2) Number in parenthesis refer to appropriation for other items.　　,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
