地域階層,地域コード,項番 Item number,地域,District,マーク Mark,総数 Total,交通事故 Traffic accidents,火災事故 Fire accidents,運動競技事故 Sports accidents,自然災害事故 Natural disasters accidents,水難事故 Drowning accidents,労働災害事故 Labor accidents,一般負傷 Injuries in general,自損行為 Self - immolations,加害 Crimes,急病 Acute illness,転院搬送 Change hospital,医師搬送 with Doctor,資器材等輸送 Materials， implements,その他 Other responses
0,13000,,総数,Tokyo-to,,741702,61890,3526,5167,30,938,4668,122661,5709,7589,476955,42356,287,676,9250
1,13100,,区部,All ku,,546743,43895,2688,3458,27,770,3524,90506,4069,6165,353940,30073,230,419,6979
2,13101,1,千代田区,Chiyoda-ku,,13121,1176,58,85,-,2,151,2536,47,149,8222,534,-,14,147
2,13102,2,中央区,Chuo-ku,,12441,1354,74,56,2,15,167,2162,59,116,7767,499,1,-,169
2,13103,3,港区,Minato-ku,,22323,2033,102,96,-,12,239,3711,136,408,14125,1130,-,6,325
2,13104,4,新宿区,Shinjuku-ku,,33638,2053,189,273,1,14,200,5643,236,695,21554,2217,2,7,554
2,13105,5,文京区,Bunkyo-ku,,11786,870,49,134,-,12,61,1873,60,87,6616,1855,1,9,159
2,13106,6,台東区,Taito-ku,,18355,1324,81,44,-,21,127,3445,120,330,11961,549,-,1,352
2,13107,7,墨田区,Sumida-ku,,16626,1392,67,75,1,19,104,2484,101,200,10431,1574,-,9,169
2,13108,8,江東区,Koto-ku,,27389,2319,100,249,4,42,283,4204,198,251,17923,1298,157,23,338
2,13109,9,品川区,Shinagawa-ku ,,20716,1536,107,159,-,51,158,3586,151,205,13790,766,1,8,198
2,13110,10,目黒区,Meguro-ku,,12569,1171,64,97,1,11,70,2241,83,81,7873,686,13,27,151
2,13111,11,大田区,Ota-ku ,,38082,3131,178,199,2,113,318,6391,231,345,24679,2115,-,17,363
2,13112,12,世田谷区,Setagaya-ku,,39845,3508,187,406,-,31,195,6925,284,320,25516,1894,16,102,461
2,13113,13,渋谷区,Shibuya-ku,,19608,1580,102,147,3,9,191,3427,134,279,12503,892,28,19,294
2,13114,14,中野区,Nakano-ku,,16790,1107,90,69,2,23,61,2741,145,187,11209,891,1,15,249
2,13115,15,杉並区,Suginami-ku,,25972,2286,135,187,1,26,106,4549,224,186,16676,1127,3,47,419
2,13116,16,豊島区,Toshima-ku,,19825,1157,100,105,2,17,129,3615,156,324,13100,781,1,9,329
2,13117,17,北区,Kita-ku,,20388,1207,112,121,-,30,73,3371,138,167,13899,976,-,1,293
2,13118,18,荒川区,Arakawa-ku ,,12794,805,71,53,1,18,52,2052,84,128,8154,1193,3,20,160
2,13119,19,板橋区,Itabashi-ku,,30155,2406,153,147,2,35,154,4587,224,266,19701,2100,1,28,351
2,13120,20,練馬区,Nerima-ku,,32986,2757,145,175,2,36,140,5148,271,243,21609,2103,-,12,345
2,13121,21,足立区,Adachi-ku,,40051,3515,215,204,1,60,210,6040,353,452,26093,2408,1,16,483
2,13122,22,葛飾区,Katsushika-ku,,25697,2117,132,135,-,64,115,4196,259,317,16871,1246,-,15,230
2,13123,23,江戸川区,Edogawa-ku ,,35586,3091,177,242,2,109,220,5579,375,429,23668,1239,1,14,440
3,,,消防事務受託地区,Suburban fire service entrusted districts,,194560,17896,835,1708,3,166,1144,32151,1639,1423,122999,12024,53,257,2262
3,,,その他,Others,※,399,99,3,1,-,2,-,4,1,1,16,259,4,-,9
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-19  地域別種類別救急件数 （平成24年） 20-19  EMERGENCY CASES BY DISTRICT AND KIND ( 2012 ),,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.,,,,,,,,,,,,,,,,,,,,
注) ※東京消防庁管轄区域以外の地域をいう。,,,,,,,,,,,,,,,,,,,,
Note: ※Districts outside the jurisdiction of the Tokyo Fire Department.,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 「東京消防庁統計書」 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区・その他),,,,,,,,,,,,,,,,,,,,
