年,月,日,Month,Day,Year,回数 N-th time,人口 Population,選挙当日有権者数 Eligible voters as of election day,投票者数 Voters 1),議員定数 Number of seats,議員1人当たり人口 Population per representative,議員1人当たり有権者数 Eligible voters per representative,投票率 Voter turnout (%)
平成12,6,25,June,25,2000,42,12014246,9748419,5894194,42,286053.4762,232105,60.46
平成15,11,9,Nov.,9,2003,43,12428075,10074352,5878111,42,295907,239866,58.35
平成17,9,11,Sept.,11,2005,44,12591624,10242560,6718142,42,299801,243870,65.59
平成21,8,30,Aug.,30,2009,45,13003742,10601391,7035805,42,309613,252414,66.37
平成24,12,16,Dec.,16,2012,46,13136914,10720874,6668474,42,312784,255259,62.2
,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,
22-2  選挙別人口，有権者数及び投票率 (1) 衆議院議員選挙 (平成12～24年) 22-2  POPULATION， ELECTORATE， AND VOTER TURNOUT BY ELECTION (1) ELECTION OF MEMBERS OF THE HOUSE OF REPRESENTATIVES ( 2000-2012 ),,,,,,,,,,,,,
注1) 投票者数は小選挙区における数，また議員定数は小選挙区定数と比例代表選挙区定数とを合計した数である。,,,,,,,,,,,,,
Note: 1) Number of voters is that of single-seat constituencies， and number of seats is the sum of single-seat constituencies and proportional representation constituencies.,,,,,,,,,,,,,
資料：都選挙管理委員会事務局選挙課 Source: Tokyo Metropolitan Election Administration Commission,,,,,,,,,,,,,
