年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成20,2008,0,13000,,東京都,Tokyo-to,9298,17958,11914,2529,871,1658,216,3003,691,1290,1001,21,811,325,33,453,3097
平成21,2009,0,13000,,東京都,Tokyo-to,9112,18212,11689,2441,838,1603,212,2949,694,1265,973,17,814,310,33,471,3076
平成22,2010,0,13000,,東京都,Tokyo-to,9019,18751,11481,2380,800,1580,219,2966,687,1285,977,17,820,306,33,481,2925
平成23,2011,0,13000,,東京都,Tokyo-to,8880,19311,11370,2308,761,1547,222,2925,683,1259,966,17,834,303,35,496,2861
平成24,2012,0,13000,,東京都,Tokyo-to,8763,19783,10960,2243,740,1503,257,2893,684,1230,962,17,841,296,37,508,2875
平成24,2012,1,13100,,区部,All ku,6390,15114,8405,1823,674,1149,114,1855,544,934,360,17,660,214,25,421,1970
平成24,2012,2,13101,1,千代田区,Chiyoda-ku,161,165,163,35,5,30,-,78,48,23,7,-,55,18,1,36,34
平成24,2012,2,13102,2,中央区,Chuo-ku,158,502,216,49,10,39,1,94,59,31,4,-,34,9,-,25,35
平成24,2012,2,13103,3,港区,Minato-ku,195,888,369,135,6,129,4,125,66,49,10,-,75,30,1,44,87
平成24,2012,2,13104,4,新宿区,Shinjuku-ku,287,801,469,111,28,83,2,243,38,160,36,9,90,39,3,48,93
平成24,2012,2,13105,5,文京区,Bunkyo-ku,127,266,244,26,12,14,2,44,17,23,2,2,16,1,1,14,81
平成24,2012,2,13106,6,台東区,Taito-ku,200,321,244,239,32,207,3,417,73,176,166,2,28,5,-,23,40
平成24,2012,2,13107,7,墨田区,Sumida-ku,233,399,322,60,37,23,3,53,20,21,12,-,21,6,1,14,50
平成24,2012,2,13108,8,江東区,Koto-ku,272,450,387,69,29,40,5,54,21,24,9,-,51,22,3,26,109
平成24,2012,2,13109,9,品川区,Shinagawa-ku,225,508,379,67,31,36,8,75,47,22,6,-,16,4,1,11,71
平成24,2012,2,13110,10,目黒区,Meguro-ku,161,608,265,41,18,23,1,20,10,8,2,-,15,1,-,14,54
平成24,2012,2,13111,11,大田区,Ota-ku,438,800,542,111,51,60,24,85,6,65,14,-,17,9,2,6,120
平成24,2012,2,13112,12,世田谷区,Setagaya-ku,424,1347,663,101,37,64,10,17,2,12,1,2,28,4,6,18,161
平成24,2012,2,13113,13,渋谷区,Shibuya-ku,179,1768,254,112,15,97,1,118,59,52,6,1,79,28,3,48,61
平成24,2012,2,13114,14,中野区,Nakano-ku,219,470,321,45,26,19,2,8,3,3,2,-,12,1,-,11,56
平成24,2012,2,13115,15,杉並区,Suginami-ku,310,718,419,49,28,21,29,16,5,9,2,-,15,1,-,14,92
平成24,2012,2,13116,16,豊島区,Toshima-ku,234,663,285,91,30,61,1,183,22,141,20,-,41,18,-,23,56
平成24,2012,2,13117,17,北区,Kita-ku,265,437,293,63,35,28,-,30,12,10,8,-,14,-,2,12,79
平成24,2012,2,13118,18,荒川区,Arakawa-ku,159,280,193,40,31,9,2,59,8,11,40,-,7,-,-,7,44
平成24,2012,2,13119,19,板橋区,Itabashi-ku,361,630,433,77,40,37,4,19,1,14,3,1,5,2,-,3,116
平成24,2012,2,13120,20,練馬区,Nerima-ku,423,810,486,93,32,61,3,7,4,3,-,-,11,3,-,8,155
平成24,2012,2,13121,21,足立区,Adachi-ku,515,881,526,62,47,15,2,44,4,38,2,-,17,11,-,6,139
平成24,2012,2,13122,22,葛飾区,Katsushika-ku,368,621,430,73,45,28,1,24,15,4,5,-,3,1,-,2,95
平成24,2012,2,13123,23,江戸川区,Edogawa-ku,476,781,502,74,49,25,6,42,4,35,3,-,10,1,1,8,142
平成24,2012,1,13200,,市部,All shi,2292,4555,2511,373,66,307,60,332,128,157,47,-,169,73,12,84,844
平成24,2012,2,13201,1,八王子市,Hachioji-shi,328,649,339,41,4,37,13,66,25,35,6,-,24,13,3,8,24
平成24,2012,2,13202,2,立川市,Tachikawa-shi,111,264,127,19,4,15,-,40,16,22,2,-,16,11,1,4,64
平成24,2012,2,13203,3,武蔵野市,Musashino-shi,101,341,109,19,6,13,-,12,5,6,1,-,15,7,-,8,37
平成24,2012,2,13204,4,三鷹市,Mitaka-shi,92,155,100,19,5,14,3,2,2,-,-,-,3,-,-,3,37
平成24,2012,2,13205,5,青梅市,Ome-shi,106,152,82,21,-,21,7,47,2,24,21,-,1,-,-,1,43
平成24,2012,2,13206,6,府中市,Fuchu-shi,136,239,170,28,5,23,1,21,14,7,-,-,18,9,3,6,59
平成24,2012,2,13207,7,昭島市,Akishima-shi,76,136,69,9,3,6,1,12,7,5,-,-,4,2,-,2,30
平成24,2012,2,13208,8,調布市,Chofu-shi,109,240,147,21,6,15,8,8,5,3,-,-,8,-,4,4,47
平成24,2012,2,13209,9,町田市,Machida-shi,201,468,238,31,3,28,4,29,22,6,1,-,14,10,-,4,18
平成24,2012,2,13210,10,小金井市,Koganei-shi,58,109,68,5,1,4,-,2,-,2,-,-,2,-,-,2,30
平成24,2012,2,13211,11,小平市,Kodaira-shi,114,165,109,15,2,13,2,5,1,4,-,-,3,-,-,3,44
平成24,2012,2,13212,12,日野市,Hino-shi,84,162,88,6,-,6,3,2,1,1,-,-,2,-,-,2,41
平成24,2012,2,13213,13,東村山市,Higashimurayama-shi,84,168,108,8,2,6,-,11,6,5,-,-,1,-,-,1,33
平成24,2012,2,13214,14,国分寺市,Kokubunji-shi,48,126,70,8,2,6,-,7,5,2,-,-,1,-,-,1,23
平成24,2012,2,13215,15,国立市,Kunitachi-shi,47,103,44,10,2,8,1,6,5,1,-,-,1,-,-,1,22
平成24,2012,2,13218,16,福生市,Fussa-shi,45,98,38,2,-,2,-,4,1,2,1,-,1,-,-,1,15
平成24,2012,2,13219,17,狛江市,Komae-shi,45,71,49,6,4,2,-,1,-,1,-,-,2,-,-,2,19
平成24,2012,2,13220,18,東大和市,Higashiyamato-shi,58,91,59,10,2,8,-,5,-,5,-,-,2,-,-,2,20
平成24,2012,2,13221,19,清瀬市,Kiyose-shi,44,81,48,5,4,1,-,-,-,-,-,-,1,-,-,1,24
平成24,2012,2,13222,20,東久留米市,Higashikurume-shi,51,100,71,12,2,10,-,1,-,1,-,-,1,-,-,1,31
平成24,2012,2,13223,21,武蔵村山市,Musashimurayama-shi,36,68,39,6,1,5,3,4,-,4,-,-,14,12,-,2,24
平成24,2012,2,13224,22,多摩市,Tama-shi,60,125,80,24,1,23,1,9,5,4,-,-,20,9,-,11,42
平成24,2012,2,13225,23,稲城市,Inagi-shi,38,56,49,12,2,10,1,1,1,-,-,-,2,-,-,2,29
平成24,2012,2,13227,24,羽村市,Hamura-shi,47,93,31,6,-,6,10,4,3,1,-,-,3,-,-,3,16
平成24,2012,2,13228,25,あきる野市,Akiruno-shi,61,82,38,10,-,10,2,29,-,14,15,-,4,-,-,4,29
平成24,2012,2,13229,26,西東京市,Nishitokyo-shi,112,213,141,20,5,15,-,4,2,2,-,-,6,-,1,5,43
平成24,2012,1,13300,,郡部,All gun,44,56,31,20,-,20,43,87,7,27,53,-,10,9,-,1,20
平成24,2012,1,13500,,島部,All islands,37,58,13,27,-,27,40,619,5,112,502,-,2,-,-,2,41
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,
19-7  環境衛生営業施設数 (平成20～平成24年度末) 19-7  BUSINESS FACILITIES REGULATED BY THE ENVIRONMENT AND HEALTH ACT( End of Fiscal Years 2008-2012 )   ,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,
