年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成21,2009,0,13000,,東京都,Tokyo-to,4756419,4460007,3599842,180973,85258,592240,1695,296412,3698206,913970,355841,1140705,142216,142332
平成22,2010,0,13000,,東京都,Tokyo-to,4643734,4347524,3499336,170675,87962,587849,1701,296211,3597628,893354,353381,1107557,128894,128894
平成23,2011,0,13000,,東京都,Tokyo-to,4609819,4313744,3471628,157942,92360,590255,1559,296076,3574420,893461,414080,1063725,117991,115342
平成23,2011,1,13100,,区部,All ku　,3385358,3178449,2698312,80917,62206,337014,-,206910,2726964,535515,405180,605434,16256,16256
平成23,2011,2,13101,1,千代田区,Chiyoda-ku ,21561,20906,16353,727,412,3413,-,655,…,…,…,…,…,…
平成23,2011,2,13102,2,中央区,Chuo-ku,47538,42964,33778,1746,1207,6234,-,4574,…,…,…,…,…,…
平成23,2011,2,13103,3,港区,Minato-ku ,77349,71226,50729,2599,2021,15877,-,6123,…,…,…,…,…,…
平成23,2011,2,13104,4,新宿区,Shinjuku-ku,97463,90915,70746,3620,2549,14001,-,6548,…,…,…,…,…,…
平成23,2011,2,13105,5,文京区,Bunkyo-ku ,58865,52850,42158,2000,1237,7455,-,6015,…,…,…,…,…,…
平成23,2011,2,13106,6,台東区,Taito-ku ,58314,53124,42644,3323,1431,5726,-,5190,…,…,…,…,…,…
平成23,2011,2,13107,7,墨田区,Sumida-ku,71677,64493,53692,2327,1457,7017,-,7184,…,…,…,…,…,…
平成23,2011,2,13108,8,江東区,Koto-ku,133084,117433,93279,4649,3514,15991,-,15651,…,…,…,…,…,…
平成23,2011,2,13109,9,品川区,Shinagawa-ku,101563,91897,70253,3364,2089,16190,-,9666,…,…,…,…,…,…
平成23,2011,2,13110,10,目黒区,Meguro-ku,76165,63959,50220,2747,2263,8730,-,12206,…,…,…,…,…,…
平成23,2011,2,13111,11,大田区,Ota-ku,176289,163735,132602,5913,4242,20978,-,12554,…,…,…,…,…,…
平成23,2011,2,13112,12,世田谷区,Setagaya-ku,231769,222991,170686,7708,6735,37863,-,8778,…,…,…,…,…,…
平成23,2011,2,13113,13,渋谷区,Shibuya-ku,70479,67843,52484,2989,1334,11036,-,2636,…,…,…,…,…,…
平成23,2011,2,13114,14,中野区,Nakano-ku ,88233,72020,58856,2833,2549,7782,-,16213,…,…,…,…,…,…
平成23,2011,2,13115,15,杉並区,Suginami-ku,146267,139657,98009,4808,4375,32464,-,6610,…,…,…,…,…,…
平成23,2011,2,13116,16,豊島区,Toshima-ku,79445,75265,57984,2916,2034,12332,-,4180,…,…,…,…,…,…
平成23,2011,2,13117,17,北区,Kita-ku,92924,85293,66244,3264,2288,13497,-,7631,…,…,…,…,…,…
平成23,2011,2,13118,18,荒川区,Arakawa-ku,58892,47609,43720,2350,1241,298,-,11283,…,…,…,…,…,…
平成23,2011,2,13119,19,板橋区,Itabashi-ku,147610,131270,108851,4343,3774,14302,-,16340,…,…,…,…,…,…
平成23,2011,2,13120,20,練馬区,Nerima-ku,186350,175374,130321,6393,4632,34029,-,10976,…,…,…,…,…,…
平成23,2011,2,13121,21,足立区,Adachi-ku,173141,158554,140275,703,3414,14161,-,14587,…,…,…,…,…,…
平成23,2011,2,13122,22,葛飾区,Katsushika-ku,117839,108895,85019,4009,2774,17093,-,8944,…,…,…,…,…,…
平成23,2011,2,13123,23,江戸川区,Edogawa-ku,173373,161008,130242,5584,4635,20546,-,12366,…,…,…,…,…,…
平成23,2011,,,,継続持込,Carried by enterprise,899166,899166,899166,-,-,-,-,-,…,…,…,…,…,…
平成23,2011,1,13200,,市部,All shi,1189073,1100927,749026,74259,28294,247850,1498,88146,821494,349302,4845,450375,68867,68867
平成23,2011,2,13201,1,八王子市,Hachioji-shi,173643,162792,116402,9975,2130,34161,124,10851,126533,46361,449,61125,15997,15997
平成23,2011,2,13202,2,立川市,Tachikawa-shi,56445,52334,36387,3370,1366,11171,40,4111,39811,15378,416,20893,505,505
平成23,2011,2,13203,3,武蔵野市,Musashino-shi,47605,44122,30868,1262,1401,10497,94,3483,32801,13254,-,18172,117,117
平成23,2011,2,13204,4,三鷹市,Mitaka-shi,48928,45480,28004,2202,1869,13345,60,3448,29339,16873,-,22204,149,149
平成23,2011,2,13205,5,青梅市,Ome-shi,44381,39814,29129,1557,1396,7669,63,4567,31335,10685,62,16003,6696,6696
平成23,2011,2,13206,6,府中市,Fuchu-shi,66470,59154,37854,3356,2112,15725,107,7316,43125,21300,-,28147,449,449
平成23,2011,2,13207,7,昭島市,Akishima-shi,33580,31798,22289,1573,765,7120,51,1782,24329,9580,99,12448,864,864
平成23,2011,2,13208,8,調布市,Chofu-shi,60067,55673,30820,4194,1324,19252,83,4394,32353,24188,-,30509,369,369
平成23,2011,2,13209,9,町田市,Machida-shi,130821,118605,88520,6774,4925,18229,157,12216,97977,30218,6,42278,19773,19773
平成23,2011,2,13210,10,小金井市,Koganei-shi,27499,26004,13291,3703,896,8070,44,1495,13291,12713,87,13974,89,89
平成23,2011,2,13211,11,小平市,Kodaira-shi,52876,50468,33824,5716,1015,9840,73,2408,39672,16645,71,18508,487,487
平成23,2011,2,13212,12,日野市,Hino-shi,46210,44498,26632,5976,1734,10087,69,1712,33183,16715,125,17057,7851,7851
平成23,2011,2,13213,13,東村山市,Higashimurayama-shi,41511,38387,25450,2164,1288,9418,67,3124,25878,12937,-,18099,408,408
平成23,2011,2,13214,14,国分寺市,Kokubunji-shi,33559,31175,19619,2709,751,8044,52,2384,20905,11768,68,14377,336,336
平成23,2011,2,13215,15,国立市,Kunitachi-shi,22505,21104,14359,1728,592,4399,26,1401,16153,6745,-,7402,252,252
平成23,2011,2,13218,16,福生市,Fussa-shi　,18196,16826,11585,768,529,3916,28,1370,12543,5241,101,6757,146,146
平成23,2011,2,13219,17,狛江市,Komae-shi,21157,19695,13590,1017,413,4654,21,1462,14753,6105,-,7991,42,42
平成23,2011,2,13220,18,東大和市,Higashiyamato-shi,23479,22460,16295,1004,255,4879,27,1019,17388,6166,13,8439,515,515
平成23,2011,2,13221,19,清瀬市,Kiyose-shi,19307,17887,12514,1496,48,3802,27,1420,13819,5373,-,6301,302,302
平成23,2011,2,13222,20,東久留米市,Higashikurume-shi,33683,29998,21855,2193,132,5779,39,3685,23810,8143,-,12883,658,658
平成23,2011,2,13223,21,武蔵村山市,Musashimurayama-shi,21144,20440,14482,1105,365,4456,32,704,15838,5958,15,7466,240,240
平成23,2011,2,13224,22,多摩市,Tama-shi,46630,41911,32166,1705,1172,6808,60,4719,34341,9745,85,16523,417,417
平成23,2011,2,13225,23,稲城市,Inagi-shi,24310,21904,16618,1356,352,3547,31,2406,18059,5286,-,8185,2913,2913
平成23,2011,2,13227,24,羽村市,Hamura-shi,18089,17005,11329,408,596,4645,27,1084,12098,5676,69,6906,569,569
平成23,2011,2,13228,25,あきる野市,Akiruno-shi,25790,23774,14755,3371,696,4913,39,2016,18665,9019,3179,6773,8129,8129
平成23,2011,2,13229,26,西東京市,Nishitokyo-shi,51188,47619,30389,3577,172,13424,57,3569,33495,17230,-,20955,594,594
平成23,2011,1,13300,,郡部,All gun,20317,19298,13126,1323,790,4024,35,1019,14761,6200,979,6191,7521,6932
平成23,2011,2,13303,1,瑞穂町,Mizuho-machi,11782,11420,7640,345,493,2923,19,362,8296,3780,40,4240,1771,1771
平成23,2011,2,13305,2,日の出町,Hinode-machi,5219,4637,3248,731,212,436,10,582,4091,1389,693,1053,1178,589
平成23,2011,2,13307,3,檜原村,Hinohara-mura,814,791,445,99,60,187,-,23,592,346,101,211,1058,1058
平成23,2011,2,13308,4,奥多摩町,Okutama-machi,2502,2450,1793,148,25,478,6,52,1782,685,145,687,3514,3514
平成23,2011,1,13350,,島部,All islands,15071,15070,11164,1443,1070,1367,26,1,11201,2444,3076,1725,25347,23287
平成23,2011,2,13361,1,大島町,Oshima-machi,3896,3896,3319,217,242,113,5,-,3318,580,645,364,9377,9377
平成23,2011,2,13362,2,利島村,Toshima-mura,123,123,104,5,-,14,-,-,107,14,13,11,665,665
平成23,2011,2,13363,3,新島村,Niijima-mura,2070,2070,1187,820,2,61,-,-,1187,61,929,44,2225,2225
平成23,2011,2,13364,4,神津島村,Kouzushima-mura,1634,1634,940,76,580,37,1,-,964,142,666,118,937,937
平成23,2011,2,13381,5,三宅村,Miyake-mura,1729,1729,1341,180,208,-,-,-,1343,420,204,32,2060,-
平成23,2011,2,13382,6,御蔵島村,Mikurajima-mura,281,281,253,6,7,14,1,-,253,22,28,9,105,105
平成23,2011,2,13401,7,八丈町,Hachijo-machi,4091,4091,3218,119,-,751,3,-,3218,754,448,751,9544,9544
平成23,2011,2,13402,8,青ヶ島村,Aogashima-mura,119,119,76,20,-,23,-,-,76,43,9,23,70,70
平成23,2011,2,13421,9,小笠原村,Ogasawara-mura,1128,1127,726,-,31,354,16,1,735,408,134,373,364,364
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,
19-9  ごみ ・ し尿 (平成21～平成23年度) 19-9  REFUSE AND HUMAN WASTE ( Fiscal years 2009-2011 ),,,,,,,,,,,,,,,,,,,,
資料：都環境局廃棄物対策部一般廃棄物対策課「東京都区市町村清掃事業年報」 Source: Bureau of Environment， TMG        ,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,
