年次,Year,区分階層,項番 Item number,裁判所,Court,総数 Total／新受 Newly received,総数 Total／既済 Disposed,総数 Total／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／人事訴訟 Personal litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／人事訴訟 Personal litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／人事訴訟 Personal litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／未済 Pending,控訴審通常訴訟 Ordinary appeal to court of second instance／新受 Newly received,控訴審通常訴訟 Ordinary appeal to court of second instance／既済 Disposed,控訴審通常訴訟 Ordinary appeal to court of second instance／未済 Pending,再審 Retrial procedure／新受 Newly received,再審 Retrial procedure／既済 Disposed,再審 Retrial procedure／未済 Pending,調停事件 Conciliation cases／新受 Newly received,調停事件 Conciliation cases／既済 Disposed,調停事件 Conciliation cases／未済 Pending,和解 Settlement／新受 Newly received,和解 Settlement／既済 Disposed,和解 Settlement／未済 Pending,督促 Demand for payment／新受 Newly received,督促 Demand for payment／既済 Disposed,督促 Demand for payment／未済 Pending,保全命令 Temporary restraining order／新受 Newly received,保全命令 Temporary restraining order／既済 Disposed,保全命令 Temporary restraining order／未済 Pending,その他の事件 Other cases／新受 Newly received／労働審判 Labor tribunal decisions,その他の事件 Other cases／新受 Newly received／借地非訟 Non-contentious tenancy cases,その他の事件 Other cases／新受 Newly received／強制執行 Compulsory execution,その他の事件 Other cases／新受 Newly received／担保権実行 Exercise of security rights,その他の事件 Other cases／新受 Newly received／破産 Bankruptcy,その他の事件 Other cases／新受 Newly received／会社更生 Company rehabilitation,その他の事件 Other cases／新受 Newly received／公示催告 Public notification,その他の事件 Other cases／新受 Newly received／過料 Noncriminal fines,その他の事件 Other cases／新受 Newly received／その他 Others,その他の事件 Other cases／既済 Disposed,その他の事件 Other cases／未済 Pending
平成23,2011,0,,総数,Total,503903,511633,95764,189945,198488,48292,-,-,-,4089,4008,582,85,90,9,90,103,20,770,771,805,1874,1896,602,55,43,23,11190,11846,2358,545,531,67,124848,123806,2522,5744,5752,227,1100,144,15452,4086,20237,4,284,26554,96807,164299,40257
平成24,2012,0,,総数,Total,433279,437540,91452,166258,167625,46922,-,-,-,3717,3763,536,64,63,10,70,72,18,881,912,774,1654,1702,553,70,71,22,8798,9200,1956,503,527,43,97404,99360,566,5691,5625,293,1053,164,14758,3685,17379,21,266,25305,85538,148620,39759
平成24,2012,1,,地方裁判所, District courts,120885,123111,62286,40428,42508,24605,-,-,-,-,-,-,-,-,-,57,60,17,881,912,774,1654,1702,553,66,67,21,368,355,288,-,-,-,-,-,-,5290,5225,284,1053,164,14332,3685,17379,21,-,4598,30909,72282,35744
平成24,2012,2,1,東京, Tokyo,107454,109816,55101,37187,39197,22682,-,-,-,-,-,-,-,-,-,51,54,16,881,912,774,1654,1702,553,55,55,18,362,350,280,-,-,-,-,-,-,5045,4976,266,991,156,11643,2745,15923,21,-,3650,27090,62570,30512
平成24,2012,2,2,立川支部, Tachikawa Branch,13431,13295,7185,3241,3311,1923,-,-,-,-,-,-,-,-,-,6,6,1,-,-,-,-,-,-,11,12,3,6,5,8,-,-,-,-,-,-,245,249,18,62,8,2689,940,1456,-,-,948,3819,9712,5232
平成24,2012,1,,簡易裁判所, Summary courts,312394,314429,29166,125830,125117,22317,-,-,-,3717,3763,536,64,63,10,13,12,1,-,-,-,-,-,-,4,4,1,8430,8845,1668,503,527,43,97404,99360,566,401,400,9,-,-,426,-,-,-,266,20707,54629,76338,4015
平成24,2012,2,1,東京, Tokyo,291371,293057,27626,120279,119215,21254,-,-,-,3223,3258,444,55,54,9,10,9,1,-,-,-,-,-,-,4,4,1,7703,8105,1458,431,446,35,91937,93877,543,351,350,9,-,-,408,-,-,-,252,15223,51495,67739,3872
平成24,2012,2,2,八丈島, Hachijojima ,74,74,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,-,-,-,11,11,-,-,-,-,-,-,-,-,-,-,-,52,6,58,-
平成24,2012,2,3,伊豆大島, Izu-oshima ,30,29,2,3,3,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,6,5,1,-,-,-,-,-,-,-,-,-,-,16,2,17,1
平成24,2012,2,4,新島, Niijima,13,12,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,8,1,9,2
平成24,2012,2,5,八王子, Hachioji ,4595,4580,448,1362,1353,346,-,-,-,90,87,21,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,184,176,61,13,13,-,1083,1089,7,8,8,-,-,-,1,-,-,-,3,1226,624,1853,13
平成24,2012,2,6,立川, Tachikawa,5419,5544,373,1402,1511,235,-,-,-,160,161,32,3,4,-,2,2,-,-,-,-,-,-,-,-,-,-,199,206,55,30,33,4,1623,1631,11,13,13,-,-,-,3,-,-,-,6,1043,935,1983,36
