年度,Fiscal year,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神科病床 Psychiatric ,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
平成19,2007,0,13000,東京都,Tokyo-to,129611,24775,837,153,20576,83270,37687870,1427419,55223129
平成20,2008,0,13000,東京都,Tokyo-to,128243,24585,741,153,20368,82396,37292785,1435597,53749852
平成21,2009,0,13000,東京都,Tokyo-to,128211,24434,712,125,20559,82381,37011126,1451233,53428736
平成22,2010,0,13000,東京都,Tokyo-to,127803,24265,644,145,20444,82305,37321644,1495978,53488025
平成23,2011,0,13000,東京都,Tokyo-to,127380,23679,638,145,20947,81971,37225751,1509674,53190197
平成23,2011,1,13100,区部,All ku,78994,7804,301,99,10995,59795,22390309,1126725,40668877
平成23,2011,2,13101,千代田区,Chiyoda-ku,2409,54,-,-,50,2305,579016,50927,2057554
平成23,2011,2,13102,中央区,Chuo-ku,1260,-,-,-,52,1208,362222,29935,935242
平成23,2011,2,13103,港区,Minato-ku,3980,49,8,-,68,3855,1075370,82064,3266651
平成23,2011,2,13104,新宿区,Shinjuku-ku,6346,339,40,4,45,5918,1764657,124482,4396610
平成23,2011,2,13105,文京区,Bunkyo-ku,5465,148,47,30,86,5154,1541610,102601,4023860
平成23,2011,2,13106,台東区,Taito-ku,1079,86,-,-,303,690,318828,10978,507074
平成23,2011,2,13107,墨田区,Sumida-ku,2548,36,-,10,173,2329,645845,41676,1227570
平成23,2011,2,13108,江東区,Koto-ku,2731,129,-,-,238,2364,784130,41546,1505528
平成23,2011,2,13109,品川区,Shinagawa-ku,2868,50,-,-,492,2326,765663,48423,1605650
平成23,2011,2,13110,目黒区,Meguro-ku,2524,50,-,-,173,2301,739410,45651,1331970
平成23,2011,2,13111,大田区,Ota-ku,4956,128,46,20,789,3973,1447345,71437,2896864
平成23,2011,2,13112,世田谷区,Setagaya-ku,5910,1611,60,10,650,3579,1512754,56898,1998219
平成23,2011,2,13113,渋谷区,Shibuya-ku,2798,55,2,-,603,2138,827620,47401,1696558
平成23,2011,2,13114,中野区,Nakano-ku,1974,-,-,-,505,1469,561647,24603,922256
平成23,2011,2,13115,杉並区,Suginami-ku,2274,-,-,-,971,1303,722868,27409,779662
平成23,2011,2,13116,豊島区,Toshima-ku,1733,-,-,-,265,1468,515027,21635,691963
平成23,2011,2,13117,北区,Kita-ku,2246,203,-,-,314,1729,680624,26655,1155188
平成23,2011,2,13118,荒川区,Arakawa-ku,1543,-,-,-,434,1109,470447,19640,720086
平成23,2011,2,13119,板橋区,Itabashi-ku,9665,2028,12,20,2141,5464,2786470,92320,3232970
平成23,2011,2,13120,練馬区,Nerima-ku,3252,1343,-,-,547,1362,991695,33157,1160297
平成23,2011,2,13121,足立区,Adachi-ku,6315,1236,-,-,1149,3930,1825513,49619,1977728
平成23,2011,2,13122,葛飾区,Katsushika-ku,2472,217,36,5,373,1841,723558,37468,1267571
平成23,2011,2,13123,江戸川区,Edogawa-ku,2646,42,50,-,574,1980,747990,40200,1311806
平成23,2011,1,13200,市部,All shi,47748,15815,337,44,9527,22025,14629201,380964,12427474
平成23,2011,2,13201,八王子市,Hachioji-shi,9234,4224,34,8,2083,2885,2885817,54153,1669628
平成23,2011,2,13202,立川市,Tachikawa-shi,1635,63,-,6,186,1380,510106,28535,705776
平成23,2011,2,13203,武蔵野市,Musashino-shi,1259,-,-,20,148,1091,388293,23950,670501
平成23,2011,2,13204,三鷹市,Mitaka-shi,2889,1152,-,-,293,1444,866365,28684,986273
平成23,2011,2,13205,青梅市,Ome-shi,4679,2533,-,4,1430,712,1516697,17585,609822
平成23,2011,2,13206,府中市,Fuchu-shi,3631,945,60,-,221,2405,1053117,45983,988816
平成23,2011,2,13207,昭島市,Akishima-shi,1022,-,-,-,248,774,268601,10630,475135
平成23,2011,2,13208,調布市,Chofu-shi,1622,842,-,-,279,501,474539,6775,384515
平成23,2011,2,13209,町田市,Machida-shi,3992,1592,-,-,874,1526,1291182,23310,877507
平成23,2011,2,13210,小金井市,Koganei-shi,922,510,-,-,164,248,303144,3564,177529
平成23,2011,2,13211,小平市,Kodaira-shi,2331,750,-,6,573,1002,739375,18645,594975
平成23,2011,2,13212,日野市,Hino-shi,1028,238,-,-,342,448,325981,7758,310381
平成23,2011,2,13213,東村山市,Higashimurayama-shi,2785,710,8,-,418,1649,727870,12538,501060
平成23,2011,2,13214,国分寺市,Kokubunji-shi,251,-,-,-,251,-,87354,927,24193
平成23,2011,2,13215,国立市,Kunitachi-shi,64,-,-,-,8,56,17391,1568,86629
平成23,2011,2,13218,福生市,Fussa-shi,672,-,-,-,96,576,188605,8869,287968
平成23,2011,2,13219,狛江市,Komae-shi,717,20,27,-,136,534,205768,10694,406855
平成23,2011,2,13220,東大和市,Higashiyamato-shi,412,-,-,-,-,412,132252,8087,176412
平成23,2011,2,13221,清瀬市,Kiyose-shi,2204,255,208,-,643,1098,672616,17772,564805
平成23,2011,2,13222,東久留米市,Higashikurume-shi,274,183,-,-,-,91,90817,2041,137477
平成23,2011,2,13223,武蔵村山市,Musashimurayama-shi,886,-,-,-,216,670,258533,9661,314330
平成23,2011,2,13224,多摩市,Tama-shi,2349,953,-,-,250,1146,722340,17089,541975
平成23,2011,2,13225,稲城市,Inagi-shi,948,399,-,-,259,290,311711,7384,171801
平成23,2011,2,13227,羽村市,Hamura-shi,246,-,-,-,246,-,80815,373,22222
平成23,2011,2,13228,あきる野市,Akiruno-shi,590,120,-,-,100,370,164219,4469,205422
平成23,2011,2,13229,西東京市,Nishitokyo-shi,1106,326,-,-,63,717,345693,9920,535467
平成23,2011,1,13300,郡部,All gun,584,60,-,-,425,99,197638,1348,41975
平成23,2011,2,13303,瑞穂町,Mizuho-machi,120,-,-,-,120,-,42461,219,8823
平成23,2011,2,13305,日の出町,Hinode-machi,421,60,-,-,305,56,146607,769,17918
平成23,2011,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
平成23,2011,2,13308,奥多摩町,Okutama-machi,43,-,-,-,-,43,8570,360,15234
平成23,2011,1,13350,島部,All islands,54,-,-,2,-,52,8603,637,51871
,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
