年度,Fiscal year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use 1,直接最終処分量 Direct final disposal 2,中間処理 Intermediate processing ／処理量 Processed 3,中間処理 Intermediate processing／処理残さ量 Residues 4,中間処理 Intermediate processing／処理後再生利用量 Recycled after processing 5,中間処理 Intermediate processing／最終処分量 Final disposal 6,再生利用量 Recycled 1＋5,減量化量 Reduced disposal 3-4,最終処分量 Final disposal 2＋6
平成19,2007,総数 ,Total,24193,86,24107,52,297,23758,8380,7514,866,7566,15378,1164
平成20,2008,総数 ,Total,22073,161,21912,86,140,21749,6674,5721,890,5807,15075,1030
平成21,2009,総数 ,Total,23405,216,23189,39,123,23271,7195,6235,716,6274,16076,839
平成22,2010,総数 ,Total,22755,190,22565,92,120,22499,7273,6461,666,6553,15226,786
平成23,2011,総数 ,Total,23887,133,23754,44,412,23298,7203,6584,619,6628,16095,1031
平成23,2011,燃えがら ,Cinder,6,0,6,0,6,0,0,0,0,0,0,6
平成23,2011,汚でい ,Sludge,16987,0,16987,0,40,16947,1316,1175,141,1175,15631,181
平成23,2011,廃油 ,Waste oil,41,0,41,0,0,41,20,20,0,20,21,0
平成23,2011,廃酸 ,Waste acid,6,0,6,0,0,6,2,2,0,2,4,0
平成23,2011,廃アルカリ ,Waste alkaline,6,0,6,0,0,6,3,3,0,3,3,0
平成23,2011,廃プラスチック類 ,Waste plastics,290,4,286,0,6,280,196,160,36,160,84,42
平成23,2011,紙くず ,Paper scrap,98,45,53,0,0,53,46,46,0,46,7,0
平成23,2011,木くず ,Wood scrap,258,0,258,1,0,257,238,226,12,227,19,12
平成23,2011,繊維くず ,Textile scrap,7,0,7,0,0,7,6,6,0,6,1,0
平成23,2011,動植物性残さ ,Plant and animal scraps,31,4,27,0,0,27,13,13,0,13,14,0
平成23,2011,ゴムくず ,Rubber scrap,0,0,0,0,0,0,0,0,0,0,0,0
平成23,2011,金属くず ,Metal scrap,257,80,177,1,0,176,172,170,2,171,4,2
平成23,2011,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,647,0,647,4,83,560,475,242,233,246,85,316
平成23,2011,鉱さい ,Slag,18,0,18,0,0,18,17,17,0,17,1,0
平成23,2011,がれき類 ,Rubble,4535,0,4535,9,38,4488,4387,4326,61,4335,101,99
平成23,2011,ばいじん ,Dust,10,0,10,0,0,10,9,0,9,0,1,9
平成23,2011,動物の糞尿 ,Animal excretions,59,0,59,29,0,30,5,4,1,33,25,1
平成23,2011,動物の死体 ,Animal carcasses,0,0,0,0,0,0,0,0,0,0,0,0
平成23,2011,混合廃棄物 ,Mixed waste,278,0,278,0,5,273,263,150,113,150,10,118
平成23,2011,その他の廃棄物 ,Other waste,248,0,248,0,225,23,18,15,3,15,5,228
平成23,2011,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,1,0,1,0,1,0,0,0,0,0,0,1
平成23,2011,特別管理産業廃棄物 ,Specially controlled industrial waste,104,0,104,0,8,96,17,9,8,9,79,16
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成19～平成23年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2007-2011 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
Figures are estimates.,,,,,,,,,,,,,,,
資料：都環境局廃棄物対策部 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
