年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成20,2008,平均,Average,103.8,94.7,97.7,100.7,104.8,92.3,103.8,106.6,111.3,-,-,-,-,104,99.9,107.1,-
平成21,2009,平均,Average,99.2,97.4,101.7,95.5,104.7,96.1,99.8,99.7,99.1,-,-,-,-,98.8,97.4,107.6,-
平成22,2010,平均,Average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23,2011,平均,Average,99.8,101.1,103.8,103.5,94.1,104.3,97.4,97.3,96.8,96.7,99.1,101.1,104.1,97.6,102.6,85.6,95.7
平成24,2012,平均,Average,99.8,99.3,102,101.2,95.6,105.3,100.7,99.2,97.1,94.1,101.5,104.7,113.6,93.8,100.8,81.3,96.2
平成24,2012,1,Jan.,80.5,79.2,82.5,78.7,71.4,84.3,84.6,77.5,77.8,76.7,81.3,91.7,102.1,71.3,85.9,66,83.2
平成24,2012,2,Feb.,80.8,71.5,82.7,79.4,75.5,83.9,82.9,79.2,79.8,74.7,81.8,92,92.2,72.7,85,68.1,84.1
平成24,2012,3,Mar.,86.6,70.5,84.9,82.2,76.4,89.2,86,98.1,77.3,80.8,82.4,94.2,92.3,80.7,86.7,83.8,88.5
平成24,2012,4,Apr.,83.7,71.6,85.3,82.6,76.5,85.9,86.3,81.7,75.7,78.8,83.6,91.8,98.7,82.5,89.2,69.1,90.1
平成24,2012,5,May,82.1,68.5,86,81.1,75.6,82.5,86.7,78.7,85.4,78.9,83,92.6,94,75,86.1,65,83.4
平成24,2012,6,June,159.1,215,152.5,160.3,196.9,190.4,140.3,158.4,185.4,150.2,156.4,117.6,153.9,161.9,136.1,128.9,123.5
平成24,2012,7,July,106.8,92.6,117.4,118.7,74.8,99.4,118.3,114.6,87.7,103.1,99.2,125.2,144.5,87.7,108.7,91.4,107.2
平成24,2012,8,Aug.,81.5,70.5,85,82.1,73.7,83.6,85.5,81.9,74.8,74.6,80.6,96.9,98.7,71.2,85.6,64.3,83.7
平成24,2012,9,Sept.,84,70.1,86.2,79.8,73.4,88,82.5,80.2,75.8,79,123.3,96.8,95.1,71.8,82.9,63.1,85.8
平成24,2012,10,Oct.,82.3,67.2,99.7,81.3,75.9,85.8,84.1,78.2,74.6,76.2,80.5,96.3,100,78.9,85.4,70.5,86
平成24,2012,11,Nov.,83.4,68.4,90.1,81.2,74.8,86.4,88.4,80.3,75.5,73.4,80.2,103,104.8,72.7,93,65.7,91.7
平成24,2012,12,Dec.,187.2,246.6,172.1,207.7,201.8,204.6,183.1,181.1,195.9,183.3,185.8,159.3,187.4,199.3,185.2,139.7,146.4
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-10  産業別常用労働者実質賃金指数 (現金給与総額)  (平成20～24年) 7-10  REAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2008-2012 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。なお、平成22年1月分から平成19年11月改定の日本標準産業分類による表章に変更しているが、平成21年以前の指数(旧産業分類)と接続しない産業の指数、前年比等については算出できないため、「-」と表記している。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
 （平成22年平均＝100）   (2010 average＝100)  ,,,,,,,,,,,,,,,,,,,,
