男女別階層,男女,Gender,年齢別階層,年齢(歳),Age(years old),総数 Total,脳血管疾患 Cerebro-vascular disease,悪性新生物Malignant neoplasm,心疾患 Heart disease,肺炎 Pneumonia ,肝疾患 Liver disease,老衰 Senility,不慮の事故 Unforeseen accident,自殺 Suicide,その他の全死因 All other causes of death
0,総数 ,Total,0,総数,Total,109194,9903,32921,16807,10149,1822,5019,2810,2575,27188
0,総数 ,Total,1,0～14,0-14,393,3,24,18,11,1,-,26,12,298
0,総数 ,Total,1,15～19,15-19,92,2,11,2,1,-,-,8,47,21
0,総数 ,Total,1,20～24,20-24,225,3,14,8,3,-,-,23,128,46
0,総数 ,Total,1,25～29,25-29,349,6,28,15,2,2,-,39,197,60
0,総数 ,Total,1,30～34,30-34,445,10,71,26,5,5,-,36,200,92
0,総数 ,Total,1,35～39,35-39,678,36,154,44,5,24,-,35,216,164
0,総数 ,Total,1,40～44,40-44,1205,98,342,99,10,51,-,77,252,276
0,総数 ,Total,1,45～49,45-49,1551,127,494,180,24,97,-,67,253,309
0,総数 ,Total,1,50～54,50-54,2110,189,841,224,34,131,-,79,215,397
0,総数 ,Total,1,55～59,55-59,2923,231,1309,299,50,141,-,91,206,596
0,総数 ,Total,1,60～64,60-64,6156,435,2980,664,181,261,1,151,233,1250
0,総数 ,Total,1,65～69,65-69,7696,538,3826,884,313,235,9,200,179,1512
0,総数 ,Total,1,70～74,70-74,10447,886,4633,1315,589,247,32,252,154,2339
0,総数 ,Total,1,75～79,75-79,15054,1349,5728,2125,1170,253,104,399,126,3800
0,総数 ,Total,1,80～,80 and over,59870,5990,12466,10904,7751,374,4873,1327,157,16028
0,総数 ,Total,1,不詳,Unreported,-,-,-,-,-,-,-,-,-,-
1,男 ,Male,0,総数,Total,58203,5024,19409,8155,5623,1295,1267,1613,1711,14106
1,男 ,Male,1,0～14,0-14,217,1,16,9,6,1,-,15,5,164
1,男 ,Male,1,15～19,15-19,59,-,6,2,-,-,-,8,29,14
1,男 ,Male,1,20～24,20-24,154,2,8,6,2,-,-,23,87,26
1,男 ,Male,1,25～29,25-29,222,6,14,14,1,2,-,28,125,32
1,男 ,Male,1,30～34,30-34,298,4,40,21,4,4,-,29,133,63
1,男 ,Male,1,35～39,35-39,422,21,68,36,4,20,-,26,141,106
1,男 ,Male,1,40～44,40-44,753,62,148,81,7,44,-,55,172,184
1,男 ,Male,1,45～49,45-49,1023,96,227,147,19,81,-,54,185,214
1,男 ,Male,1,50～54,50-54,1364,133,419,193,24,110,-,52,145,288
1,男 ,Male,1,55～59,55-59,1998,178,739,247,34,122,-,67,156,455
1,男 ,Male,1,60～64,60-64,4334,312,1922,540,146,228,-,109,156,921
1,男 ,Male,1,65～69,65-69,5405,367,2592,682,252,193,6,126,120,1067
1,男 ,Male,1,70～74,70-74,6934,578,3055,880,437,182,16,161,89,1536
1,男 ,Male,1,75～79,75-79,9476,886,3697,1258,825,159,52,247,86,2266
1,男 ,Male,1,80～,80 and over,25544,2378,6458,4039,3862,149,1193,613,82,6770
1,男 ,Male,1,不詳,Unreported,-,-,-,-,-,-,-,-,-,-
1,女 ,Female,0,総数,Total,50991,4879,13512,8652,4526,527,3752,1197,864,13082
1,女 ,Female,1,0～14,0-14,176,2,8,9,5,-,-,11,7,134
1,女 ,Female,1,15～19,15-19,33,2,5,-,1,-,-,-,18,7
1,女 ,Female,1,20～24,20-24,71,1,6,2,1,-,-,-,41,20
1,女 ,Female,1,25～29,25-29,127,-,14,1,1,-,-,11,72,28
1,女 ,Female,1,30～34,30-34,147,6,31,5,1,1,-,7,67,29
1,女 ,Female,1,35～39,35-39,256,15,86,8,1,4,-,9,75,58
1,女 ,Female,1,40～44,40-44,452,36,194,18,3,7,-,22,80,92
1,女 ,Female,1,45～49,45-49,528,31,267,33,5,16,-,13,68,95
1,女 ,Female,1,50～54,50-54,746,56,422,31,10,21,-,27,70,109
1,女 ,Female,1,55～59,55-59,925,53,570,52,16,19,-,24,50,141
1,女 ,Female,1,60～64,60-64,1822,123,1058,124,35,33,1,42,77,329
1,女 ,Female,1,65～69,65-69,2291,171,1234,202,61,42,3,74,59,445
1,女 ,Female,1,70～74,70-74,3513,308,1578,435,152,65,16,91,65,803
1,女 ,Female,1,75～79,75-79,5578,463,2031,867,345,94,52,152,40,1534
1,女 ,Female,1,80～,80 and over,34326,3612,6008,6865,3889,225,3680,714,75,9258
1,女 ,Female,1,不詳,Unreported,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-4  年齢(5歳階級)，主要死因別死亡数 (平成24年) 19-4  DEATHS BY AGE ( FIVE-YEAR GROUPS ) AND PRINCIPAL CAUSES ( 2012 ),,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,,
年齢階層（0:総数　1:各年齢）,,,,,,,,,,,,,,,
