年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成20,2008,平均,Average,106.1,96.8,99.8,102.9,107.1,94.3,106.1,108.9,113.7,-,-,-,-,106.3,102.1,109.5,-
平成21,2009,平均,Average,100.2,98.4,102.7,96.5,105.7,97.1,100.8,100.7,100.1,-,-,-,-,99.8,98.4,108.7,-
平成22,2010,平均,Average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23,2011,平均,Average,99.3,100.6,103.3,103,93.6,103.8,96.9,96.8,96.3,96.2,98.6,100.6,103.6,97.1,102.1,85.2,95.2
平成24,2012,平均,Average,98.8,98.3,101,100.2,94.6,104.2,99.7,98.2,96.1,93.2,100.5,103.7,112.5,92.9,99.8,80.5,95.2
平成24,2012,1,Jan.,79.8,78.5,81.8,78,70.8,83.5,83.8,76.8,77.1,76,80.6,90.9,101.2,70.7,85.1,65.4,82.5
平成24,2012,2,Feb.,80.1,70.9,82,78.7,74.8,83.1,82.2,78.5,79.1,74,81.1,91.2,91.4,72,84.2,67.5,83.3
平成24,2012,3,Mar.,86.3,70.2,84.6,81.9,76.1,88.8,85.7,97.7,77,80.5,82.1,93.8,91.9,80.4,86.4,83.5,88.1
平成24,2012,4,Apr.,83.4,71.3,85,82.3,76.2,85.6,86,81.4,75.4,78.5,83.3,91.4,98.3,82.2,88.8,68.8,89.7
平成24,2012,5,May,81.4,68,85.3,80.5,75,81.8,86,78.1,84.7,78.3,82.3,91.9,93.2,74.4,85.4,64.5,82.7
平成24,2012,6,June,157.2,212.4,150.7,158.4,194.5,188.1,138.6,156.5,183.2,148.4,154.5,116.2,152.1,160,134.5,127.4,122
平成24,2012,7,July,105.3,91.3,115.8,117,73.8,98,116.6,113,86.5,101.7,97.8,123.4,142.5,86.5,107.2,90.1,105.7
平成24,2012,8,Aug.,80.5,69.7,84,81.1,72.8,82.6,84.5,80.9,73.9,73.7,79.6,95.7,97.5,70.3,84.6,63.5,82.7
平成24,2012,9,Sept.,83.2,69.4,85.3,79,72.7,87.1,81.7,79.4,75,78.2,122.1,95.8,94.1,71.1,82.1,62.5,84.9
平成24,2012,10,Oct.,81.6,66.6,98.8,80.6,75.2,85,83.3,77.5,73.9,75.5,79.8,95.4,99.1,78.2,84.6,69.9,85.2
平成24,2012,11,Nov.,82.3,67.5,88.9,80.1,73.8,85.3,87.3,79.3,74.5,72.4,79.2,101.7,103.4,71.8,91.8,64.8,90.5
平成24,2012,12,Dec.,184.8,243.4,169.9,205,199.2,201.9,180.7,178.7,193.4,180.9,183.4,157.2,185,196.7,182.8,137.9,144.5
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-9  産業別常用労働者名目賃金指数 (現金給与総額) (平成20～24年) 7-9  NOMINAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2008-2012 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。なお、平成22年1月分から平成19年11月改定の日本標準産業分類による表章に変更しているが、平成21年以前の指数(旧産業分類)と接続しない産業の指数、前年比等については算出できないため、「-」と表記している。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成22年平均＝100） (2010 average＝100)  ,,,,,,,,,,,,,,,,,,,,
