年度末,End of fiscal year,地域階層,地区コード,地域,District,終末処理場数 Sewerage treatment plants,ポンプ所数 Pumping stations,事務所数 Sewerage offices,下水道暗きょ Sewer pipes／総数 Total (m),下水道暗きょ Sewer pipes／幹線 Trunk sewers (m),下水道暗きょ Sewer pipes／枝線 Branch sewers (m),マンホール数 (個) Manholes,汚水枡数 (個) Sewage basins
平成22,2010,0,13000,総数,Tokyo-to,20,85,9,16088813,1308608,14780205,481409,1885761
平成23,2011,0,13000,総数,Tokyo-to,20,86,8,16129274,1314822,14814452,482328,1894493
平成24,2012,0,13000,総数,Tokyo-to,20,87,8,16168803,1320029,14848774,483147,1903105
平成24,2012,1,13100,区部,All ku,13,85,7,15936613,1087839,14848774,481917,1903105
平成24,2012,2,13101,千代田区,Chiyoda-ku,-,2,1,286390,36646,249743,6608,26355
平成24,2012,2,13102,中央区,Chuo-ku,-,8,-,316602,25905,290698,6945,27888
平成24,2012,2,13103,港区,Minato-ku,1,4,-,463798,55947,407850,11337,40827
平成24,2012,2,13104,新宿区,Shinjuku-ku,1,-,-,482755,32969,449786,14198,61761
平成24,2012,2,13105,文京区,Bunkyo-ku,-,2,-,319036,47950,271086,8798,37851
平成24,2012,2,13106,台東区,Taito-ku,-,2,1,370909,44911,325998,8714,43786
平成24,2012,2,13107,墨田区,Sumida-ku,-,5,-,368159,26915,341244,10312,49566
平成24,2012,2,13108,江東区,Koto-ku,2,20,1,729010,40895,688115,16890,53677
平成24,2012,2,13109,品川区,Shinagawa-ku,-,7,-,444214,34080,410134,13189,68058
平成24,2012,2,13110,目黒区,Meguro-ku,-,-,-,352172,22763,329408,11941,59319
平成24,2012,2,13111,大田区,Ota-ku,1,10,1,1201751,83002,1118749,35662,156282
平成24,2012,2,13112,世田谷区,Setagaya-ku,-,-,-,1576959,105462,1471497,51731,195118
平成24,2012,2,13113,渋谷区,Shibuya-ku,-,-,-,310983,15749,295234,10356,52202
平成24,2012,2,13114,中野区,Nakano-ku,1,-,1,438255,30115,408140,14101,74498
平成24,2012,2,13115,杉並区,Suginami-ku,-,-,-,812058,41911,770147,24303,114152
平成24,2012,2,13116,豊島区,Toshima-ku,-,-,-,394352,27997,366354,13921,68153
平成24,2012,2,13117,北区,Kita-ku,1,2,1,458744,24552,434191,13736,66842
平成24,2012,2,13118,荒川区,Arakawa-ku,1,3,-,310203,33431,276772,8386,44630
平成24,2012,2,13119,板橋区,Itabashi-ku,1,1,-,798214,63789,734425,26122,106061
平成24,2012,2,13120,練馬区,Nerima-ku,-,-,-,1270350,64182,1206168,42607,156223
平成24,2012,2,13121,足立区,Adachi-ku,2,6,-,2095769,109245,1986523,64088,151825
平成24,2012,2,13122,葛飾区,Katsushika-ku,1,7,1,1018119,53348,964770,33533,115143
平成24,2012,2,13123,江戸川区,Edogawa-ku,1,6,-,1117815,66074,1051741,34439,132888
平成24,2012,1,,流域下水道,Drainage basin sewer system,7,2,1,232190,232190,-,1230,-
,,,,,,,,,,,,,
6-9  地域別下水道施設及び付属設備 （平成22～24年度末） ,,,,,,,,,,,,,
6-9  SEWERAGE FACILITIES AND EQUIPMENT BY DISTRICT ,,,,,,,,,,,,,
(End of Fiscal Years 2010～2012) ,,,,,,,,,,,,,
この表は都下水道局の事業実績である。              　　Data here are business figures of the Bureau of Sewerage，TMG.,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課      Source: Bureau of Sewerage， TMG,,,,,,,,,,,,,
地域階層（0:総数　1:区部・流域下水道　2:区市町村）,,,,,,,,,,,,,
