年度,Fiscal year,適用事業所数 Establishments covered (A),被保険者数 Workers insured (B),徴収決定額 Premium decided,収納済額 Premium received,不納欠損額 Deficit from uncollectable accounts,収納未済額 Premium unreceived
平成20,2008,319510,8522761,1016715733,1001802235,2819108,12094388
平成21,2009,320358,8490306,749097170,736021018,1387754,11688396
平成22,2010,323112,8616358,899370674,885232180,2311463,11827029
平成23,2011,326061,8684420,934536098,921337531,1847118,11351447
平成24,2012,328370,8802377,829969303,818611677,1891815,9465811
,,,,,,,
7-3  雇用保険 （一般） 適用と労働保険の徴収状況 （平成20～24年度） ,,,,,,,
7-3 COVERAGE BY （ GENERAL ） EMPLOYMENT INSURANCE AND COLLECTION OF LABOR INSURANCE ,,,,,,,
（Fiscal Years 2008～2012） ,,,,,,,
（単位　金額　千円） ,,,,,,,
注) A，B欄の各年の数字は３月末のもの。金額については， 単位未満を切り捨ててある。 ,,,,,,,
　Note: Columns A and B： Yearly figures as of March of the year stated.  Figures under thousand are rounded down. ,,,,,,,
資料：東京労働局          Source: Tokyo Labor Bureau ,,,,,,,
