項目,Item,平成22年度 Fiscal year 2010／実数 Value,平成22年度 Fiscal year 2010／構成比 Percentage Distribution (%),平成22年度 Fiscal year 2010／対前年度増加率 Percent changes from previous fiscal year (%),平成23年度 Fiscal year 2011／実数 Value,平成23年度 Fiscal year 2011／構成比 Percentage Distribution (%),平成23年度 Fiscal year 2011／対前年度増加率 Percent changes from previous fiscal year (%)
雇用者報酬（都内活動による）,Compensation of employees (from activities in Tokyo),50900.7,55.7,-1.6,50712.4,54.9,-0.4
営業余剰・混合所得,Operating surplus and mixed income,20399.3,22.3,4.6,21224.7,23,4
固定資本減耗,Consumption of fixed capital,15587,17,-2.1,15844.7,17.2,1.7
生産・輸入品に課される税,Taxes on production and imports,4917.7,5.4,-3.4,4982,5.4,1.3
（控除）補助金,(less) Subsidies,357.3,0.4,-17.3,376,0.4,5.2
都内総生産 (市場価格),Gross prefectural domestic product (at market prices),91447.5,100,-0.4,92387.8,100,1
民間最終消費支出,Private final consumption expenditure,37691.6,41.2,-1.1,37696.9,40.8,0
政府最終消費支出,Government final consumption expenditure,14214.2,15.5,-0.5,14285.8,15.5,0.5
都内総固定資本形成,Gross prefectural domestic fixed capital formation,12732.6,13.9,-4.2,13264.7,14.4,4.2
在庫品増加,Changes in inventories,-298.5,-0.3,-,-394.3,-0.4,-
財貨・サービスの移出入（純）,Outflows of goods and services， net,29818.3,32.6,-2.8,29286.6,31.7,-1.8
統計上の不突合,Statistical discrepancy,-2710.7,-3,-,-1751.9,-1.9,-
都内総生産 (支出側)（市場価格）,Gross prefectural domestic product (expenditure approach) (at market prices),91447.5,100,-0.4,92387.8,100,1
,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,
16-1  都内総生産勘定 (生産側及び支出側) (平成22，23年度) 16-1  GROSS PREFECTURAL DOMESTIC PRODUCT ACCOUNT (PRODUCTION AND EXPENDITURE APPROACH) ( Fiscal Years 2010 and 2011),,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,
