年度,Fiscal year,月次,Month,離職票提出件数 Separation notices filed,受給者実人員 Beneficiaries／総数 Total,受給者実人員 Beneficiaries／男 Male,受給者実人員 Beneficiaries／女 Female,雇用保険支給金額 Benefits paid／総数Total,雇用保険支給金額 Benefits paid／男Male,雇用保険支給金額 Benefits paid／女Female,1人1か月当たり平均支給金額 (円) Average monthly benefits per person (yen)
平成20,2008,,,189232,50812,23358,27454,82796334,41792813,41003521,135789
平成21,2009,,,227187,76405,38199,38206,128116678,70046162,58070516,139734
平成22,2010,,,192013,65911,31742,34168,107249804,56463614,50786189,135599
平成23,2011,,,182566,58937,27442,31495,94926502,48434175,46492327,134218
平成24,2012,,,167570,53328,24484,28843,85692443,43339843,42352599,133907
平成24,2012,4,Apr.,23115,50349,23874,26475,6690155,3456609,3233546,132875
平成24,2012,5,May,17725,56735,26197,30538,7704103,3960219,3743884,135791
平成24,2012,6,June,12484,55167,25265,29902,7053594,3557797,3495797,127858
平成24,2012,7,July,14148,57457,25890,31567,7863469,3902070,3961399,136858
平成24,2012,8,Aug.,13151,58840,26208,32632,8035389,3964238,4071151,136563
平成24,2012,9,Sept.,12384,54294,24343,29951,6938858,3404175,3534683,127801
平成24,2012,10,Oct.,16518,55668,24955,30713,7833889,3822272,4011617,140725
平成24,2012,11,Nov.,12508,53621,24445,29176,7161088,3588369,3572719,133550
平成24,2012,12,Dec.,9398,50259,23440,26819,6086019,3114332,2971687,121093
平成25,2013,1,Jan.,13604,51779,24285,27494,8039687,4204925,3834762,155269
平成25,2013,2,Feb.,11179,48766,22792,25974,6139137,3185700,2953437,125889
平成25,2013,3,Mar.,11356,46995,22117,24878,6147054,3179138,2967916,130802
,,,,,,,,,,,
7-4  雇用保険 （一般） 支給状況 （平成20～24年度）,,,,,,,,,,,
PAYMENT OF （ GENERAL ） EMPLOYMENT INSURANCE BENEFITS ( Fiscal Years 2008-2012 ) ,,,,,,,,,,,
（単位　金額　千円）   (In thousands of yen),,,,,,,,,,,
,,,,,,,,,,,
  注) 年度別「受給者実人員」 は月平均である。,,,,,,,,,,,
Ｎote: Fiscal year “Beneficiaries” are monthly averages. ,,,,,,,,,,,
資料：東京労働局          Source: Tokyo Labor Bureau ,,,,,,,,,,,
