年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成20,2008,平均,Average,96.7,101,96,102.7,89.6,95.5,90.5,93.5,95.3,-,-,-,-,98,93.3,268.7,-
平成21,2009,平均,Average,100.6,97.4,99.2,102.3,99.4,100.7,99.2,99.8,97.3,-,-,-,-,100.5,99,124.2,-
平成22,2010,平均,Average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23,2011,平均,Average,99.8,105.6,98.1,99.3,100.9,100.9,101,99.3,100,100.8,99,95.3,97.1,99.4,102.7,101.2,100.2
平成24,2012,平均,Average,99.6,109.4,97.5,99.9,95.6,99.7,100.4,98,98.6,101.6,103.9,98.4,94.2,100,104.8,99.4,99.2
平成24,2012,1,Jan.,99.4,107.6,96.7,99.4,96.5,99.9,101.5,98.8,99,101.1,98.9,94,94.9,100.4,103.8,97.3,99.5
平成24,2012,2,Feb.,99.3,106.6,96.2,99.1,96.2,99.7,101.4,98.4,98.7,101,100.6,96.6,94.8,99.4,103.4,100.8,99.7
平成24,2012,3,Mar.,98.7,106.8,96.8,99.4,96,99.3,100.9,98.6,97,100.7,100.9,95.9,94.9,94.5,102.4,101.1,99.1
平成24,2012,4,Apr.,100.6,111.9,98.5,102.1,94.8,101.4,101.9,99.7,98.5,102,102.1,98.7,95.5,98.6,104.7,104.3,100.7
平成24,2012,5,May,100.5,112.5,98.1,101.6,96,100.9,101,99.7,99.2,102.3,105.6,98.5,94.2,101.3,105.5,100.5,98.8
平成24,2012,6,June,100.3,112.3,98,101.1,95.6,100.4,100.4,99.3,99.3,102.3,105.9,99.9,94.4,100.9,105.3,100.3,98.6
平成24,2012,7,July,100,110.2,97.8,100.6,96,99.7,100.4,98.6,98.9,102.4,104.8,99.7,94.4,100.8,105.6,99.3,98.6
平成24,2012,8,Aug.,99.7,109.2,97.8,100,96,99.6,100.2,98.2,98.6,101.9,105.8,99.3,94.5,99.2,105.5,99.4,98.5
平成24,2012,9,Sept.,99.3,109.6,97.7,99.8,95.6,99.3,99.6,97.2,98.4,101.6,105.6,99.2,93.7,98.8,105.1,98.4,98.5
平成24,2012,10,Oct.,99.2,109.1,97.9,97.4,94.8,99.1,99.4,96.6,98.7,101.4,105.2,98.7,93.2,101.5,105.4,97.6,100
平成24,2012,11,Nov.,99.1,108.7,96.9,98.3,94.6,98.8,99.1,95.7,98.5,101.2,105.8,99,93.1,102.2,105.4,96.8,99.8
平成24,2012,12,Dec.,99.2,108.2,97.4,99.9,94.7,98.7,99.3,95.5,98.2,101.3,106.1,101.2,92.8,101.9,105.6,96.4,99
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-12  産業別常用労働者雇用指数 (平成20～24年) 7-12  EMPLOYMENT INDICES OF REGULAR WORKERS BY INDUSTRY ( 2008-2012 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。なお、平成22年1月分から平成19年11月改定の日本標準産業分類による表章に変更しているが、平成21年以前の指数(旧産業分類)と接続しない産業の指数、前年比等については算出できないため、「-」と表記している。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成22年平均＝100） (2010 average＝100),,,,,,,,,,,,,,,,,,,,
