年次,Year,月次 ,Month,件数 Total,負債額 (百万円) Liabilities (million yen),業種別件数 Number of cases  by industry／建設業 Construction,業種別件数 Number of cases by industry／製造業 Manufacturing,業種別件数 Number of cases by industry／情報通信業 Information and communications,業種別件数 Number of cases by industry／運輸業，郵便業 Transport and postal services,業種別件数 Number of cases by industry／卸売業 Wholesale,業種別件数 Number of cases by industry／小売業 Retail,業種別件数 Number of cases by industry／不動産業 Real estate,業種別件数 Number of cases by industry／宿泊業，飲食サービス業 Accommodations， eating and drinking services,業種別件数 Number of cases by industry／教育，学習支援業・医療，福祉 Education， learning support， medical， health care and welfare,業種別件数 Number of cases by industry／サービス業 Services,業種別件数 Number of cases by industry／その他 Others,原因別件数 Number of cases by cause／販売不振 Sluggish sales,原因別件数 Number of cases by cause／既往のしわ寄せ (赤字累積) Accumulating deficits,原因別件数 Number of cases by cause／売掛金等回収難 Trouble with account receivable collection,原因別件数 Number of cases by cause／放漫経営 Lax management,原因別件数 Number of cases by cause／過小資本 Insufficient capital,原因別件数 Number of cases by cause／他社倒産の余波 Impact of another company's bankruptcy,原因別件数 Number of cases by cause／信用性低下 Declining credibility,原因別件数 Number of cases by cause／在庫状態悪化 Poor inventory control,原因別件数 Number of cases by cause／設備投資過大 Excessive capital investment,原因別件数 Number of cases by cause／その他 Others
平成24,2012,総数,Total,2470,1578835,391,317,255,58,439,219,103,164,34,455,35,1901,232,8,79,24,183,7,1,-,35
平成24,2012,1,Jan.,226,204654,30,30,18,3,41,22,13,10,4,46,9,154,18,2,12,3,32,1,-,-,4
平成24,2012,2,Feb.,223,492360,34,29,30,3,42,13,3,21,2,45,1,184,12,-,4,1,14,2,1,-,5
平成24,2012,3,Mar.,259,193224,34,37,29,4,44,22,12,19,8,47,3,206,17,1,10,2,22,-,-,-,1
平成24,2012,4,Apr.,211,30679,37,20,21,4,54,21,6,13,3,29,3,165,20,2,5,1,13,-,-,-,5
平成24,2012,5,May,230,89047,37,26,28,3,37,27,11,15,3,41,2,179,18,2,4,1,19,1,-,-,6
平成24,2012,6,June,201,44722,29,34,16,6,34,20,5,14,3,39,1,168,15,-,6,1,7,-,-,-,4
平成24,2012,7,July,201,230062,37,24,14,7,32,16,11,8,3,46,3,150,29,-,6,1,11,1,-,-,3
平成24,2012,8,Aug.,172,39161,39,20,25,3,24,14,7,12,1,27,-,131,11,1,10,7,10,-,-,-,2
平成24,2012,9,Sept.,185,43362,31,25,15,5,38,12,6,7,1,42,3,142,25,-,3,3,12,-,-,-,-
平成24,2012,10,Oct.,187,91826,28,28,23,2,33,15,10,11,3,33,1,144,24,-,5,1,11,1,-,-,1
平成24,2012,11,Nov.,206,47151,26,24,17,13,37,22,8,21,3,34,1,150,24,-,9,1,20,1,-,-,1
平成24,2012,12,Dec.,169,72587,29,20,19,5,23,15,11,13,-,26,8,128,19,-,5,2,12,-,-,-,3
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-10  企業倒産状況 （平成24年） 15-10  COMPANY BANKRUPTCIES ( 2012 ),,,,,,,,,,,,,,,,,,,,,,,,,,
倒産した企業のうち負債額1000万円以上のもの。,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankrupt companies with liabilities of 10 million yen or more.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都産業労働局総務部企画計理課 「東京の企業倒産状況」 ( (株) 東京商工リサーチ調べ) Source: Bureau of Industrial and Labor Affairs， TMG ( Tokyo Shoko Research， Ltd. survey ),,,,,,,,,,,,,,,,,,,,,,,,,,
