項目階層,項目,Item,平成22年度 Fiscal year 2010／実数 Value,平成22年度 Fiscal year 2010／構成比 Percentage Distribution (%),平成22年度 Fiscal year 2010／対前年度増加率 Percent changes from previous fiscal year (%),平成23年度 Fiscal year 2011／実数 Value,平成23年度 Fiscal year 2011／構成比 Percentage Distribution (%),平成23年度 Fiscal year 2011／対前年度増加率 Percent changes from previous fiscal year (%)
0,都民雇用者報酬,Prefectural compensation of employees,34967.8,60.8,-1.8,34766,60.3,-0.6
1,賃金・俸給,Wages and salaries,27388.1,47.6,-1.6,27092.9,47,-1.1
1,雇主の社会負担,Employers' social contributions,7579.7,13.2,-2.3,7673.1,13.3,1.2
3,雇主の現実社会負担,Employers' actual social contributions,4823.6,8.4,3.3,4921.7,8.5,2
3,雇主の帰属社会負担,Employers' imputed social contributions,2756.1,4.8,-10.8,2751.5,4.8,-0.2
0,財産所得 (非企業部門）,Property income (unincorporated enterprises),4183.4,7.3,-4.7,4358.6,7.6,4.2
3,受取,Receivable,6865.9,11.9,-2.4,7008,12.1,2.1
3,支払,Payable,2682.5,4.7,1.3,2649.4,4.6,-1.2
1,一般政府,General government,-1259.1,-2.2,-24.3,-1328.1,-2.3,-5.5
3,受取,Receivable,1210.6,2.1,-8.8,1105.7,1.9,-8.7
3,支払,Payable,2469.7,4.3,5.6,2433.8,4.2,-1.5
1,家計,Households,5387.3,9.4,0.8,5632.4,9.8,4.5
2,利子,Interest,2321.3,4,8.2,2506,4.3,8
3,受取,Receivable,2525.9,4.4,3.4,2716.1,4.7,7.5
3,支払 ,Payable,204.5,0.4,-31.4,210.1,0.4,2.7
2,配当 (受取）,Dividends， receivable,1157,2,-10.4,1146.9,2,-0.9
2,保険契約者に帰属する財産所得 ,Properties income attributed to insurance policy holders，receivable,1317.7,2.3,0.7,1320.2,2.3,0.2
2,賃貸料 (受取),Rent， receivable,591.3,1,-1.7,659.3,1.1,11.5
1,対家計民間非営利団体,Private non-profit institutions serving households,55.2,0.1,1,54.3,0.1,-1.7
3,受取,Receivable,63.5,0.1,-2.6,59.8,0.1,-5.7
3,支払,Payable,8.2,0,-21.2,5.5,0,-32.9
0,企業所得 (法人企業の分配所得受払後）,Entrepreneurial income (after receivable and payable of distributed income of corporations),18340.1,31.9,6.2,18576.8,32.2,1.3
1,民間法人企業,Private corporations,10513.6,18.3,16,11557.6,20,9.9
1,公的企業,Public corporations,2620.6,4.6,-15.5,2052.4,3.6,-21.7
1,個人企業,Private unincorporated enterprises ,5205.8,9.1,2.1,4966.7,8.6,-4.6
3,農林水産業,Agriculture， forestry and fishing,-4.7,0,6.5,-7.9,0,-69.4
3,その他の産業 (非農林水・非金融),Others,1575.2,2.7,1.6,1338.1,2.3,-15.1
3,持ち家,Imputed service of owner-occupied dwellings,3635.3,6.3,2.2,3636.5,6.3,0
0,都民所得（要素費用表示）,Prefectural income(at factor cost),57491.4,100,0.4,57701.4,100,0.4
0,生産・輸入品に課される税 (控除) 補助金,Taxes on production and imports less subsidies,4560.5,7.9,-2.1,4606,8,1
0,都民所得 (市場価格表示),Prefectural income (at market prices),62051.8,107.9,0.2,62307.3,108,0.4
0,（参考）民間法人企業所得（受払前）,(Reference)Entrepreneurial income of private corporations (before receivable and payable of distributed income of corporations),11111.9,19.3,14.3,12135.7,21,9.2
,,,,,,,,
東京都統計年鑑（平成2４年）TOKYO STATISTICAL YEARBOOK ( 2012 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-3  都民所得の分配 (名目) (平成22，23年度) 16-3  DISTRIBUTION OF PREFECTURAL INCOME (AT CURRENT PRICES) ( Fiscal Years 2010 and 2011),,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」Source: Bureau of General Affairs， TMG,,,,,,,,
（単位  金額 10億円 ）(Value in billions of yen),,,,,,,,
項目階層（0:大項目　1:中項目　2:小項目　3:項目）,,,,,,,,
