大項目,Major item,項番 Item number,項目,Item,平成13年度 FY 2001,平成14年度 FY 2002,平成15年度 FY 2003,平成16年度 FY 2004,平成17年度 FY 2005,平成18年度 FY 2006,平成19年度 FY 2007,平成20年度 FY 2008,平成21年度 FY 2009,平成22年度 FY 2010,平成23年度 FY 2011
名目,At current prices,1,都内総生産 (生産側及び支出側)（実数）,Gross prefectural domestic product (production and expenditure approach)(A real number),95235.1,94340.3,95260.9,98078.2,99384.1,99873.1,99948.9,97330,91799.5,91447.5,92387.8
名目,At current prices,2,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,-0.9,1,3,1.3,0.5,0.1,-2.6,-5.7,-0.4,1
名目,At current prices,3,国内総生産 (生産側及び支出側)（実数）,Gross domestic product (production and expenditure approach)(A real number),501710.6,498008.8,501889.1,502760.8,505349.4,509106.3,513023.3,489520.1,473933.9,480098,473282.6
名目,At current prices,4,国内総生産 (生産側及び支出側) (増加率),Gross domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,-0.7,0.8,0.2,0.5,0.7,0.8,-4.6,-3.2,1.3,-1.4
名目,At current prices,5,国に対する都の構成比,Tokyo's percentage,19,18.9,19,19.5,19.7,19.6,19.5,19.9,19.4,19,19.5
実質 (連鎖方式),Real (Chain-linked),6,都内総生産 (生産側)（実数）,Gross prefectural domestic product (production approach)(A real number),93051.3,92885.7,94397.4,97628.9,99352.7,100356.5,100669.5,98532.4,94082.7,95074.4,96947
実質 (連鎖方式),Real (Chain-linked),7,都内総生産 (生産側) (増加率),Gross prefectural domestic product (production approach) (Percent changes from previous fiscal year),-,-0.2,1.6,3.4,1.8,1,0.3,-2.1,-4.5,1.1,2
実質 (連鎖方式),Real (Chain-linked),8,国内総生産 (支出側)（実数）,Gross domestic product  (expenditure approach) (A real number),474685.4,479870.8,490755.9,497912.6,507158,516038.2,525469.9,505794.7,495570.1,512315.6,513742.1
実質 (連鎖方式),Real (Chain-linked),9,国内総生産 (支出側) (増加率),Gross domestic product (expenditure approach) (Percent changes from previous fiscal year),-,1.1,2.3,1.5,1.9,1.8,1.8,-3.7,-2,3.4,0.3
実質 (連鎖方式),Real (Chain-linked),10,国に対する都の構成比,Tokyo's percentage,19.6,19.4,19.2,19.6,19.6,19.4,19.2,19.5,19,18.6,18.9
