年度,Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settlement
平成20,2008,0,総数,Total,13385548,13638056,12815964
平成21,2009,0,総数,Total,12833848,12907268,12273312
平成22,2010,0,総数,Total,12422290,12516872,11871986
平成23,2011,0,総数,Total,11764184,11947440,11246029
平成24,2012,0,総数,Total,11774245,12004140,11176819
平成24,2012,1,一般会計,General account,6149000,6225103,5902977
平成24,2012,1,特別会計,Special accounts,3630274,3665184,3543093
平成24,2012,2,特別区財政調整,Financial adjustments for ku,874349,905048,905047
平成24,2012,2,地方消費税清算,Local consumption tax adjustment,1043947,1043947,992423
平成24,2012,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,268,268,10
平成24,2012,2,母子福祉貸付資金,Funds for families without father,4929,4929,4035
平成24,2012,2,心身障害者扶養年金,Annuity for the mentally or physically impaired,6812,6812,6313
平成24,2012,2,中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.， funds,2724,2724,1571
平成24,2012,2,林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,52,52,0
平成24,2012,2,沿岸漁業改善資金助成,Coastal fishery improvement subsidies,48,48,16
平成24,2012,2,と場,Slaughter house,6396,6396,5656
平成24,2012,2,都営住宅等事業,Metropolitan public housing， etc.,167146,170222,146451
平成24,2012,2,都営住宅等保証金,Metropolitan public housing， etc.， security deposits,582,582,572
平成24,2012,2,都市開発資金,Urban development funds,2233,2233,1615
平成24,2012,2,用地,Land acquisition,24722,24948,13789
平成24,2012,2,公債費,Debt services,1482909,1482909,1460713
平成24,2012,2,臨海都市基盤整備事業,Waterfront urban infrastructure development,13157,14066,4880
平成24,2012,1,公営企業会計,Public enterprise accounts,1994971,2113853,1730749
平成24,2012,2,病院,Hospital,176834,176906,163631
平成24,2012,2,中央卸売市場,Central Wholesale Market,90231,91933,35818
平成24,2012,2,都市再開発事業,Urban redevelopment,67419,108275,92058
平成24,2012,2,臨海地域開発事業,Waterfront area development ,156646,158457,42520
平成24,2012,2,港湾事業,Port and harbor,18113,18153,4536
平成24,2012,2,交通事業,Transportation,63692,66196,56859
平成24,2012,2,高速電車事業,Railway,260345,267846,225849
平成24,2012,2,電気事業,Electric power,1426,1426,934
平成24,2012,2,水道事業,Waterworks,451630,474030,427013
平成24,2012,2,工業用水道事業,Industrial waterworks,1849,1849,1320
平成24,2012,2,下水道事業,Sewerage,706786,748783,680211
,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成20～24年度) (歳出) 21-1  BUDGET AND SETTLEMENT BY ACCOUNT ( Fiscal Years 2008-2012 ) ( EXPENDITURE ),,,,,,,
注1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note:1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,
2) The Public enterprise accounts are the sum of revenue expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
