年次,Year,地域階層,地域コード,地域,District,病院 Hospital／総数 Total,病院 Hospital／精神科病院 Psychiatric hospital,病院 Hospital／結核療養所 Tuberculosis sanatorium,病院 Hospital／一般病院 General hospital,病院 Hospital／(再掲 Relisted)／救急告示病院 Designated emergency hospital,病院 Hospital／(再掲 Relisted)／療養病床を有するもの Hospital with long-term care beds,一般診療所 General  clinic,歯科診療所 Dental clinic
平成19,2007,0,13000,東京都,Tokyo-to,650,54,-,596,307,237,12641,10551
平成20,2008,0,13000,東京都,Tokyo-to,648,54,-,594,314,235,12572,10529
平成21,2009,0,13000,東京都,Tokyo-to,649,55,-,594,311,237,12629,10540
平成22,2010,0,13000,東京都,Tokyo-to,647,54,-,593,307,235,12684,10603
平成23,2011,0,13000,東京都,Tokyo-to,643,51,-,592,306,238,12612,10570
平成23,2011,1,13100,区部,All ku,421,13,-,408,224,148,9612,8275
平成23,2011,2,13101,千代田区,Chiyoda-ku,16,-,-,16,4,1,451,348
平成23,2011,2,13102,中央区,Chuo-ku,5,-,-,5,1,1,463,440
平成23,2011,2,13103,港区,Minato-ku,15,-,-,15,8,1,662,592
平成23,2011,2,13104,新宿区,Shinjuku-ku,16,1,-,15,12,2,576,426
平成23,2011,2,13105,文京区,Bunkyo-ku,11,-,-,11,8,2,249,237
平成23,2011,2,13106,台東区,Taito-ku,8,1,-,7,4,6,234,238
平成23,2011,2,13107,墨田区,Sumida-ku,14,-,-,14,8,5,216,192
平成23,2011,2,13108,江東区,Koto-ku,17,-,-,17,11,4,372,293
平成23,2011,2,13109,品川区,Shinagawa-ku,13,-,-,13,5,5,433,344
平成23,2011,2,13110,目黒区,Meguro-ku,10,-,-,10,10,5,315,277
平成23,2011,2,13111,大田区,Ota-ku,29,1,-,28,19,13,574,554
平成23,2011,2,13112,世田谷区,Setagaya-ku,25,-,-,25,14,6,823,735
平成23,2011,2,13113,渋谷区,Shibuya-ku,15,-,-,15,7,5,500,414
平成23,2011,2,13114,中野区,Nakano-ku,10,-,-,10,7,7,326,248
平成23,2011,2,13115,杉並区,Suginami-ku,17,-,-,17,8,8,497,431
平成23,2011,2,13116,豊島区,Toshima-ku,15,-,-,15,13,2,408,308
平成23,2011,2,13117,北区,Kita-ku,20,2,-,18,10,6,270,249
平成23,2011,2,13118,荒川区,Arakawa-ku,14,-,-,14,6,8,165,144
平成23,2011,2,13119,板橋区,Itabashi-ku,40,-,-,40,20,22,384,343
平成23,2011,2,13120,練馬区,Nerima-ku,19,2,-,17,8,8,536,456
平成23,2011,2,13121,足立区,Adachi-ku,50,4,-,46,23,15,406,375
平成23,2011,2,13122,葛飾区,Katsushika-ku,20,1,-,19,9,8,352,267
平成23,2011,2,13123,江戸川区,Edogawa-ku,22,1,-,21,9,8,400,364
平成23,2011,1,13200,市部,All shi,217,38,-,179,80,87,2943,2260
平成23,2011,2,13201,八王子市,Hachioji-shi,41,7,-,34,13,17,374,285
平成23,2011,2,13202,立川市,Tachikawa-shi,7,-,-,7,5,3,156,113
平成23,2011,2,13203,武蔵野市,Musashino-shi,10,-,-,10,6,4,200,150
平成23,2011,2,13204,三鷹市,Mitaka-shi,9,1,-,8,2,4,128,97
平成23,2011,2,13205,青梅市,Ome-shi,16,8,-,8,2,6,92,63
平成23,2011,2,13206,府中市,Fuchu-shi,15,2,-,13,6,4,177,138
平成23,2011,2,13207,昭島市,Akishima-shi,7,-,-,7,5,3,63,61
平成23,2011,2,13208,調布市,Chofu-shi,8,2,-,6,2,3,189,155
平成23,2011,2,13209,町田市,Machida-shi,20,6,-,14,7,7,303,221
平成23,2011,2,13210,小金井市,Koganei-shi,4,1,-,3,1,3,78,62
平成23,2011,2,13211,小平市,Kodaira-shi,9,1,-,8,4,4,128,100
平成23,2011,2,13212,日野市,Hino-shi,6,-,-,6,2,4,120,84
平成23,2011,2,13213,東村山市,Higashimurayama-shi,11,3,-,8,4,4,92,62
平成23,2011,2,13214,国分寺市,Kokubunji-shi,2,-,-,2,-,2,113,79
平成23,2011,2,13215,国立市,Kunitachi-shi,2,-,-,2,1,1,81,73
平成23,2011,2,13218,福生市,Fussa-shi,4,-,-,4,3,1,41,32
平成23,2011,2,13219,狛江市,Komae-shi,2,-,-,2,1,1,50,37
平成23,2011,2,13220,東大和市,Higashiyamato-shi,2,-,-,2,1,-,49,40
