年次,Year,月次,Month,月間有効求職者数 Monthly active applications (A)／総数Total,月間有効求職者数 Monthly active applications (A)／男 Male,月間有効求職者数 Monthly active applications (A)／女 Female,新規求職申込件数 New applications (B)／総数Total,新規求職申込件数 New applications (B)／男Male,新規求職申込件数 New applications (B)／女 Female,月間有効求人数 Monthly active job openings (C),新規求人数 New job openings (D),就職件数 Persons who found employment (E)／総数Total,就職件数 Persons who found employment (E)／男 Male,就職件数 Persons who found employment (E)／女Female,充足数 Sufficiency (F),充足数 Sufficiency (F)／うち他県から of which from other prefectures,有効求人倍率 Active job openings-to-applicants ratio (C／A),就職率 Ratio of persons who found employment  (E／B) (%),充足率 Sufficiency ratio (F／D) (%)
平成20,2008,,,1820160,1035376,772960,441792,252829,185656,1960146,695128,85691,54631,30442,121089,46382,1.08,4.7,6.2
平成21,2009,,,2510892,1487433,1008439,581426,345210,231890,1366088,501652,83765,53881,29315,115732,43530,0.54,3.3,8.5
平成22,2010,,,2632290,1575730,1041198,577635,342495,230995,1427301,546445,85994,55613,29864,118835,45520,0.54,3.3,8.3
平成23,2011,,,2429950,1425638,992030,538457,312953,222484,1727748,644116,88132,56333,31346,121500,47602,0.71,3.6,7
平成24,2012,,,2176570,1270752,900165,472581,272902,198403,2012599,734927,89221,56145,32705,124572,51337,0.92,4.1,6.2
平成24,2012,1,Jan.,174369,102764,71093,42667,24701,17855,155993,61972,6640,4303,2321,8991,3463,0.89,3.8,5.8
平成24,2012,2,Feb.,177898,104653,72746,42238,24339,17786,164980,63797,7384,4676,2691,10523,4431,0.93,4.2,6.4
平成24,2012,3,Mar.,187738,110132,77096,44411,25613,18673,167994,58128,8170,4771,3169,11699,4990,0.89,4.4,7
平成24,2012,4,Apr.,195536,113681,81298,49484,27692,21626,162620,58882,8247,5082,3146,11417,4686,0.83,4.2,7
平成24,2012,5,May,195435,113475,81420,42579,24467,18004,160281,58878,7635,4756,2863,10734,4525,0.82,3.9,6.7
平成24,2012,6,June,188729,110044,78171,38213,22163,15939,162274,59892,7721,4888,2824,10693,4424,0.86,4.1,6.6
平成24,2012,7,July,185594,108251,76867,38721,22670,15935,167478,63132,7556,4842,2703,10648,4417,0.9,4.1,6.4
平成24,2012,8,Aug.,180838,105007,75367,36520,20913,15487,170867,62428,7177,4587,2580,9940,4025,0.94,4,5.8
平成24,2012,9,Sept.,175827,101955,73421,35316,20419,14795,169693,58516,7220,4513,2693,9917,3977,0.97,4.1,5.8
平成24,2012,10,Oct.,179122,104128,74568,41821,24475,17253,179293,70945,7568,4860,2695,10699,4552,1,4.2,6
平成24,2012,11,Nov.,173686,101571,71736,33749,19766,13921,179609,64182,7178,4560,2607,10093,4176,1.03,4.1,5.6
平成24,2012,12,Dec.,161798,95091,66382,26862,15684,11129,171517,54175,6725,4307,2413,9218,3671,1.06,4.2,5.4
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成20年）TOKYO STATISTICAL YEARBOOK ( 2012 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-1  一般職業紹介状況 (平成20～24年) 7-1  EMPLOYMENT REFERRALS FOR GENERAL WORKERS ( 2008-2012 ),,,,,,,,,,,,,,,,,,,
「一般」とは常用労働者，臨時労働者及び季節労働者の計をいう。 ただし 「新規学卒」と「パートタイム」は除く。,,,,,,,,,,,,,,,,,,,
“General workers”  refer to the regular， casual and seasonal workers， excluding new school graduates and part-timers.,,,,,,,,,,,,,,,,,,,
注) 求職申込書における「性別」欄の記載が任意になったことに伴い，男女別の合計は総数と必ずしも一致しない。,,,,,,,,,,,,,,,,,,,
Note: Total figures may not always equal the combined number of men and women because specification of gender on the application has become voluntary.,,,,,,,,,,,,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau,,,,,,,,,,,,,,,,,,,
