地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,技能労務職 Vocational labor,教育職 Educational services,その他教育職 Other Educational services,臨時職員 Temporary employees
0,13100,総数,All ku,61960,32755,1966,105,760,1664,14669,8970,945,116,10
1,13101,千代田区,Chiyoda-ku,1030,661,32,2,12,20,108,110,83,2,-
1,13102,中央区,Chuo-ku,1440,735,50,4,30,32,270,240,76,3,-
1,13103,港区,Minato-ku,2104,1234,69,3,21,44,370,294,63,6,-
1,13104,新宿区,Shinjuku-ku,2717,1392,91,7,20,86,656,396,61,8,-
1,13105,文京区,Bunkyo-ku,1777,904,59,3,38,47,421,240,62,3,-
1,13106,台東区,Taito-ku,1663,1180,42,3,13,46,198,120,58,3,-
1,13107,墨田区,Sumida-ku,1972,1179,76,3,21,50,411,208,21,3,-
1,13108,江東区,Koto-ku,2791,1312,95,8,22,72,737,438,103,4,-
1,13109,品川区,Shinagawa-ku,2595,1300,85,4,33,67,691,359,47,9,-
1,13110,目黒区,Meguro-ku,2149,1094,76,3,47,54,590,264,15,6,-
1,13111,大田区,Ota-ku,4469,2223,136,5,62,109,1193,735,-,6,-
1,13112,世田谷区,Setagaya-ku,5083,2793,153,6,53,124,1106,793,46,9,-
1,13113,渋谷区,Shibuya-ku,1919,979,65,4,19,48,364,414,17,9,-
1,13114,中野区,Nakano-ku,2165,1107,78,4,31,57,554,321,10,3,-
1,13115,杉並区,Suginami-ku,3622,1696,109,9,43,102,1006,514,140,3,-
1,13116,豊島区,Toshima-ku,1991,1108,82,3,18,63,492,212,9,4,-
1,13117,北区,Kita-ku,2456,1291,85,3,17,85,696,256,20,3,-
1,13118,荒川区,Arakawa-ku,1573,950,52,4,21,53,294,162,34,3,-
1,13119,板橋区,Itabashi-ku,3588,1924,124,6,39,113,901,471,8,2,-
1,13120,練馬区,Nerima-ku,4582,2018,111,6,66,130,1347,867,33,3,1
1,13121,足立区,Adachi-ku,3546,2237,111,6,43,108,777,241,9,14,-
1,13122,葛飾区,Katsushika-ku,2985,1412,69,6,17,78,803,580,10,10,-
1,13123,江戸川区,Edogawa-ku,3743,2026,116,3,74,76,684,735,20,-,9
,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,
22-5  職員数 (2) 区 (平成24年4月1日)  22-5  GOVERNMENT EMPLOYEES (2) KU ( Apr. 1， 2012 ),,,,,,,,,,,,,,
注) 教育職には，教育長，小・中学校教員は含まない。 ,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,
資料：都総務局行政部振興企画課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,
