区分階層,区分,Section,総数 Total,事務 Administrative employees,技術 Technically skilled employees,医療福祉 Health and welfare employees,技能労務 Public field worker
0,総数,Total,38289,15053,8476,8248,6512
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,24096,11361,3936,8221,578
2,知事本局,Headquarters of the Governor of Tokyo ,137,134,3,-,-
2,総務局,Bureau of General Affairs,2935,2716,172,1,46
2,財務局,Bureau of Finance,409,255,148,-,6
2,主税局,Bureau of Taxation,3017,3016,1,-,-
2,生活文化局　　　　　,Bureau of Citizens and Cultural affairs      ,396,325,66,-,5
2,スポーツ振興局,Bureau of Sports  ,186,163,22,1,-
2,都市整備局,Bureau of Urban Development          ,1132,484,647,-,1
2,環境局,Bureau of Environment,461,229,226,-,6
2,福祉保健局,Bureau of Social Welfare and Public Health,4129,1510,476,2059,84
2,産業労働局,Bureau of Industrial and Labor Affairs ,1210,688,482,8,32
2,建設局,Bureau of Construction,2146,781,1321,-,44
2,港湾局,Bureau of Port and Harbor,569,245,268,-,56
2,会計管理局,Bureau of Accounting,107,107,-,-,-
2,青少年・治安対策本部,Office for Youth Affairs and Public Safety,44,43,1,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6564,385,5,6152,22
2,中央卸売市場,Central Wholesale Market,595,222,97,-,276
2,収用委員会,Secretariat to Expropriation Commission,21,20,1,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
2,公営企業体,Public Enterprises,13188,2782,4489,5,5912
2,交通局,Bureau of Transportation,6616,655,535,5,5421
1,水道局,Bureau of Waterworks,4013,1609,2037,-,367
2,下水道局,Bureau of Sewerage,2559,518,1917,-,124
2,行政委員会事務局,Executive Offices of Administrative Commission ,857,784,51,22,-
2,教育委員会,Board of Education ,675,628,25,22,-
1,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,63,56,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (平成24年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) TOKYO METROPOLITAN GOVERNMENT ( Apr. 1， 2012 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
