品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,マーク Mark,24年平均 2012 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米(単一原料米，｢コシヒカリ｣以外),"Non-glutinous rice(single ingredient， excluding ""Koshihikari"")",国内産，精米，単一原料米(産地，品種及び産年が同一のもの)，袋入り(5kg入り)，コシヒカリを除く,"Domestic， polished， single ingredient (those area， year of production and variety are the same)， in bag (5kg)， excluding ""koshihikari""",1袋,1 bag,,2223,2165,2188,2209,2178,2206,2177,2205,2202,2210,2276,2345,2315
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,,429,444,436,442,429,431,433,435,430,424,420,421,408
食料,Food,穀類,Cereals,3,即席めん,Instant noodles,中華タイプ，カップ入り(77g入り)，「カップヌードル」,"Chinese type， in cup （77g）， ""Cup Noodles""",1個,1 cup,,144,144,145,144,146,143,144,143,143,143,142,143,143
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna， for  ""Sashimi""， not sliced， lean",100g,100g,,390,402,387,392,396,393,388,396,390,396,382,381,376
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ，丸(長さ約15cm以上）,Jack mackerel，whole (about 15cm long or more),100g,100g,,106,117,107,109,122,101,103,103,113,98,99,104,102
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか,Sagitｔated calamary,100g,100g,,86,91,79,94,85,98,104,84,81,78,87,76,77
食料,Food,肉類,Meats,1,牛肉(ロース),Beef (loin),国産品，ロース,Domestic，loin,100g,100g,,786,798,792,795,775,784,788,787,782,777,773,778,798
食料,Food,肉類,Meats,2,豚肉(ロース),Pork (loin),ロース,Loin,100g,100g,,237,239,239,235,238,234,243,237,238,236,235,236,238
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー， もも肉,Broiler， legs,100g,100g,,125,129,129,130,127,126,126,125,122,123,122,122,123
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム， JAS格付けなし， 普通品,Roast ham， non Japanese Agricultural Standard (JAS)， ordinary quality,100g,100g,,225,228,229,229,224,227,229,228,227,227,218,221,219
食料,Food,乳卵類,Dairy products & eggs,1,牛乳(店頭売り，紙容器入り) ,Fresh milk (sold in stores， in cartons),牛乳，店頭売り，紙容器入り（1，000mL入り）,Fresh milk，sold in stores， in carton（1，000mL）,1本,1 carton,,214,217,217,215,216,217,214,215,212,211,211,212,211
食料,Food,乳卵類,Dairy products & eggs,2,鶏卵,Hen eggs,白色卵，Lサイズ，パック詰（10個入り),White eggs，size L，packed (10eggs),1パック,1 pack,,213,203,213,214,212,213,206,208,205,212,216,221,237
食料,Food,野菜・海草,Vegetables & seaweeds,1,キャベツ,Cabbage,,,1kg,1kg,,163,230,247,238,262,196,127,119,111,101,101,103,128
食料,Food,野菜・海草,Vegetables & seaweeds,2,だいこん,Radishes,,,1kg,1kg,,168,159,197,231,253,187,159,149,141,147,147,120,128
食料,Food,野菜・海草,Vegetables & seaweeds,3,豆腐,"""Tofu""，bean curd",木綿豆腐，並 ,Momen Tofu，ordinary quality,100g,100g,,28,28,28,28,28,28,28,28,28,28,27,28,27
