地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職海事職 Firefighting and maritime services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13300,郡部,All gun,553,452,42,5,8,31,-,-,-,13,2,-
1,13303,瑞穂町,Mizuho-machi,215,187,18,-,-,6,-,-,-,2,2,-
1,13305,日の出町,Hinode-machi,154,138,14,-,-,-,-,-,-,2,-,-
1,13307,檜原村,Hinohara-mura,56,39,3,2,2,6,-,-,-,4,-,-
1,13308,奥多摩町,Okutama-machi,128,88,7,3,6,19,-,-,-,5,-,-
0,13350,島部,All islands,938,503,34,12,18,62,98,67,88,56,-,-
1,13361,大島町,Oshima-machi,186,102,7,-,2,8,22,25,8,12,-,-
1,13362,利島村,Toshima-mura,26,18,-,1,-,2,5,-,-,-,-,-
1,13363,新島村,Niijima-mura,120,73,3,2,5,13,13,5,-,6,-,-
1,13364,神津島村,Kozushima-mura,76,52,4,1,2,9,6,-,-,2,-,-
1,13381,三宅村,Miyake-mura,121,62,5,2,3,9,8,14,15,3,-,-
1,13382,御蔵島村,Mikurajima-mura,26,15,1,1,-,-,2,-,-,7,-,-
1,13401,八丈町,Hachijo-machi,241,99,10,-,2,4,27,23,65,11,-,-
1,13402,青ヶ島村,Aogashima-mura,24,13,1,1,-,-,2,-,-,7,-,-
1,13421,小笠原村,Ogasawara-mura,118,69,3,4,4,17,13,-,-,8,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (4) 町村 (平成24年4月1日) 22-5  GOVERNMENT EMPLOYEES (4) MACHI AND MURA ( Apr. 1， 2012 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Education services figures do not include the Director General ( Office of Education ) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部振興企画課「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:郡部・島部　1:区市町村）,,,,,,,,,,,,,,,
