年次,Year,感染症  Infectious diseases／一類 Category I  1) ,感染症  Infectious diseases／二類 Category II／急性灰白髄炎 polio,感染症  Infectious diseases／二類 Category II／結核 Tuberculosis,感染症  Infectious diseases／二類 Category II／ジフテリア Diphtheria,感染症  Infectious diseases／二類 Category II／重症急性呼吸器症候群 Severe acute respiratory syndrome (SARS),感染症  Infectious diseases／三類 Category III／コレラ Cholera ,感染症  Infectious diseases／三類 Category III／細菌性赤痢 Bacillary dysentery,感染症  Infectious diseases／三類 Category III／腸管出血性大腸菌感染症 Enterohemorrhagic Escherichia coli infection,感染症  Infectious diseases／三類 Category III／腸チフス Typhoid fever,感染症  Infectious diseases／三類 Category III／パラチフス Paratyphoid fever,感染症  Infectious diseases／四類 Category IV／狂犬病 Rabies,感染症  Infectious diseases／四類 Category IV／つつが虫病 Tsu-tsu-gamushi disease,感染症  Infectious diseases／四類 Category IV／日本脳炎 Japanese encephalitis,感染症  Infectious diseases／四類 Category IV／発しんチフス Epidemic typhus,感染症  Infectious diseases／四類 Category IV／マラリア Malaria,感染症  Infectious diseases／五類全数届出疾患 Total category V diseases reported／ｱﾒｰﾊﾞ赤痢 Amoebic dysentery,感染症  Infectious diseases／五類全数届出疾患 Total category V diseases reported／ｳｨﾙｽ性肝炎 Viral hepatitis 2),感染症  Infectious diseases／五類全数届出疾患 Total category V diseases reported／クロイツフェルト・ヤコブ病 Creutzfeldt-Jakob disease,感染症  Infectious diseases／五類全数届出疾患 Total category V diseases reported／後天性免疫不全症候群 Acquired immunodeficiency syndrome (AIDS),感染症  Infectious diseases／五類全数届出疾患 Total category V diseases reported／梅毒 Syphilis,感染症  Infectious diseases／五類全数届出疾患 Total category V diseases reported／破傷風 Tetanus,感染症  Infectious diseases／五類全数届出疾患 Total category V diseases reported／風しん Rubella,感染症  Infectious diseases／五類全数届出疾患 Total category V diseases reported／麻しん Measles,感染症  Infectious diseases／五類定点医療機関からの届出疾患 Diseases reported by fixed-point observation medical institutions in Tokyo 3)／小児科 Pediatric diseases (*1)／百日咳 Pertussis ,感染症  Infectious diseases／五類 定点医療機関からの届出疾患 Diseases reported by fixed-point observation medical institutions in Tokyo 3)／小児科 Pediatric diseases (*1)／流行性耳下腺炎 Mumps,感染症  Infectious diseases／五類定点医療機関からの届出疾患 Diseases reported by fixed-point observation medical institutions in Tokyo 3)／ｲﾝﾌﾙｴﾝｻﾞ Influenza (*2)／ｲﾝﾌﾙｴﾝｻﾞ Influenza ,食中毒  Food poisoning
平成20,2008,-,-,4443,-,-,6,64,409,13,7,-,18,-,-,23,189,30,15,545,205,5,46,1174,278,3662,23059,1442
平成21,2009,-,-,4204,-,-,3,48,318,11,12,-,14,-,-,26,140,35,19,471,196,7,19,110,225,5175,142140,1847
平成22,2010,-,-,4332,-,-,2,86,339,12,5,-,14,-,-,27,180,48,15,509,173,5,15,76,506,5154,12614,2006
平成23,2011,-,1,3022,-,-,3,86,257,6,9,-,13,1,-,27,178,40,13,409,248,8,35,178,450,4488,99940,1515
平成24,2012,-,-,4536,-,-,-,75,258,13,11,-,19,-,-,24,198,60,18,461,297,5,672,84,286,3089,135064,2103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-6  感染症及び食中毒の患者数 (平成20～平成24年) 19-6  INFECTIOUS DISEASE AND FOOD POISONING PATIENTS ( 2008-2012 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) エボラ出血熱，クリミア・コンゴ出血熱，痘そう，南米出血熱，ペスト，マールブルク病，ラッサ熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) ウイルス性肝炎はＡ型肝炎・Ｅ型肝炎を除く。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) 定点医療機関からの届出疾患は，都内定点からの報告のあった患者数である。小児科定点（*1）は264か所，インフルエンザ定点（*2）は419か所（2012年現在）。　,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Ebola hemorrhagic fever， Crimean-Congo hemorrhagic fever， smallpox， South American hemorrhagic fever， plague， Marburg disease，  and Lassa fever   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Viral hepatitis excludes A and E types.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) In 2012， 264 pediatric (*1) and 419 influenza (*2) fixed-point observation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課   Source: Bureau of Social Welfare and Public Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,
