年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成20,2008,0,13000,,東京都,Tokyo-to,,12905886,100,12839661,12910106,1621990,7,12725000,12861379,1618945,14,25690,18621,3045,79,88971,30106,100
平成21,2009,0,13000,,東京都,Tokyo-to,,13011344,150,13045914,13011475,1608921,7,12932830,12965376,1606045,13,23550,18102,2876,130,89534,27997,100
平成22,2010,0,13000,,東京都,Tokyo-to,,13175533,136,13030152,13175456,1609097,6,12923750,13133325,1606296,13,23550,17821,2801,117,82852,24310,100
平成23,2011,0,13000,,東京都,Tokyo-to,,13197992,137,13166874,13197807,1576663,6,12991750,13152982,1573809,13,23650,17725,2854,118,151474,27100,100
平成24,2012,0,13000,,東京都,Tokyo-to,,13236860,136,13166704,13236214,1561303,6,12991750,13192051,1558725,11,23650,17334,2578,119,151304,26829,100
平成24,2012,1,13100,,区部,All ku,,9017804,12,12683391,9017804,1519628,1,12662000,9008630,1519628,-,-,-,-,11,21391,9174,100
平成24,2012,1,13200,,市部,All shi,,4133728,108,443913,4133417,36816,3,314000,4115762,36816,0,0,0,0,105,129913,17655,99.99
平成24,2012,2,13201,1,八王子市,Hachioji-shi,※,579479,19,7430,579396,0,-,-,572683,-,-,-,-,-,19,7430,6713,99.99
平成24,2012,2,13202,2,立川市,Tachikawa-shi,※,179234,3,1180,179234,0,-,-,179157,-,-,-,-,-,3,1180,77,100
平成24,2012,2,13203,3,武蔵野市,Musashino-shi,,139535,7,159863,139535,17458,1,139000,139355,17458,-,-,-,-,6,20863,180,100
平成24,2012,2,13204,4,三鷹市,Mitaka-shi,※,186210,4,5504,186210,0,-,-,184882,-,-,-,-,-,4,5504,1328,100
平成24,2012,2,13205,5,青梅市,Ome-shi,※,137838,4,725,137796,0,-,-,137280,-,-,-,-,-,4,725,516,99.97
平成24,2012,2,13206,6,府中市,Fuchu-shi,※,256114,7,24764,256114,0,-,-,254874,-,-,-,-,-,7,24764,1240,100
平成24,2012,2,13207,7,昭島市,Akishima-shi,,112932,5,117990,112930,12534,1,115000,112658,12534,-,-,-,-,4,2990,272,100
平成24,2012,2,13208,8,調布市,Chofu-shi,※,225372,5,7400,225372,0,-,-,223545,-,-,-,-,-,5,7400,1827,100
平成24,2012,2,13209,9,町田市,Machida-shi,※,428523,4,453,428447,0,-,-,427994,-,-,-,-,-,4,453,453,99.98
平成24,2012,2,13210,10,小金井市,Koganei-shi,※,119946,3,13016,119946,0,-,-,119865,-,-,-,-,-,3,13016,81,100
平成24,2012,2,13211,11,小平市,Kodaira-shi,※,188139,8,8690,188139,0,-,-,186066,-,-,-,-,-,8,8690,2073,100
平成24,2012,2,13212,12,日野市,Hino-shi,※,180895,9,599,180895,0,-,-,180527,-,-,-,-,-,9,599,368,100
平成24,2012,2,13213,13,東村山市,Higashimurayama-shi,※,152747,5,1948,152747,0,-,-,152167,-,-,-,-,-,5,1948,580,100
平成24,2012,2,13214,14,国分寺市,Kokubunji-shi,※,121067,3,10050,121067,0,-,-,121067,-,-,-,-,-,3,10050,-,100
平成24,2012,2,13215,15,国立市,Kunitachi-shi,※,75268,4,8937,75268,0,-,-,75268,-,-,-,-,-,4,8937,-,100
平成24,2012,2,13218,16,福生市,Fussa-shi,※,58702,2,0,58702,0,-,-,58702,-,-,-,-,-,2,-,-,100
平成24,2012,2,13219,17,狛江市,Komae-shi,※,78818,0,0,78818,0,-,-,78818,-,-,-,-,-,-,-,-,100
平成24,2012,2,13220,18,東大和市,Higashiyamato-shi,※,83811,0,0,83811,0,-,-,83811,-,-,-,-,-,-,-,-,100
平成24,2012,2,13221,19,清瀬市,Kiyose-shi,※,74059,5,3705,74059,0,-,-,74059,-,-,-,-,-,5,3705,-,100
平成24,2012,2,13222,20,東久留米市,Higashikurume-shi,※,115776,2,2000,115776,0,-,-,115250,-,-,-,-,-,2,2000,526,100
平成24,2012,2,13223,21,武蔵村山市,Musashimurayama-shi,※,70417,2,1059,70417,0,-,-,70237,-,-,-,-,-,2,1059,180,100
平成24,2012,2,13224,22,多摩市,Tama-shi,※,146006,3,1600,146006,0,-,-,144765,-,-,-,-,-,3,1600,1241,100
平成24,2012,2,13225,23,稲城市,Inagi-shi,※,86234,0,0,86234,0,-,-,86234,-,-,-,-,-,-,-,-,100
