地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職海事職 Firefighting and maritime services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13200,総数,All shi,24427,14691,1653,91,572,1021,2457,84,1384,2398,73,3
1,13201,八王子市,Hachioji-shi,2825,1764,214,3,78,62,129,-,-,567,8,-
1,13202,立川市,Tachikawa-shi,1151,781,71,-,25,31,135,-,-,103,5,-
1,13203,武蔵野市,Musashino-shi,962,639,66,-,20,38,128,-,32,37,2,-
1,13204,三鷹市,Mitaka-shi,1018,606,73,-,38,29,175,-,-,96,1,-
1,13205,青梅市,Ome-shi,1463,569,62,-,6,13,-,-,717,96,-,-
1,13206,府中市,Fuchu-shi,1257,768,84,-,31,53,210,-,-,93,18,-
1,13207,昭島市,Akishima-shi,673,460,46,-,13,12,27,-,25,89,1,-
1,13208,調布市,Chofu-shi,1261,857,85,-,30,37,145,-,-,106,1,-
1,13209,町田市,Machida-shi,2823,1470,161,3,54,60,163,-,600,306,3,3
1,13210,小金井市,Koganei-shi,701,397,65,-,20,16,133,-,-,70,-,-
1,13211,小平市,Kodaira-shi,921,579,71,-,7,22,153,-,-,87,2,-
1,13212,日野市,Hino-shi,1312,628,55,48,66,219,145,-,-,129,22,-
1,13213,東村山市,Higashimurayama-shi,790,500,55,-,20,21,137,-,-,57,-,-
1,13214,国分寺市,Kokubunji-shi,682,409,47,-,14,21,93,-,-,97,1,-
1,13215,国立市,Kunitachi-shi,433,278,43,-,9,17,69,-,-,17,-,-
1,13218,福生市,Fussa-shi,374,305,27,-,-,10,7,-,-,24,1,-
1,13219,狛江市,Komae-shi,458,275,31,-,8,11,87,-,-,46,-,-
1,13220,東大和市,Higashiyamato-shi,456,349,36,-,1,13,31,-,-,26,-,-
1,13221,清瀬市,Kiyose-shi,426,252,29,-,5,16,65,-,-,58,1,-
1,13222,東久留米市,Higashikurume-shi,612,345,54,-,17,25,120,-,-,50,1,-
1,13223,武蔵村山市,Musashimurayama-shi,378,298,43,-,3,12,-,-,-,22,-,-
1,13224,多摩市,Tama-shi,824,634,62,-,11,28,32,-,-,56,1,-
1,13225,稲城市,Inagi-shi,813,326,38,37,66,192,50,84,-,20,-,-
1,13227,羽村市,Hamura-shi,355,263,26,-,2,10,29,-,10,14,1,-
1,13228,あきる野市,Akiruno-shi,431,334,39,-,4,14,21,-,-,17,2,-
1,13229,西東京市,Nishitokyo-shi,1028,605,70,-,24,39,173,-,-,115,2,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (3) 市 (平成24年4月1日) 22-5  GOVERNMENT EMPLOYEES  (3) SHI ( Apr. 1， 2012 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部振興企画課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,
