年度末,End of fiscal year,地域階層,地域コード,地域,District,合計 Total／計 Total,合計 Total／計 Total／全部支給 Full payment,合計 Total／計 Total／一部支給 Partial payment,合計 Total／停止 Discontinued,都道府県知事支給対象者 Covered by Prefecture／計 Total,都道府県知事支給対象者 Covered by Prefecture／計 Total／全部支給 Full payment,都道府県知事支給対象者 Covered by Prefecture／計 Total／一部支給 Partial payment,都道府県知事支給対象者 Covered by Prefecture／停止 Discontinued,国支給対象者 Covered by the State／計 Total,国支給対象者 Covered by the State／計 Total／全部支給 Full payment,国支給対象者 Covered by the State／計 Total／一部支給 Partial payment,国支給対象者 Covered by the State／停止 Discontinued
平成20,2008,0,13000,東京都,Tokyo-to,76271,42868,33403,13784,76249,42854,33395,13780,22,14,8,4
平成21,2009,0,13000,東京都,Tokyo-to,77428,42920,34508,14345,77411,42910,34501,14344,17,10,7,1
平成22,2010,0,13000,東京都,Tokyo-to,82894,46435,36459,14438,82882,46427,36455,14436,12,8,4,2
平成23,2011,0,13000,東京都,Tokyo-to,83793,47667,36126,14679,83783,47661,36122,14678,10,6,4,1
平成24,2012,0,13000,東京都,Tokyo-to,84238,48303,35935,14587,84233,48301,35932,14586,5,2,3,1
平成24,2012,1,13100,区部,All ku,55496,31921,23575,9749,55491,31919,23572,9748,5,2,3,1
平成24,2012,2,13101,千代田区,Chiyoda-ku,254,132,122,78,254,132,122,77,-,-,-,1
平成24,2012,2,13102,中央区,Chuo-ku,580,308,272,144,580,308,272,144,-,-,-,-
平成24,2012,2,13103,港区,Minato-ku,1104,678,426,317,1104,678,426,317,-,-,-,-
平成24,2012,2,13104,新宿区,Shinjuku-ku,1678,1036,642,277,1677,1036,641,277,1,-,1,-
平成24,2012,2,13105,文京区,Bunkyo-ku,693,374,319,241,693,374,319,241,-,-,-,-
平成24,2012,2,13106,台東区,Taito-ku,1141,679,462,152,1141,679,462,152,-,-,-,-
平成24,2012,2,13107,墨田区,Sumida-ku,1892,1069,823,301,1892,1069,823,301,-,-,-,-
平成24,2012,2,13108,江東区,Koto-ku,3296,1906,1390,546,3295,1905,1390,546,1,1,-,-
平成24,2012,2,13109,品川区,Shinagawa-ku,1884,918,966,523,1884,918,966,523,-,-,-,-
平成24,2012,2,13110,目黒区,Meguro-ku,943,520,423,281,943,520,423,281,-,-,-,-
平成24,2012,2,13111,大田区,Ota-ku,4011,2157,1854,804,4010,2157,1853,804,1,-,1,-
平成24,2012,2,13112,世田谷区,Setagaya-ku,3521,1866,1655,936,3521,1866,1655,936,-,-,-,-
平成24,2012,2,13113,渋谷区,Shibuya-ku,789,445,344,171,789,445,344,171,-,-,-,-
平成24,2012,2,13114,中野区,Nakano-ku,1366,709,657,309,1366,709,657,309,-,-,-,-
平成24,2012,2,13115,杉並区,Suginami-ku,2095,1130,965,555,2095,1130,965,555,-,-,-,-
平成24,2012,2,13116,豊島区,Toshima-ku,1268,717,551,232,1268,717,551,232,-,-,-,-
平成24,2012,2,13117,北区,Kita-ku,2138,1219,919,283,2138,1219,919,283,-,-,-,-
平成24,2012,2,13118,荒川区,Arakawa-ku,1539,857,682,234,1539,857,682,234,-,-,-,-
平成24,2012,2,13119,板橋区,Itabashi-ku,4078,2479,1599,592,4078,2479,1599,592,-,-,-,-
平成24,2012,2,13120,練馬区,Nerima-ku,4621,2651,1970,827,4621,2651,1970,827,-,-,-,-
平成24,2012,2,13121,足立区,Adachi-ku,6813,4278,2535,686,6812,4278,2534,686,1,-,1,-
平成24,2012,2,13122,葛飾区,Katsushika-ku,3708,2160,1548,508,3708,2160,1548,508,-,-,-,-
平成24,2012,2,13123,江戸川区,Edogawa-ku,6084,3633,2451,752,6083,3632,2451,752,1,1,-,-
平成24,2012,1,13200,市部,All shi,27949,15958,11991,4714,27949,15958,11991,4714,-,-,-,-
平成24,2012,2,13201,八王子市,Hachioji-shi,4413,2623,1790,713,4413,2623,1790,713,-,-,-,-
平成24,2012,2,13202,立川市,Tachikawa-shi,1461,851,610,203,1461,851,610,203,-,-,-,-
平成24,2012,2,13203,武蔵野市,Musashino-shi,499,262,237,124,499,262,237,124,-,-,-,-
平成24,2012,2,13204,三鷹市,Mitaka-shi,881,498,383,147,881,498,383,147,-,-,-,-
