年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数 Intellectual impairment certificates issued  1)
平成19,2007,0,13000,東京都,Tokyo-to,429635,25678,18390,2558,1551,11597,11597,62261
平成20,2008,0,13000,東京都,Tokyo-to,439500,26868,17951,2082,1134,8885,8885,64700
平成21,2009,0,13000,東京都,Tokyo-to,452109,27366,13977,804,1584,11725,11725,67292
平成22,2010,0,13000,東京都,Tokyo-to,459200,27777,19870,570,1386,12333,12333,69807
平成23,2011,0,13000,東京都,Tokyo-to,465928,26731,20523,2421,1901,11932,11932,72261
平成23,2011,1,13100,区部,All ku,321567,18382,14217,1761,1439,8244,8448,45978
平成23,2011,2,13101,千代田区,Chiyoda-ku,2229,101,45,10,6,54,63,182
平成23,2011,2,13102,中央区,Chuo-ku,2880,193,289,39,14,134,131,381
平成23,2011,2,13103,港区,Minato-ku,6894,415,226,61,38,263,233,750
平成23,2011,2,13104,新宿区,Shinjuku-ku,13061,747,535,87,68,377,398,1377
平成23,2011,2,13105,文京区,Bunkyo-ku,6077,356,281,35,24,154,154,825
平成23,2011,2,13106,台東区,Taito-ku,9629,472,267,51,41,238,247,863
平成23,2011,2,13107,墨田区,Sumida-ku,9008,618,605,52,41,222,238,1417
平成23,2011,2,13108,江東区,Koto-ku,17971,995,709,100,91,428,436,2592
平成23,2011,2,13109,品川区,Shinagawa-ku,13816,668,545,69,50,305,314,1731
平成23,2011,2,13110,目黒区,Meguro-ku,7529,477,314,48,30,148,194,1092
平成23,2011,2,13111,大田区,Ota-ku,26741,1537,1136,142,81,538,570,3664
平成23,2011,2,13112,世田谷区,Setagaya-ku,23689,1477,1040,150,85,605,630,3713
平成23,2011,2,13113,渋谷区,Shibuya-ku,6386,400,320,31,28,191,206,751
平成23,2011,2,13114,中野区,Nakano-ku,9663,691,518,71,54,293,309,1317
平成23,2011,2,13115,杉並区,Suginami-ku,15825,1006,754,79,79,395,421,2206
平成23,2011,2,13116,豊島区,Toshima-ku,9710,548,418,57,40,248,284,1092
平成23,2011,2,13117,北区,Kita-ku,17381,834,643,78,66,370,385,2056
平成23,2011,2,13118,荒川区,Arakawa-ku,9501,450,408,36,30,205,225,1096
平成23,2011,2,13119,板橋区,Itabashi-ku,20632,1095,729,111,106,500,519,3204
平成23,2011,2,13120,練馬区,Nerima-ku,22702,1315,1234,126,108,542,545,4071
平成23,2011,2,13121,足立区,Adachi-ku,29168,1638,1213,117,121,854,828,4676
平成23,2011,2,13122,葛飾区,Katsushika-ku,17419,966,925,79,96,493,447,2828
平成23,2011,2,13123,江戸川区,Edogawa-ku,23656,1383,1063,132,142,687,671,4094
平成23,2011,1,13200,市部,All shi,139904,8091,6137,638,447,3564,3400,25587
平成23,2011,2,13201,八王子市,Hachioji-shi,17852,1101,888,90,55,430,437,3586
平成23,2011,2,13202,立川市,Tachikawa-shi,6981,374,290,30,17,198,200,1229
平成23,2011,2,13203,武蔵野市,Musashino-shi,4156,253,170,19,14,114,123,961
平成23,2011,2,13204,三鷹市,Mitaka-shi,5370,328,305,27,24,142,145,977
平成23,2011,2,13205,青梅市,Ome-shi,5638,287,199,25,15,211,134,882
平成23,2011,2,13206,府中市,Fuchu-shi,8275,484,359,32,31,227,229,1556
平成23,2011,2,13207,昭島市,Akishima-shi,3922,223,148,11,14,105,101,772
平成23,2011,2,13208,調布市,Chofu-shi,7621,408,303,24,27,166,167,1229
平成23,2011,2,13209,町田市,Machida-shi,14842,862,691,86,29,282,264,2936
平成23,2011,2,13210,小金井市,Koganei-shi,3118,231,170,18,14,47,64,581
平成23,2011,2,13211,小平市,Kodaira-shi,6132,339,279,29,23,177,148,1197
