年次,Year,総平均 All commodities,食料品 Foodstuffs,繊維品 Textiles,木材・同製品 Wood， lumber & related products,パルプ・紙・同製品 Pulp， paper & related products,化学製品 Chemicals & related products,石油・石炭・同製品 Petroleum， coal & related products,窯業・土石製品 Ceramic， stone & clay products,鉄鋼 Iron & steel,非鉄金属 Nonferrous metals,金属製品 Metal products,機械器具 Machinery & equipment,雑品 Miscellaneous goods
昭和10,1935,0.994,-,0.984,-,-,1.05,-,-,-,-,-,-,0.984
昭和15,1940,1.641,-,1.645,-,-,1.498,-,-,-,-,-,-,1.791
昭和20,1945,3.503,-,3.809,-,-,5.693,-,-,-,-,-,-,3.333
昭和25,1950,246.8,249.5,371.1,-,-,206.3,-,-,-,-,-,-,199
昭和30,1955,343,337.7,355.5,509.9,308.3,258,338.7,268.6,360.3,347.4,276.5,269.4,258.2
昭和35,1960,352.1,345.9,312.9,632.3,297.6,244,352.6,278.2,393.5,341.2,332.8,288.1,272.3
昭和40,1965,359.4,382.5,317.4,797.5,311.3,230.8,326.5,296.3,353.7,373.9,338.7,273.1,292.7
昭和45,1970,399.9,452.8,358.5,1104.3,351.2,215.3,318.8,340.1,395.5,478.3,378.7,280,330
昭和46,1971,396.8,472.3,347.8,1073,343.8,213.7,356.9,346.6,366.2,408.4,380.6,278.3,338.3
昭和47,1972,400,481.1,356.4,1169.7,346.6,213.4,353.8,350,371.2,384.7,379.1,277.5,343.1
昭和48,1973,463.3,531.8,491.7,1684,419.5,241.1,381.4,397.5,431.7,500,427.1,292.5,405.4
昭和49,1974,608.7,654.2,491.3,1810.2,638.1,345.2,872.3,556.8,579.5,692.2,603.6,358.9,556
昭和50,1975,626.8,741.1,469.8,1690.9,601.6,361.1,1061.1,567.2,551.2,568.4,595.4,370.5,590.4
昭和51,1976,658.4,806.7,523.2,1836.5,596.4,374.5,1157.4,590.4,589.5,598.5,610.3,370,618.8
昭和52,1977,670.8,849.2,510.9,1884.2,642.1,376.4,1156.3,614.8,599.6,575.2,638.6,371.3,652.3
昭和53,1978,653.8,849.1,516.9,1793.1,591,355.7,1005.8,652.3,611.6,519.9,653.6,367.5,634.9
昭和54,1979,701.5,856.3,542.5,2273,615.6,393.5,1231.2,702.5,648.9,662.6,666.6,371.3,674.8
昭和55,1980,826.1,920.1,576,2559.5,802.2,474.1,2057.7,815.3,714.4,843.9,732.1,383.3,840.8
昭和56,1981,837.7,956.9,578.9,2272.6,778.5,461.6,2271.5,844.7,715.5,727.8,743,387.4,882.6
昭和57,1982,852.7,962.7,588,2302.5,767.3,459.2,2477.4,855.2,730.5,700,732,392.3,891.3
昭和58,1983,833.7,975.4,575.3,2197.8,745.1,448.7,2279.5,850,699.6,715.8,735.1,385.7,892.7
昭和59,1984,831.5,997.9,585.5,2191.2,772,444.9,2156.1,853,702,695.7,758.3,385.4,898.9
昭和60,1985,822.4,993.7,574.8,2161.9,758.5,438.1,2157.5,827.9,690.9,663.3,759.9,382,887.8
昭和61,1986,747.3,975.9,522.7,2022.4,730.4,399.2,1408,811.8,607.1,543,747.6,357,830.5
昭和62,1987,719.3,951.6,516.5,2223.5,716.9,383.2,1205.4,798.7,584.1,545.8,726.5,343.5,793
昭和63,1988,712.1,946.2,516.8,2187.1,722.5,384.4,1093,792.8,605.2,604,742.1,334.9,782
平成 元,1989,730.4,958.4,532.7,2362.9,745.5,393.1,1167.5,810.7,639.9,652.8,771.2,338.1,795.8
