年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of community based LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of community based LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
平成22,2010,0,13000,東京都,Tokyo-to,2611245,427241,13332,270913,8696,18289,329,62890,1105
平成23,2011,0,13000,東京都,Tokyo-to,2663049,449968,13602,289060,8921,19823,364,63469,1052
平成24,2012,0,13000,東京都,Tokyo-to,2766811,480108,13529,309072,8798,21680,365,65258,1040
平成24,2012,1,13100,区部,All ku,1855982,329906,8971,217725,5926,15191,248,41181,643
平成24,2012,2,13101,千代田区,Chiyoda-ku,10016,2010,56,1288,30,144,1,241,-
平成24,2012,2,13102,中央区,Chuo-ku,21023,3969,130,2492,81,197,3,553,1
平成24,2012,2,13103,港区,Minato-ku,39664,7601,183,4836,115,205,2,1108,11
平成24,2012,2,13104,新宿区,Shinjuku-ku,63386,11730,241,8057,179,656,10,1579,14
平成24,2012,2,13105,文京区,Bunkyo-ku,39863,7083,163,4808,111,334,9,891,13
平成24,2012,2,13106,台東区,Taito-ku,43373,8047,195,5021,131,316,7,1072,13
平成24,2012,2,13107,墨田区,Sumida-ku,55748,9652,286,6521,197,453,8,1377,26
平成24,2012,2,13108,江東区,Koto-ku,96876,14936,495,9509,306,646,7,2207,53
平成24,2012,2,13109,品川区,Shinagawa-ku,74984,12274,418,8090,247,626,11,1799,34
平成24,2012,2,13110,目黒区,Meguro-ku,51794,9822,206,6474,141,266,11,1300,12
平成24,2012,2,13111,大田区,Ota-ku,149752,26448,765,17992,521,1215,22,3043,59
平成24,2012,2,13112,世田谷区,Setagaya-ku,165729,33008,744,22118,493,1425,26,3423,39
平成24,2012,2,13113,渋谷区,Shibuya-ku,40011,8048,190,4964,109,275,-,1006,12
平成24,2012,2,13114,中野区,Nakano-ku,63806,12366,278,8223,183,670,10,1379,17
平成24,2012,2,13115,杉並区,Suginami-ku,110000,21554,462,14352,297,898,15,2434,30
平成24,2012,2,13116,豊島区,Toshima-ku,54085,10315,229,6621,152,385,3,1255,11
平成24,2012,2,13117,北区,Kita-ku,82577,14781,389,9795,261,737,10,1922,35
平成24,2012,2,13118,荒川区,Arakawa-ku,46136,7895,230,5361,169,429,8,1070,18
平成24,2012,2,13119,板橋区,Itabashi-ku,115552,20395,579,12915,381,905,16,2573,36
平成24,2012,2,13120,練馬区,Nerima-ku,144948,26377,659,17690,441,1300,20,3094,53
平成24,2012,2,13121,足立区,Adachi-ku,154063,26574,827,17117,499,1413,18,3264,61
平成24,2012,2,13122,葛飾区,Katsushika-ku,102503,16425,518,11084,368,752,8,2271,37
平成24,2012,2,13123,江戸川区,Edogawa-ku,130093,18596,728,12397,514,944,23,2320,58
平成24,2012,1,13200,市部,All shi,887333,146361,4425,89297,2799,6370,115,23045,380
平成24,2012,2,13201,八王子市,Hachioji-shi,124415,21079,641,12530,398,827,19,3011,54
平成24,2012,2,13202,立川市,Tachikawa-shi,38406,6374,200,4001,141,366,7,1054,17
平成24,2012,2,13203,武蔵野市,Musashino-shi,29253,5690,137,3579,85,249,7,896,12
平成24,2012,2,13204,三鷹市,Mitaka-shi,36001,6497,157,4236,96,397,2,911,15
平成24,2012,2,13205,青梅市,Ome-shi,31099,4276,168,2134,105,169,2,1001,15
平成24,2012,2,13206,府中市,Fuchu-shi,48953,8426,261,5000,166,319,6,1180,9
平成24,2012,2,13207,昭島市,Akishima-shi,24601,4146,141,2478,76,169,6,785,14
平成24,2012,2,13208,調布市,Chofu-shi,44641,8148,199,5073,129,316,2,1091,22
平成24,2012,2,13209,町田市,Machida-shi,97665,15653,510,9480,337,928,12,2491,46
平成24,2012,2,13210,小金井市,Koganei-shi,22812,4261,112,2713,72,209,3,569,12
平成24,2012,2,13211,小平市,Kodaira-shi,39100,6433,191,3921,120,410,7,1008,13
平成24,2012,2,13212,日野市,Hino-shi,39968,6861,186,4308,109,227,12,1074,10
平成24,2012,2,13213,東村山市,Higashimurayama-shi,34746,6423,212,3763,129,167,6,1115,23
平成24,2012,2,13214,国分寺市,Kokubunji-shi,24066,3992,115,2563,77,177,7,581,7
平成24,2012,2,13215,国立市,Kunitachi-shi,15296,2774,98,1692,55,144,5,425,11
平成24,2012,2,13218,福生市,Fussa-shi,12614,1861,71,1050,51,22,-,428,6
平成24,2012,2,13219,狛江市,Komae-shi,17815,3191,79,2086,47,61,-,389,4
平成24,2012,2,13220,東大和市,Higashiyamato-shi,19617,2837,91,1673,62,78,3,471,8
平成24,2012,2,13221,清瀬市,Kiyose-shi,18539,3239,87,1997,51,82,1,531,14
平成24,2012,2,13222,東久留米市,Higashikurume-shi,28645,4089,127,2588,86,127,1,621,11
平成24,2012,2,13223,武蔵村山市,Musashimurayama-shi,15857,2119,66,1286,47,81,-,403,6
平成24,2012,2,13224,多摩市,Tama-shi,33596,4204,147,2709,104,213,2,628,8
平成24,2012,2,13225,稲城市,Inagi-shi,15355,2069,79,1322,53,128,-,324,2
平成24,2012,2,13227,羽村市,Hamura-shi,11915,1565,56,823,31,35,-,304,8
平成24,2012,2,13228,あきる野市,Akiruno-shi,19665,2373,89,1302,55,66,1,655,14
平成24,2012,2,13229,西東京市  ,Nishitokyo-shi,42693,7781,205,4990,117,403,4,1099,19
平成24,2012,1,13300,郡部,All gun,14929,2211,92,1111,58,50,2,646,10
平成24,2012,1,13350,島部,All islands,8567,1630,41,939,15,69,-,386,7
,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-9  介護保険被保険者数 ・認定者・受給者の状況（平成22～24年度） 18-9  PERSONS INSURANCE， APPROVAL， RECIPIENT ( Fiscal Years 2010-2012 ) ,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」Source : Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
