年次,Year,地域階層,地域コード,地域,District,福祉事務所 Welfare offices／事務所数 Offices,福祉事務所 Welfare offices／地区担当員数 Caseworkers,民生委員 Local welfare commissioners (volunteers)／定員数 Maximum number,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／総数 Total,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／男 Male,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／女 Female
平成20,2008,0,13000,東京都,Tokyo-to,67,1627,10461,10045,2697,7348
平成21,2009,0,13000,東京都,Tokyo-to,67,1688,10461,10124,2712,7412
平成22,2010,0,13000,東京都,Tokyo-to,67,1869,10461,10216,2712,7504
平成23,2011,0,13000,東京都,Tokyo-to,67,2094,10585,10054,2563,7491
平成24,2012,0,13000,東京都,Tokyo-to,67,2094,10585,10135,2580,7555
平成24,2012,1,13100,区部,All ku,36,1650,7356,7095,1715,5380
平成24,2012,2,13101,千代田区,Chiyoda-ku,1,7,52,50,14,36
平成24,2012,2,13102,中央区,Chuo-ku,1,9,102,98,23,75
平成24,2012,2,13103,港区,Minato-ku,1,24,169,146,47,99
平成24,2012,2,13104,新宿区,Shinjuku-ku,1,83,302,294,66,228
平成24,2012,2,13105,文京区,Bunkyo-ku,1,17,146,140,42,98
平成24,2012,2,13106,台東区,Taito-ku,1,67,211,204,72,132
平成24,2012,2,13107,墨田区,Sumida-ku,1,63,209,188,56,132
平成24,2012,2,13108,江東区,Koto-ku,1,63,311,284,78,206
平成24,2012,2,13109,品川区,Shinagawa-ku,1,41,322,305,77,228
平成24,2012,2,13110,目黒区,Meguro-ku,1,26,231,223,33,190
平成24,2012,2,13111,大田区,Ota-ku,1,130,503,493,112,381
平成24,2012,2,13112,世田谷区,Setagaya-ku,5,86,622,596,81,515
平成24,2012,2,13113,渋谷区,Shibuya-ku,1,27,185,182,34,148
平成24,2012,2,13114,中野区,Nakano-ku,1,53,305,291,43,248
平成24,2012,2,13115,杉並区,Suginami-ku,1,62,431,417,87,330
平成24,2012,2,13116,豊島区,Toshima-ku,1,61,252,243,35,208
平成24,2012,2,13117,北区,Kita-ku,1,90,324,312,82,230
平成24,2012,2,13118,荒川区,Arakawa-ku,1,49,215,214,64,150
平成24,2012,2,13119,板橋区,Itabashi-ku,3,147,506,499,115,384
平成24,2012,2,13120,練馬区,Nerima-ku,4,102,570,562,139,423
平成24,2012,2,13121,足立区,Adachi-ku,5,198,553,538,176,362
平成24,2012,2,13122,葛飾区,Katsushika-ku,1,96,400,385,108,277
平成24,2012,2,13123,江戸川区,Edogawa-ku,1,149,435,431,131,300
平成24,2012,1,13200,市部,All shi,26,427,3030,2849,800,2049
平成24,2012,2,13201,八王子市,Hachioji-shi,1,45,445,436,148,288
平成24,2012,2,13202,立川市,Tachikawa-shi,1,36,157,155,40,115
平成24,2012,2,13203,武蔵野市,Musashino-shi,1,18,98,96,17,79
平成24,2012,2,13204,三鷹市,Mitaka-shi,1,23,124,114,19,95
平成24,2012,2,13205,青梅市,Ome-shi,1,11,139,139,65,74
平成24,2012,2,13206,府中市,Fuchu-shi,1,23,173,171,45,126
平成24,2012,2,13207,昭島市,Akishima-shi,1,14,85,81,20,61
平成24,2012,2,13208,調布市,Chofu-shi,1,23,156,153,68,85
平成24,2012,2,13209,町田市,Machida-shi,1,41,254,240,72,168
平成24,2012,2,13210,小金井市,Koganei-shi,1,8,84,71,13,58
平成24,2012,2,13211,小平市,Kodaira-shi,1,20,137,127,17,110
平成24,2012,2,13212,日野市,Hino-shi,1,14,133,127,37,90
平成24,2012,2,13213,東村山市,Higashimurayama-shi,1,17,111,103,24,79
平成24,2012,2,13214,国分寺市,Kokubunji-shi,1,6,77,76,24,52
平成24,2012,2,13215,国立市,Kunitachi-shi,1,6,54,53,13,40
平成24,2012,2,13218,福生市,Fussa-shi,1,9,52,50,17,33
平成24,2012,2,13219,狛江市,Komae-shi,1,7,57,44,10,34
平成24,2012,2,13220,東大和市,Higashiyamato-shi,1,12,60,58,20,38
平成24,2012,2,13221,清瀬市,Kiyose-shi,1,11,55,50,14,36
平成24,2012,2,13222,東久留米市,Higashikurume-shi,1,13,80,60,12,48
平成24,2012,2,13223,武蔵村山市,Musashimurayama-shi,1,12,62,62,23,39
平成24,2012,2,13224,多摩市,Tama-shi,1,16,112,84,15,69
平成24,2012,2,13225,稲城市,Inagi-shi,1,8,58,58,17,41
平成24,2012,2,13227,羽村市,Hamura-shi,1,6,50,50,9,41
平成24,2012,2,13228,あきる野市,Akiruno-shi,1,7,70,69,24,45
平成24,2012,2,13229,西東京市,Nishitokyo-shi,1,21,147,122,17,105
平成24,2012,1,13300,郡部,All gun,1,9,98,97,31,66
平成24,2012,1,13350,島部,All islands,4,8,101,94,34,60
,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,
18-11  地域別福祉事務所数及び民生委員数 （平成20～24年） 18-11  WELFARE OFFICES AND LOCAL WELFARE COMMISSIONERS (VOLUNTEERS) BY DISTRICT ( 2008-2012 ),,,,,,,,,,,
各年4月1日現在,,,,,,,,,,,
Figures are as of  Apr.1 of the year noted.,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,
