年度,Fiscal year,予防接種 Vaccination／ジフテリア 百日咳 破傷風混合 Diphtheria-pertussis-tetanus,予防接種 Vaccination／ジフテリア 百日咳 破傷風 急性灰白髄炎混合 Diphtheria-pertussis-tetanus-polio,予防接種 Vaccination／ジフテリア破傷風混合 Diphtheria-tetanus,予防接種 Vaccination／急性灰白髄炎 Polio,予防接種 Vaccination／麻しん風しん Measles and rubella,予防接種 Vaccination／日本脳炎 Japanese encephalitis,結核予防 Tuberculosis prevention／ツベルクリン反応 Tuber-culine reaction,結核予防 Tuberculosis prevention／B.C.G接種 B.C.G vaccination,結核予防 Tuberculosis prevention／エックス線撮影 X-ray examination,婚姻， 妊娠時梅毒血清検査 Serum  test of syphilis at time of marriage or during pregnancy,消化器系保菌者検索 Test of digestive germ carrier,保健師家庭訪問延世帯数 Total households visited by public health nurses,栄養相談指導 Nutrition guidance,環境衛生監視 Environmental sanitation inspection,食品衛生 Food sanitation／監視 Inspection,食品衛生 Food sanitation／収去 Sampling 1),狂犬病予防 Rabies prevention／登録犬頭数 (鑑札交付数) Number of registered dogs (Licenses issued) ,狂犬病予防 Rabies prevention／注射 (済票交付数) Vaccination (Proof of vaccination tags issued),保健所数  Number of public health centers
平成20,2008,421752,…,65797,200309,321557,32941,…,98993,1289527,…,…,137695,515731,35607,783413,46665,472283,358340,31
平成21,2009,424460,…,68441,190052,331080,89279,…,99745,1364942,…,…,95242,512207,33534,729687,45610,487902,366915,31
平成22,2010,442303,…,73892,206965,341204,404354,…,96256,1287651,…,…,103315,518875,32986,480103,44905,500646,371324,31
平成23,2011,430702,…,76843,152942,353247,553354,…,108154,1530092,…,…,107519,514690,30348,686794,41614,506986,376247,31
平成24,2012,360357,73825,73778,393138,359588,475104,…,99220,1536989,…,…,113723,497072,33908,686496,44235,513250,378850,31
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,
19-5  地域保健活動 (2) 予防接種等 (平成20～24年度) 19-5  LOCAL PUBLIC HEALTH CARE ACTIVITIES (2) VACCINATIONS， etc. ( Fiscal Years 2008-2012 )　,,,,,,,,,,,,,,,,,,,,
注 1) 食品機動監視班によるもの,,,,,,,,,,,,,,,,,,,,
Note: 1) By food Inspection Groups.,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of  Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,
