年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成20,2008,総数,Total,,,406.8,371,32297196,20149410,12147787
平成21,2009,総数,Total,,,406.8,371,32020304,20044368,11975936
平成22,2010,総数,Total,,,406.8,373,31666982,19941610,11725371
平成23,2011,総数,Total,,,406.8,373,31384753,19741355,11643398
平成24,2012,総数,Total,,,406.8,373,32012234,19982170,12030063
平成24,2012,小田急電鉄,Odakyu Electric Railway,,,26.5,23,4752968,3037610,1715358
平成24,2012,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,4637190,2957591,1679599
平成24,2012,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,115778,80019,35759
平成24,2012,西武鉄道,Seibu Railway,,,93.4,71,6713285,4435734,2277551
平成24,2012,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,3148803,2071639,1077164
平成24,2012,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,98051,63537,34514
平成24,2012,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,4862,2465,2397
平成24,2012,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,249,58,191
平成24,2012,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2827987,1890554,937433
平成24,2012,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,313499,201488,112011
平成24,2012,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,3415,1530,1885
平成24,2012,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,187395,128564,58831
平成24,2012,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,72571,40215,32356
平成24,2012,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,56453,35684,20769
平成24,2012,東京急行電鉄,Tokyu Corporation,,,60,75,5524442,3486304,2038138
平成24,2012,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1678581,992382,686199
平成24,2012,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,480429,301427,179002
平成24,2012,東京急行電鉄,Tokyu Corporation,田園都市線,Den-En-Toshi Line,11.8,10,2096125,1415616,680508
平成24,2012,東京急行電鉄,Tokyu Corporation,大井町線,Oimachi Line,10.4,15,718252,436391,281861
平成24,2012,東京急行電鉄,Tokyu Corporation,池上線,Ikegami Line,10.9,15,331656,208091,123566
平成24,2012,東京急行電鉄,Tokyu Corporation,東急多摩川線,Tokyu Tamagawa Line,5.6,7,171176,109290,61886
平成24,2012,東京急行電鉄,Tokyu Corporation,世田谷線,Setagaya Line,5,10,48223,23107,25116
平成24,2012,京浜急行電鉄,Keikyu Corporation,,,18.3,20,1581838,853560,728278
平成24,2012,京浜急行電鉄,Keikyu Corporation,本線,Main Line,11.8,14,1351497,790509,560988
平成24,2012,京浜急行電鉄,Keikyu Corporation,空港線,Airport Line,6.5,6,230341,63051,167290
平成24,2012,京王電鉄,Keio Corporation,,,77.6,66,6936662,4283033,2653629
平成24,2012,京王電鉄,Keio Corporation,京王線,Keio Line,64.9,50,5848130,3657341,2190789
平成24,2012,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,12.7,17,1088532,625692,462840
平成24,2012,京成電鉄,Keisei Electric Railway,,,23.9,19,1161735,690399,471336
平成24,2012,京成電鉄,Keisei Electric Railway,本線,Main Line,15.7,12,772563,427035,345528
平成24,2012,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,5.7,6,365380,248683,116697
平成24,2012,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,2.5,3,23792,14681,9111
平成24,2012,東武鉄道,Tobu Railway ,,,28.2,28,3028742,2014802,1013940
平成24,2012,東武鉄道,Tobu Railway ,東武スカイツリーライン,Tobu Skytree Line,13.4,13,1440025,951854,488171
平成24,2012,東武鉄道,Tobu Railway ,大師線,Daishi Line,1,2,4891,3125,1766
平成24,2012,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,3.4,5,31923,19121,12802
平成24,2012,東武鉄道,Tobu Railway ,東上線,Tojo Line,10.4,10,1551903,1040702,511201
平成24,2012,北総鉄道,Hokuso Railway,,,2,2,31714,22609,9105
平成24,2012,北総鉄道,Hokuso Railway,北総線,Hokuso Line,2,2,31714,22609,9105
平成24,2012,高尾登山電鉄,Takao Tozan Railway,,,1.9,4,2128,15,2113
平成24,2012,高尾登山電鉄,Takao Tozan Railway,清滝高尾山,Kiyotaki-Takaosan,1,2,1410,15,1395
平成24,2012,高尾登山電鉄,Takao Tozan Railway,リフト,Chair Lift,0.9,2,718,-,718
平成24,2012,東京モノレール,Tokyo Monorail,,,17.8,11,522486,153345,369141
平成24,2012,御岳登山鉄道,Mitake Tozan Railway,,,1.1,4,568,2,566
平成24,2012,御岳登山鉄道,Mitake Tozan Railway,滝本御岳山,Takimoto-Mitakesan,1,2,500,2,498
平成24,2012,御岳登山鉄道,Mitake Tozan Railway,リフト,Chair Lift,0.1,2,68,-,68
平成24,2012,ゆりかもめ,Yurikamome Inc. ,,,14.7,16,231890,52909,178981
平成24,2012,東京臨海高速鉄道,Tokyo Waterfront Area Rapid TransitInc.,,,12.2,8,460172,233214,226957
平成24,2012,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,16,19,243217,157629,85588
平成24,2012,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,13.2,7,820387,561005,259382
