施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業の種類,施設電話番号,届出日,営業者電話番号,代表者氏名
とくし丸　もりかわ,清瀬市、東久留米市　周辺,,,,百貨店、総合スーパー,,2023/10/23,,
泉久食品,都内一円,,泉久食品株式会社,東京都江東区豊洲６丁目５番１号,魚介類販売業（包装済みの魚介類のみの販売）(一般),,2001/6/1,,二村　久義
ひみつ屋工房３,東京都あきる野市伊奈１０９２番地,,,,弁当販売業(自動車以外),,2021/12/14,,
増戸食販,東京都あきる野市伊奈１１５０番地,,増戸食糧販売企業組合,東京都あきる野市伊奈１１５０番地,精穀・製粉業,042-596-0953,2021/11/25,042-596-0953,野嵜　正夫
新屋商店,東京都あきる野市伊奈１３７４番地１,,,,その他の食料・飲料販売業(店舗),042-595-0472,2022/10/4,,
株式会社ゆたか　あきる野宅配センター,東京都あきる野市伊奈１５２６番地,,株式会社ゆたか,東京都稲城市坂浜９１５番地１,乳類販売業(専業),042-588-4151,2022/3/4,042-350-0444,増田　裕
明治牛乳　五日市宅配センター,東京都あきる野市伊奈１５２６番地,,,,乳類販売業(専業),042-596-0251,2021/6/1,,
ランアンドラン,東京都あきる野市伊奈４２９番地６,,,,その他の食料・飲料販売業(電子申請（未区分）),0425066500,2023/8/1,,
きりんマート,東京都あきる野市伊奈４４５番地６,,株式会社  きりんらいと,東京都あきる野市伊奈４４５番地６,その他の食料・飲料販売業(包装),042-595-0694,2022/1/21,042-595-0694,下位　壮之介
業務スーパー　あきる野店,東京都あきる野市伊奈４４６番地３,,株式会社G＆Lマート,東京都八王子市田町２番５号,百貨店、総合スーパー,042-533-8177,2021/8/10,,
介護老人保健施設オキドキ,東京都あきる野市伊奈４７７番地１,,医療法人社団　珠泉会,東京都昭島市田中町２丁目１番３７号,集団給食施設(その他の給食Ⅱ),042-596-0111,2021/10/28,042-549-7799,市村　義久
楊の泉,東京都あきる野市伊奈４８６番地１３,,,,その他の食料・飲料販売業(店舗),,2022/8/2,,
セブン－イレブン　あきる野伊奈店,東京都あきる野市伊奈４９０番地,,,,コンビニエンスストア,042-595-1515,2022/4/7,,
いなげや  あきる野北伊奈店,東京都あきる野市伊奈４９４番地１,,株式会社 いなげや,東京都立川市栄町６丁目１番地の１,百貨店、総合スーパー,042-595-3811,2021/8/6,0425-37-5121,本杉　吉員
五日市ファインプラザ,東京都あきる野市伊奈８５９番地３,,シンコースポーツ株式会社,東京都中央区日本橋堀留町２丁目１番１号,その他の食料品製造・加工業(食料品製造・加工),0425965611,2021/9/30,,
ウェルパークあきる野伊奈店,東京都あきる野市伊奈９７９番地１,,株式会社ウェルパーク,東京都立川市栄町6丁目1番地の1,その他の食料・飲料販売業(店舗),042-508-3035,2021/8/3,,
秋川文化幼稚園,東京都あきる野市引田３８８番地,,学校法人秋川文化学園,東京都あきる野市引田３８８番地,集団給食施設(学校・幼稚園Ⅱ),042-558-5773,2021/6/8,042-558-5773,池谷　善郎
ひみつ屋工房１,東京都あきる野市引田５４８番地１,,,,弁当販売業(自動車以外),,2021/12/14,,
うちくら商店,東京都あきる野市引田５４８番地３,,,,米穀類販売業,042-558-8137,2021/11/11,,
山のスパイス,東京都あきる野市引田５５２番地３,,,,コーヒー製造・加工業（飲料の製造を除く。）,042-503-6394,2023/6/20,,
山のスパイス,東京都あきる野市引田５５２番地３,,,,その他の食料品製造・加工業(食料品製造・加工),042-503-6394,2023/2/28,,
ドラッグセイムスあきる野引田店,東京都あきる野市引田５５８番地１,,株式会社富士薬品,埼玉県さいたま市大宮区桜木町４丁目３８３番地,その他の食料・飲料販売業(電子申請（未区分）),042-532-5860,2021/10/28,,
平野林業,東京都あきる野市引田５６６番地,,,,その他の食料品製造・加工業(食料品製造・加工),042-558-7285,2023/10/24,,
ワークスタジオかがわ,東京都あきる野市引田６５９番地１,,社会福祉法人雲柱社,東京都世田谷区上北沢３丁目８番１９号,集団給食施設(社会福祉施設Ⅰ),0425505245,2021/7/6,,
公立阿伎留医療センター内「グリーンリーブス」売店,東京都あきる野市引田７８番地１,公立阿伎留医療センター内１F,株式会社光洋,神奈川県横浜市金沢区福浦一丁目５番１号,コンビニエンスストア,042-532-7265,2022/4/11,045-701-2203,高木　孝昌
乙幡商店,東京都あきる野市雨間１０３６番地,,,,米穀類販売業,042-558-0016,2021/11/22,,
よつぎ第一保育園,東京都あきる野市雨間１０６７番地６,,社会福祉法人  健生会,東京都あきる野市上代継２１８番地１,集団給食施設(児童福祉施設Ⅱ),042-558-7221,2022/8/19,042-559-0515,私市　克巳
セブンーイレブン　あきる野市役所前店,東京都あきる野市雨間２２８番地１,,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-550-5607,2021/6/1,,
セブンーイレブン　あきる野市役所前店,東京都あきる野市雨間２２８番地１,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-550-5607,2021/6/1,,
セブンーイレブン　あきる野市役所前店,東京都あきる野市雨間２２８番地１,,,,乳類販売業(ショーケース売り),042-550-5607,2021/6/1,,
セブン-イレブン　秋川駅東店,東京都あきる野市雨間３５０番地７,,,,コンビニエンスストア,,2023/1/26,,
特別養護老人ホームこもれびの郷,東京都あきる野市雨間３８５番地２,,社会福祉法人さくらぎ会,東京都西多摩郡日の出町大字平井６６１番地,集団給食施設(社会福祉施設Ⅱ),0425503030,2021/7/6,,
多摩川幼稚園,東京都あきる野市雨間４３０番地,,学校法人多摩川学園,東京都あきる野市雨間４３０番地,集団給食施設(学校・幼稚園Ⅲ),042-558-0218,2021/6/1,042-558-0218,?川　喜亘
いぐさ,東京都あきる野市雨間６７３番地４,,,,調味料製造・加工業,042-558-8590,2022/3/18,,
株式会社　マルセン,東京都あきる野市雨間６７４番地,,,,食肉販売業（包装済みの食肉のみの販売）(一般),,2021/6/1,,
株式会社　マルセン,東京都あきる野市雨間６７４番地,,,,乳類販売業(専業),,2021/6/1,,
シャトレーゼ秋川店,東京都あきる野市雨間６９８番地,,有限会社Smile　Maker,東京都あきる野市雨間６９８番地,乳類販売業(ショーケース売り),042-558-2017,2023/11/14,042-558-2017,渡邊　成吾
ダイソー　あきる野雨間店,東京都あきる野市雨間７３５番地１,,株式会社大創産業,広島県東広島市西条吉行東一丁目４番１４号,その他の食料・飲料販売業(電子申請（未区分）),,2021/10/26,,
増戸保育園,東京都あきる野市横沢１３４番地,,社会福祉法人  秋渓舎,東京都あきる野市横沢１３４番地,集団給食施設(児童福祉施設Ⅱ),042-596-4627,2021/11/22,042-596-0141,加藤　章雄
秋川渓谷瀬音の湯,東京都あきる野市乙津５６５番地,,新四季創造株式会社,東京都あきる野市乙津５６５番地,乳類販売業(ショーケース売り),042-595-2614,2001/6/1,042-596-6000,村木　英幸
石舟　Ｄｉｎｉｎｇ,東京都あきる野市乙津５６５番地,,株式会社ｄｏ-ｍｏ,東京都あきる野市舘谷台１６ｄｏ-ｍｏｆａｃｔｏｒｙｂｌａｎ.ｃｏ,その他の食料・飲料販売業(店舗),,2023/4/19,,?水　健
秋川渓谷瀬音の湯,東京都あきる野市乙津５６５番地,,新四季創造株式会社,東京都あきる野市乙津５６５番地,その他の食料・飲料販売業(店舗),042-595-2614,2021/6/18,042-596-6000,村木　英幸
秋川渓谷瀬音の湯,東京都あきる野市乙津５６５番地,,新四季創造株式会社,東京都あきる野市乙津５６５番地,その他の食料・飲料販売業(店舗),042-595-2614,2021/6/18,042-595-3121,村木　英幸
