区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年比／総数（％）,対前年比／15～24歳（％）,対前年比／25～34歳（％）,対前年比／35～44歳（％）,対前年比／45～54歳（％）,対前年比／55～64歳（％）,対前年比／65歳以上（％）
15歳以上人口／平成９年平均,1997,10311,1769,2037,1495,1812,1540,1658,…,…,…,…,…,…,…,-,-,-,-,-,-,-
15歳以上人口／平成10年平均,1998,10356,1683,2093,1504,1779,1563,1734,45,-86,56,9,-33,23,76,0.4,-4.9,2.7,0.6,-1.8,1.5,4.6
15歳以上人口／平成11年平均,1999,10356,1589,2127,1524,1727,1588,1801,0,-94,34,20,-52,25,67,0,-5.6,1.6,1.3,-2.9,1.6,3.9
15歳以上人口／平成12年平均,2000,10380,1516,2140,1563,1710,1576,1874,24,-73,13,39,-17,-12,73,0.2,-4.6,0.6,2.6,-1,-0.8,4.1
15歳以上人口／平成13年平均,2001,10426,1451,2179,1590,1707,1541,1958,46,-65,39,27,-3,-35,84,0.4,-4.3,1.8,1.7,-0.2,-2.2,4.5
15歳以上人口／平成14年平均,2002,10725,1561,2170,1680,1668,1579,2067,299,110,-9,90,-39,38,109,2.9,7.6,-0.4,5.7,-2.3,2.5,5.6
15歳以上人口／平成15年平均,2003,10814,1522,2164,1750,1593,1638,2147,89,-39,-6,70,-75,59,80,0.8,-2.5,-0.3,4.2,-4.5,3.7,3.9
15歳以上人口／平成16年平均,2004,10875,1476,2147,1810,1530,1699,2213,61,-46,-17,60,-63,61,66,0.6,-3,-0.8,3.4,-4,3.7,3.1
15歳以上人口／平成17年平均,2005,10946,1446,2131,1869,1485,1726,2289,71,-30,-16,59,-45,27,76,0.7,-2,-0.7,3.3,-2.9,1.6,3.4
15歳以上人口／平成18年平均,2006,11026,1446,2100,1926,1462,1719,2373,80,0,-31,57,-23,-7,84,0.7,0,-1.5,3,-1.5,-0.4,3.7
15歳以上人口／平成19年平均,2007,11277,1444,2043,2046,1512,1745,2489,251,-2,-57,120,50,26,116,2.3,-0.1,-2.7,6.2,3.4,1.5,4.9
15歳以上人口／平成20年平均,2008,11337,1409,1995,2108,1533,1718,2575,60,-35,-48,62,21,-27,86,0.5,-2.4,-2.3,3,1.4,-1.5,3.5
15歳以上人口／平成21年平均,2009,11373,1365,1945,2149,1568,1681,2665,36,-44,-50,41,35,-37,90,0.3,-3.1,-2.5,1.9,2.3,-2.2,3.5
労働力人口／平成９年平均,1997,6646,837,1672,1194,1477,1058,408,…,…,…,…,…,…,…,-,-,-,-,-,-,-
労働力人口／平成10年平均,1998,6650,758,1706,1216,1449,1086,434,4,-79,34,22,-28,28,26,0.1,-9.4,2,1.8,-1.9,2.6,6.4
労働力人口／平成11年平均,1999,6587,684,1731,1209,1412,1111,438,-63,-74,25,-7,-37,25,4,-0.9,-9.8,1.5,-0.6,-2.6,2.3,0.9
労働力人口／平成12年平均,2000,6524,639,1751,1242,1383,1083,426,-63,-45,20,33,-29,-28,-12,-1,-6.6,1.2,2.7,-2.1,-2.5,-2.7
