区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11344,11301,43,0.4,5625,5605,20,0.4,5718,5696,22,0.4
〔就業状態〕／労働力人口,7047,7109,-62,-0.9,4187,4259,-72,-1.7,2860,2850,10,0.4
〔就業状態〕／労働力人口／就業者数,6771,6851,-80,-1.2,4041,4107,-66,-1.6,2729,2744,-15,-0.5
〔就業状態〕／労働力人口／就業者数／自営業主数,558,560,-2,-0.4,406,412,-6,-1.5,152,148,4,2.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,119,141,-22,-15.6,21,24,-3,-12.5,98,117,-19,-16.2
〔就業状態〕／労働力人口／就業者数／雇用者数,6057,6113,-56,-0.9,3598,3650,-52,-1.4,2458,2463,-5,-0.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5238,5300,-62,-1.2,3312,3376,-64,-1.9,1926,1924,2,0.1
〔就業状態〕／労働力人口／完全失業者数,276,258,18,7,146,152,-6,-3.9,131,106,25,23.6
〔就業状態〕／非労働力人口,4286,4185,101,2.4,1430,1344,86,6.4,2855,2841,14,0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）,6771,6851,-80,-1.2,4041,4107,-66,-1.6,2729,2744,-15,-0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6592,6698,-106,-1.6,3969,4030,-61,-1.5,2623,2668,-45,-1.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5716,5744,-28,-0.5,3842,3895,-53,-1.4,1874,1850,24,1.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,697,764,-67,-8.8,52,42,10,23.8,645,721,-76,-10.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,179,190,-11,-5.8,75,93,-18,-19.4,104,97,7,7.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,178,153,25,16.3,72,77,-5,-6.5,106,76,30,39.5
〔就業者の主な産業別内訳〕／建設業,486,511,-25,-4.9,415,427,-12,-2.8,72,83,-11,-13.3
〔就業者の主な産業別内訳〕／製造業,895,900,-5,-0.6,653,647,6,0.9,242,253,-11,-4.3
〔就業者の主な産業別内訳〕／情報通信業,596,536,60,11.2,431,397,34,8.6,165,139,26,18.7
〔就業者の主な産業別内訳〕／運輸業，郵便業,346,377,-31,-8.2,281,308,-27,-8.8,65,69,-4,-5.8
〔就業者の主な産業別内訳〕／卸売業，小売業,1177,1195,-18,-1.5,649,645,4,0.6,528,550,-22,-4
〔就業者の主な産業別内訳〕／金融業，保険業,264,282,-18,-6.4,139,156,-17,-10.9,125,126,-1,-0.8
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,229,235,-6,-2.6,137,136,1,0.7,91,99,-8,-8.1
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,479,490,-11,-2.2,221,219,2,0.9,258,271,-13,-4.8
〔就業者の主な産業別内訳〕／医療，福祉,508,480,28,5.8,153,129,24,18.6,355,352,3,0.9
〔就業者の主な産業別内訳〕／教育，学習支援業,282,290,-8,-2.8,122,123,-1,-0.8,160,166,-6,-3.6
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,390,373,17,4.6,237,248,-11,-4.4,152,126,26,20.6
