区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11385,11352,33,0.3,5642,5630,12,0.2,5743,5722,21,0.4
〔就業状態〕／労働力人口,7144,7187,-43,-0.6,4216,4288,-72,-1.7,2928,2898,30,1
〔就業状態〕／労働力人口／就業者数,6774,6905,-131,-1.9,4012,4127,-115,-2.8,2762,2778,-16,-0.6
〔就業状態〕／労働力人口／就業者数／自営業主数,573,580,-7,-1.2,401,407,-6,-1.5,173,173,0,0
〔就業状態〕／労働力人口／就業者数／家族従業者数,117,129,-12,-9.3,16,25,-9,-36,102,104,-2,-1.9
〔就業状態〕／労働力人口／就業者数／雇用者数,6044,6165,-121,-2,3574,3678,-104,-2.8,2470,2487,-17,-0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5209,5361,-152,-2.8,3282,3364,-82,-2.4,1928,1997,-69,-3.5
〔就業状態〕／労働力人口／完全失業者数,370,281,89,31.7,204,161,43,26.7,166,120,46,38.3
〔就業状態〕／非労働力人口,4237,4160,77,1.9,1422,1338,84,6.3,2814,2821,-7,-0.2
〔就業者の活動状況別内訳〕／就業者数（再掲）,6774,6905,-131,-1.9,4012,4127,-115,-2.8,2762,2778,-16,-0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6590,6752,-162,-2.4,3920,4049,-129,-3.2,2671,2703,-32,-1.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5669,5767,-98,-1.7,3764,3885,-121,-3.1,1905,1882,23,1.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,732,789,-57,-7.2,60,50,10,20,672,740,-68,-9.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,190,196,-6,-3.1,95,114,-19,-16.7,95,81,14,17.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,183,153,30,19.6,92,78,14,17.9,91,74,17,23
〔就業者の主な産業別内訳〕／建設業,448,483,-35,-7.2,380,416,-36,-8.7,68,67,1,1.5
〔就業者の主な産業別内訳〕／製造業,762,834,-72,-8.6,551,615,-64,-10.4,211,218,-7,-3.2
〔就業者の主な産業別内訳〕／情報通信業,528,556,-28,-5,394,417,-23,-5.5,134,139,-5,-3.6
〔就業者の主な産業別内訳〕／運輸業，郵便業,380,330,50,15.2,329,278,51,18.3,51,52,-1,-1.9
〔就業者の主な産業別内訳〕／卸売業，小売業,1150,1159,-9,-0.8,618,621,-3,-0.5,532,538,-6,-1.1
〔就業者の主な産業別内訳〕／金融業，保険業,276,286,-10,-3.5,146,153,-7,-4.6,129,132,-3,-2.3
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,209,212,-3,-1.4,132,136,-4,-2.9,76,76,0,0
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,352,335,17,5.1,226,208,18,8.7,127,127,0,0
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,512,485,27,5.6,246,229,17,7.4,267,256,11,4.3
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,294,295,-1,-0.3,134,139,-5,-3.6,160,156,4,2.6
〔就業者の主な産業別内訳〕／教育，学習支援業,310,314,-4,-1.3,123,120,3,2.5,188,194,-6,-3.1
〔就業者の主な産業別内訳〕／医療，福祉,594,580,14,2.4,169,163,6,3.7,426,417,9,2.2
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,586,662,-76,-11.5,307,378,-71,-18.8,279,283,-4,-1.4
〔雇用者の主な産業別内訳〕／建設業,378,419,-41,-9.8,317,356,-39,-11,61,62,-1,-1.6
〔雇用者の主な産業別内訳〕／製造業,735,787,-52,-6.6,536,585,-49,-8.4,198,202,-4,-2
〔雇用者の主な産業別内訳〕／情報通信業,506,524,-18,-3.4,379,398,-19,-4.8,127,126,1,0.8
〔雇用者の主な産業別内訳〕／運輸業，郵便業,350,298,52,17.4,302,246,56,22.8,49,52,-3,-5.8
〔雇用者の主な産業別内訳〕／卸売業，小売業,1021,1048,-27,-2.6,543,559,-16,-2.9,478,488,-10,-2
〔雇用者の主な産業別内訳〕／金融業，保険業,271,284,-13,-4.6,142,153,-11,-7.2,129,131,-2,-1.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,189,194,-5,-2.6,123,126,-3,-2.4,66,68,-2,-2.9
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,265,243,22,9.1,168,146,22,15.1,97,97,0,0
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,415,406,9,2.2,202,189,13,6.9,212,217,-5,-2.3
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,216,217,-1,-0.5,96,97,-1,-1,120,120,0,0
〔雇用者の主な産業別内訳〕／教育，学習支援業,272,271,1,0.4,117,114,3,2.6,156,157,-1,-0.6
〔雇用者の主な産業別内訳〕／医療，福祉,552,540,12,2.2,140,141,-1,-0.7,412,399,13,3.3
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,546,611,-65,-10.6,279,345,-66,-19.1,267,266,1,0.4
〔非農林業雇用者の従業者規模別内訳〕／総数,6032,6157,-125,-2,3566,3673,-107,-2.9,2466,2484,-18,-0.7
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1735,1897,-162,-8.5,992,1108,-116,-10.5,743,790,-47,-5.9
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1872,1950,-78,-4,1088,1133,-45,-4,784,818,-34,-4.2
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1965,1840,125,6.8,1242,1177,65,5.5,723,663,60,9
〔完全失業率（年齢階級別）(%)〕／総数,5.2,3.9,1.3,,4.8,3.8,1,,5.7,4.1,1.6,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,8,7,1,,8.4,7.3,1.1,,7.7,6.6,1.1,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,7.9,5.3,2.6,,7.3,5,2.3,,8.6,5.7,2.9,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.3,2.9,1.4,,3.2,2.5,0.7,,5.9,3.6,2.3,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.7,2.7,1,,3.7,2.9,0.8,,3.8,2.4,1.4,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.5,3.3,0.2,,3.6,3.3,0.3,,3.4,3.3,0.1,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,4.1,3.5,0.6,,5.5,3.5,2,,1.8,3.3,-1.5,
〔労働力人口比率(%)〕／総数,62.7,63.3,-0.6,,74.7,76.2,-1.5,,51,50.6,0.4,
,,,,,,,,,,,,
東京の労働力統計データ（平成21年７～９月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成21年７～９月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
