区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11377,11342,35,0.3,5642,5623,19,0.3,5736,5719,17,0.3
〔就業状態〕／労働力人口,7177,7160,17,0.2,4226,4284,-58,-1.4,2951,2876,75,2.6
〔就業状態〕／労働力人口／就業者数,6832,6878,-46,-0.7,4028,4121,-93,-2.3,2803,2757,46,1.7
〔就業状態〕／労働力人口／就業者数／自営業主数,598,543,55,10.1,427,424,3,0.7,171,118,53,44.9
〔就業状態〕／労働力人口／就業者数／家族従業者数,117,116,1,0.9,25,18,7,38.9,92,97,-5,-5.2
〔就業状態〕／労働力人口／就業者数／雇用者数,6064,6173,-109,-1.8,3550,3651,-101,-2.8,2514,2522,-8,-0.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5194,5306,-112,-2.1,3237,3330,-93,-2.8,1958,1977,-19,-1
〔就業状態〕／労働力人口／完全失業者数,345,282,63,22.3,197,163,34,20.9,148,119,29,24.4
〔就業状態〕／非労働力人口,4193,4180,13,0.3,1412,1338,74,5.5,2782,2842,-60,-2.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,6832,6878,-46,-0.7,4028,4121,-93,-2.3,2803,2757,46,1.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6669,6751,-82,-1.2,3942,4050,-108,-2.7,2728,2702,26,1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5721,5806,-85,-1.5,3783,3880,-97,-2.5,1938,1926,12,0.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,750,734,16,2.2,59,49,10,20.4,691,686,5,0.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,199,211,-12,-5.7,100,120,-20,-16.7,99,90,9,10
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,162,126,36,28.6,87,71,16,22.5,76,55,21,38.2
〔就業者の主な産業別内訳〕／建設業,444,475,-31,-6.5,368,402,-34,-8.5,76,74,2,2.7
〔就業者の主な産業別内訳〕／製造業,795,843,-48,-5.7,574,617,-43,-7,221,226,-5,-2.2
〔就業者の主な産業別内訳〕／情報通信業,530,468,62,13.2,394,352,42,11.9,136,116,20,17.2
〔就業者の主な産業別内訳〕／運輸業，郵便業,326,321,5,1.6,262,265,-3,-1.1,64,56,8,14.3
〔就業者の主な産業別内訳〕／卸売業，小売業,1173,1278,-105,-8.2,628,677,-49,-7.2,545,601,-56,-9.3
〔就業者の主な産業別内訳〕／金融業，保険業,283,291,-8,-2.7,148,165,-17,-10.3,135,125,10,8
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,210,220,-10,-4.5,128,134,-6,-4.5,81,86,-5,-5.8
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,394,367,27,7.4,257,249,8,3.2,137,117,20,17.1
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,523,483,40,8.3,256,237,19,8,267,246,21,8.5
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,291,261,30,11.5,132,122,10,8.2,159,140,19,13.6
〔就業者の主な産業別内訳〕／教育，学習支援業,340,316,24,7.6,155,148,7,4.7,185,168,17,10.1
〔就業者の主な産業別内訳〕／医療，福祉,551,505,46,9.1,151,119,32,26.9,400,387,13,3.4
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,599,640,-41,-6.4,331,367,-36,-9.8,268,272,-4,-1.5
〔雇用者の主な産業別内訳〕／建設業,380,401,-21,-5.2,309,335,-26,-7.8,72,66,6,9.1
〔雇用者の主な産業別内訳〕／製造業,762,801,-39,-4.9,556,593,-37,-6.2,206,209,-3,-1.4
〔雇用者の主な産業別内訳〕／情報通信業,510,452,58,12.8,378,340,38,11.2,131,112,19,17
〔雇用者の主な産業別内訳〕／運輸業，郵便業,298,285,13,4.6,234,229,5,2.2,63,56,7,12.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1077,1184,-107,-9,570,623,-53,-8.5,507,561,-54,-9.6
〔雇用者の主な産業別内訳〕／金融業，保険業,282,290,-8,-2.8,147,165,-18,-10.9,135,125,10,8
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,177,190,-13,-6.8,112,116,-4,-3.4,64,74,-10,-13.5
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,264,269,-5,-1.9,170,173,-3,-1.7,94,96,-2,-2.1
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,436,400,36,9,210,187,23,12.3,226,213,13,6.1
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,219,205,14,6.8,99,97,2,2.1,120,108,12,11.1
〔雇用者の主な産業別内訳〕／教育，学習支援業,308,289,19,6.6,149,139,10,7.2,159,150,9,6
〔雇用者の主な産業別内訳〕／医療，福祉,505,476,29,6.1,122,100,22,22,383,377,6,1.6
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,549,592,-43,-7.3,295,331,-36,-10.9,254,261,-7,-2.7
〔非農林業雇用者の従業者規模別内訳〕／総数,6061,6167,-106,-1.7,3548,3646,-98,-2.7,2513,2520,-7,-0.3
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1817,1859,-42,-2.3,1035,1064,-29,-2.7,782,795,-13,-1.6
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1891,1991,-100,-5,1077,1157,-80,-6.9,814,834,-20,-2.4
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1905,1856,49,2.6,1188,1159,29,2.5,717,696,21,3
〔完全失業率（年齢階級別）(%)〕／総数,4.8,3.9,0.9,,4.7,3.8,0.9,,5,4.1,0.9,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,7.4,6.8,0.6,,6.8,7,-0.2,,7.9,6.6,1.3,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,6,4.7,1.3,,6.6,4.7,1.9,,5.2,4.7,0.5,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.7,3.9,0.8,,3.7,3,0.7,,6.2,5.3,0.9,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,4.1,2.8,1.3,,3.9,2.5,1.4,,4.4,3.3,1.1,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.9,2.9,1,,4.4,3.4,1,,3.2,2,1.2,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.8,3.4,-0.6,,3.4,4,-0.6,,1.8,1.9,-0.1,
〔労働力人口比率(%)〕／総数,63.1,63.1,0,,74.9,76.2,-1.3,,51.4,50.3,1.1,
,,,,,,,,,,,,
