男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融・保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,※ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成14年平均,2002,414,842,-,-,-,209,-,-,-,-,-,362,-,-
実数／男女計／平成15年平均,2003,400,775,-,-,-,207,-,-,-,-,-,407,-,-
実数／男女計／平成16年平均,2004,411,742,-,-,-,230,-,-,-,-,-,423,-,-
実数／男女計／平成17年平均,2005,385,767,-,-,-,220,-,-,-,-,-,476,-,-
実数／男女計／平成18年平均,2006,381,768,-,-,-,217,-,-,-,-,-,477,-,-
実数／男女計／平成19年平均,2007,409,807,-,-,-,243,-,-,-,-,-,472,-,-
実数／男女計／平成20年平均,2008,419,811,512,305,1094,272,190,277,403,208,272,498,598,289
実数／男女計／平成21年平均,2009,392,766,539,337,1050,263,175,273,404,212,285,507,552,274
実数／男／平成14年平均,2002,346,598,-,-,-,95,-,-,-,-,-,86,-,-
実数／男／平成15年平均,2003,334,553,-,-,-,112,-,-,-,-,-,94,-,-
実数／男／平成16年平均,2004,333,534,-,-,-,115,-,-,-,-,-,94,-,-
実数／男／平成17年平均,2005,328,547,-,-,-,113,-,-,-,-,-,102,-,-
実数／男／平成18年平均,2006,322,542,-,-,-,119,-,-,-,-,-,104,-,-
実数／男／平成19年平均,2007,348,589,-,-,-,135,-,-,-,-,-,116,-,-
実数／男／平成20年平均,2008,352,599,378,247,588,149,118,172,189,95,124,121,327,196
実数／男／平成21年平均,2009,328,566,399,261,558,140,110,171,191,93,136,127,284,188
実数／女／平成14年平均,2002,67,244,-,-,-,114,-,-,-,-,-,276,-,-
実数／女／平成15年平均,2003,66,221,-,-,-,95,-,-,-,-,-,313,-,-
実数／女／平成16年平均,2004,78,208,-,-,-,116,-,-,-,-,-,330,-,-
実数／女／平成17年平均,2005,58,219,-,-,-,107,-,-,-,-,-,374,-,-
実数／女／平成18年平均,2006,59,225,-,-,-,98,-,-,-,-,-,373,-,-
実数／女／平成19年平均,2007,62,218,-,-,-,108,-,-,-,-,-,356,-,-
実数／女／平成20年平均,2008,67,212,134,58,505,122,71,106,214,113,148,377,271,92
実数／女／平成21年平均,2009,63,200,141,75,493,124,65,102,214,119,150,380,268,86
対前年増減数／男女計／平成15年平均,2003,-14,-67,-,-,-,-2,-,-,-,-,-,45,-,-
対前年増減数／男女計／平成16年平均,2004,11,-33,-,-,-,23,-,-,-,-,-,16,-,-
対前年増減数／男女計／平成17年平均,2005,-26,25,-,-,-,-10,-,-,-,-,-,53,-,-
対前年増減数／男女計／平成18年平均,2006,-4,1,-,-,-,-3,-,-,-,-,-,1,-,-
対前年増減数／男女計／平成19年平均,2007,28,39,-,-,-,26,-,-,-,-,-,-5,-,-
対前年増減数／男女計／平成20年平均,2008,10,4,-,-,-,29,-,-,-,-,-,26,-,-
対前年増減数／男女計／平成21年平均,2009,-27,-45,27,32,-44,-9,-15,-4,1,4,13,9,-46,-15
対前年増減数／男／平成15年平均,2003,-12,-45,-,-,-,17,-,-,-,-,-,8,-,-
対前年増減数／男／平成16年平均,2004,-1,-19,-,-,-,3,-,-,-,-,-,0,-,-
対前年増減数／男／平成17年平均,2005,-5,13,-,-,-,-2,-,-,-,-,-,8,-,-
対前年増減数／男／平成18年平均,2006,-6,-5,-,-,-,6,-,-,-,-,-,2,-,-
対前年増減数／男／平成19年平均,2007,26,47,-,-,-,16,-,-,-,-,-,12,-,-
対前年増減数／男／平成20年平均,2008,4,10,-,-,-,14,-,-,-,-,-,5,-,-
対前年増減数／男／平成21年平均,2009,-24,-33,21,14,-30,-9,-8,-1,2,-2,12,6,-43,-8
対前年増減数／女／平成15年平均,2003,-1,-23,-,-,-,-19,-,-,-,-,-,37,-,-
対前年増減数／女／平成16年平均,2004,12,-13,-,-,-,21,-,-,-,-,-,17,-,-
対前年増減数／女／平成17年平均,2005,-20,11,-,-,-,-9,-,-,-,-,-,44,-,-
対前年増減数／女／平成18年平均,2006,1,6,-,-,-,-9,-,-,-,-,-,-1,-,-
対前年増減数／女／平成19年平均,2007,3,-7,-,-,-,10,-,-,-,-,-,-17,-,-
対前年増減数／女／平成20年平均,2008,5,-6,-,-,-,14,-,-,-,-,-,21,-,-
対前年増減数／女／平成21年平均,2009,-4,-12,7,17,-12,2,-6,-4,0,6,2,3,-3,-6
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成21年平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,,,,
