男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融・保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,※ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成14年平均,2002,489,915,-,-,-,218,-,-,-,-,-,401,-,-
実数／男女計／平成15年平均,2003,480,849,-,-,-,216,-,-,-,-,-,454,-,-
実数／男女計／平成16年平均,2004,491,809,-,-,-,241,-,-,-,-,-,464,-,-
実数／男女計／平成17年平均,2005,469,837,-,-,-,228,-,-,-,-,-,522,-,-
実数／男女計／平成18年平均,2006,460,836,-,-,-,220,-,-,-,-,-,515,-,-
実数／男女計／平成19年平均,2007,484,875,-,-,-,245,-,-,-,-,-,515,-,-
実数／男女計／平成20年平均,2008,494,866,538,334,1193,275,217,380,483,271,302,536,643,354
実数／男女計／平成21年平均,2009,463,808,561,363,1151,268,208,387,496,275,321,554,594,330
実数／男／平成14年平均,2002,413,643,-,-,-,102,-,-,-,-,-,109,-,-
実数／男／平成15年平均,2003,402,601,-,-,-,118,-,-,-,-,-,121,-,-
実数／男／平成16年平均,2004,404,578,-,-,-,122,-,-,-,-,-,118,-,-
実数／男／平成17年平均,2005,403,592,-,-,-,119,-,-,-,-,-,131,-,-
実数／男／平成18年平均,2006,391,584,-,-,-,122,-,-,-,-,-,128,-,-
実数／男／平成19年平均,2007,415,633,-,-,-,136,-,-,-,-,-,142,-,-
実数／男／平成20年平均,2008,420,633,397,276,643,151,133,241,232,126,128,143,358,236
実数／男／平成21年平均,2009,395,589,414,286,617,143,126,244,237,124,143,157,313,223
実数／女／平成14年平均,2002,76,272,-,-,-,117,-,-,-,-,-,293,-,-
実数／女／平成15年平均,2003,78,249,-,-,-,97,-,-,-,-,-,333,-,-
実数／女／平成16年平均,2004,88,232,-,-,-,119,-,-,-,-,-,346,-,-
実数／女／平成17年平均,2005,66,245,-,-,-,109,-,-,-,-,-,392,-,-
実数／女／平成18年平均,2006,69,251,-,-,-,99,-,-,-,-,-,387,-,-
実数／女／平成19年平均,2007,69,242,-,-,-,109,-,-,-,-,-,373,-,-
実数／女／平成20年平均,2008,74,233,141,59,550,124,84,139,251,145,173,393,286,117
実数／女／平成21年平均,2009,68,219,147,77,534,125,82,143,259,152,178,397,281,106
対前年増減数／男女計／平成15年平均,2003,-9,-66,-,-,-,-2,-,-,-,-,-,53,-,-
対前年増減数／男女計／平成16年平均,2004,11,-40,-,-,-,25,-,-,-,-,-,10,-,-
対前年増減数／男女計／平成17年平均,2005,-22,28,-,-,-,-13,-,-,-,-,-,58,-,-
対前年増減数／男女計／平成18年平均,2006,-9,-1,-,-,-,-8,-,-,-,-,-,-7,-,-
対前年増減数／男女計／平成19年平均,2007,24,39,-,-,-,25,-,-,-,-,-,0,-,-
対前年増減数／男女計／平成20年平均,2008,10,-9,-,-,-,30,-,-,-,-,-,21,-,-
対前年増減数／男女計／平成21年平均,2009,-31,-58,23,29,-42,-7,-9,7,13,4,19,18,-49,-24
対前年増減数／男／平成15年平均,2003,-11,-42,-,-,-,16,-,-,-,-,-,12,-,-
対前年増減数／男／平成16年平均,2004,2,-23,-,-,-,4,-,-,-,-,-,-3,-,-
対前年増減数／男／平成17年平均,2005,-1,14,-,-,-,-3,-,-,-,-,-,13,-,-
対前年増減数／男／平成18年平均,2006,-12,-8,-,-,-,3,-,-,-,-,-,-3,-,-
対前年増減数／男／平成19年平均,2007,24,49,-,-,-,14,-,-,-,-,-,14,-,-
対前年増減数／男／平成20年平均,2008,5,0,-,-,-,15,-,-,-,-,-,1,-,-
対前年増減数／男／平成21年平均,2009,-25,-44,17,10,-26,-8,-7,3,5,-2,15,14,-45,-13
対前年増減数／女／平成15年平均,2003,2,-23,-,-,-,-20,-,-,-,-,-,40,-,-
対前年増減数／女／平成16年平均,2004,10,-17,-,-,-,22,-,-,-,-,-,13,-,-
対前年増減数／女／平成17年平均,2005,-22,13,-,-,-,-10,-,-,-,-,-,46,-,-
対前年増減数／女／平成18年平均,2006,3,6,-,-,-,-10,-,-,-,-,-,-5,-,-
対前年増減数／女／平成19年平均,2007,0,-9,-,-,-,10,-,-,-,-,-,-14,-,-
対前年増減数／女／平成20年平均,2008,5,-9,-,-,-,15,-,-,-,-,-,20,-,-
対前年増減数／女／平成21年平均,2009,-6,-14,6,18,-16,1,-2,4,8,7,5,4,-5,-11
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成21年平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数,,,,,,,,,,,,,,,
