区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,11373,11337,36,0.3,5637,5622,15,0.3,5736,5715,21,0.4
〔就業状態〕／労働力人口,7115,7158,-43,-0.6,4197,4274,-77,-1.8,2917,2884,33,1.1
〔就業状態〕／労働力人口／就業者数,6781,6885,-104,-1.5,4011,4118,-107,-2.6,2770,2767,3,0.1
〔就業状態〕／労働力人口／就業者数／自営業主数,587,567,20,3.5,417,414,3,0.7,170,153,17,11.1
〔就業状態〕／労働力人口／就業者数／家族従業者数,119,126,-7,-5.6,19,21,-2,-9.5,100,105,-5,-4.8
〔就業状態〕／労働力人口／就業者数／雇用者数,6036,6156,-120,-1.9,3555,3661,-106,-2.9,2481,2494,-13,-0.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5200,5329,-129,-2.4,3261,3354,-93,-2.8,1939,1975,-36,-1.8
〔就業状態〕／労働力人口／完全失業者数,334,273,61,22.3,186,156,30,19.2,147,117,30,25.6
〔就業状態〕／非労働力人口,4252,4176,76,1.8,1436,1346,90,6.7,2816,2829,-13,-0.5
〔就業者の活動状態別内訳〕／就業者数（再掲）,6781,6885,-104,-1.5,4011,4118,-107,-2.6,2770,2767,3,0.1
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,6611,6747,-136,-2,3931,4046,-115,-2.8,2680,2701,-21,-0.8
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,5683,5791,-108,-1.9,3786,3887,-101,-2.6,1897,1903,-6,-0.3
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,745,754,-9,-1.2,57,47,10,21.3,688,707,-19,-2.7
