Ｎｏ．,局,指摘（計画・設計・積算）,指摘（施工）,指摘（その他）,計（件）,意見・要望事項（計画・設計・積算）,意見・要望事項（施工）,意見・要望事項（その他）,計（件）,合計（件）,指摘金額（千円）
1,総務局,,,,0,,,,0,0,
2,財務局,,,,0,,,,0,0,
3,主税局,,,,0,,,,0,0,
4,生活文化局,,,,0,,,,0,0,
5,オリンピック・パラリンピック準備局,,,,0,,,,0,0,
6,都市整備局,,1,,1,,,,0,1,
7,住宅政策本部,,,,0,,,,0,0,
8,環境局,,,,0,,,,0,0,
9,福祉保健局,1,1,1,3,,,,0,3,3416
10,病院経営本部,,,,0,,,,0,0,
11,産業労働局,,,,0,,,,0,0,
12,中央卸売市場,1,,1,2,,,,0,2,83883
13,建設局,4,1,,5,,,,0,5,14947
14,港湾局,,,,0,,,,0,0,
15,東京消防庁,,,,0,,,,0,0,
16,交通局,2,1,,3,,,,0,3,2599
17,水道局,1,1,1,3,,,1,1,4,6298
18,下水道局,2,2,1,5,,,,0,5,31406
19,教育庁,1,1,,2,,,,0,2,1902
20,警視庁,1,,,1,,,,0,1,3704
,島しょ,2,,,2,,,,0,2,1987
合計,,15,8,4,27,,,,0,28,150145
