対象局,実地監査期間,対象件数(件),抽出件数(件),対象金額(百万円),抽出金額(百万円)
総務局,R1.9.17～R1.9.19,48,11(22.9%),1726,1155(67.0％)
財務局,R1.5.20～R1.6.27,497,116(23.3％),408803,217716(53.3％)
主税局,R1.5.7～R1.5.10,129,18(14.0％),1667,670(40.2％)
生活文化局,H31.4.23～H31.4.25,30,12(40.0％),2226,1217(54.7％)
オリンピック・パラリンピック準備局,R1.5.7～R1.5.10,25,16(64.0％),266,214(80.5％)
都市整備局,R1.6.5～R1.6.28,196,35(17.9％),11675,5304(45.4％)
住宅政策本部,R1.6.5～R1.6.28,943,117(12.4%),152653,60030(39.3%)
環境局,H31.2.12～H31.2.22,127,26(20.5%),7618,2892(38.0%)
福祉保健局,R1.9.13～R1.9.19,192,30(15.6%),6775,5163(76.2%)
病院経営本部,R1.9.9～R1.9.11,107,28(26.2%),4200,1495(35.6%)
産業労働局,H31.2.12～H31.2.22,162,34(21.0%),3272,1419(43.4%)
中央卸売市場,H31.1.29～H31.2.4,625,71(11.4%),24940,15354(61.6%)
建設局,R1.9.2～R1.10.2,4186,200(4.8%),447909,210845(47.1%)
港湾局,H31.2.4～H31.2.19,945,93(9.8%),211060,99373(47.1%)
東京消防庁,H31.1.22～H31.1.28,581,89(15.3%),51068,17388(34.0%)
交通局,H31.1.11～H31.1.21,1010,103(10.2%),198605,81667(41.1%)
水道局,R1.5.13～R1.5.24,1694,186(11.0%),416593,140679(33.8％)
下水道局,R1.5.28～R1.6.28,2910,194(6.7%),627015,171415(27.3％)
教育庁,H31.2.5～H31.2.15,825,69(8.4%),15343,4645(30.3%)
警視庁,R1.9.26～R1.10.2,1054,76(7.2%),100734,31916(31.7%)
島しょ,H31.4.8～H31.4.19,832,121(14.5%),17882,6447(36.1%)
合計,,17118,1645(9.6%),2712041,1077012(39.7%)
