"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","外出の機会や日中の活動について","Q6-2. 【問６-１で「３．かつて利用していたが、利用するのをやめた」「４．そのような場所があることは知っているが、利用したことはない」と回答された方のみ】利用するのをやめた、または利用したことがない理由は何ですか。（あてはまるものすべてに○）","通うのが大変","50","9.5","10.7"
"202003","外出の機会や日中の活動について","Q6-2. 【問６-１で「３．かつて利用していたが、利用するのをやめた」「４．そのような場所があることは知っているが、利用したことはない」と回答された方のみ】利用するのをやめた、または利用したことがない理由は何ですか。（あてはまるものすべてに○）","建物や机等の設備が障害者に合っていない","2","0.4","0.4"
"202003","外出の機会や日中の活動について","Q6-2. 【問６-１で「３．かつて利用していたが、利用するのをやめた」「４．そのような場所があることは知っているが、利用したことはない」と回答された方のみ】利用するのをやめた、または利用したことがない理由は何ですか。（あてはまるものすべてに○）","自分に合った場所がない","65","12.4","13.9"
"202003","外出の機会や日中の活動について","Q6-2. 【問６-１で「３．かつて利用していたが、利用するのをやめた」「４．そのような場所があることは知っているが、利用したことはない」と回答された方のみ】利用するのをやめた、または利用したことがない理由は何ですか。（あてはまるものすべてに○）","利用者とのコミュニケーションがうまく取れない","21","4.0","4.5"
"202003","外出の機会や日中の活動について","Q6-2. 【問６-１で「３．かつて利用していたが、利用するのをやめた」「４．そのような場所があることは知っているが、利用したことはない」と回答された方のみ】利用するのをやめた、または利用したことがない理由は何ですか。（あてはまるものすべてに○）","職員とのコミュニケーションがうまく取れない","10","1.9","2.1"
"202003","外出の機会や日中の活動について","Q6-2. 【問６-１で「３．かつて利用していたが、利用するのをやめた」「４．そのような場所があることは知っているが、利用したことはない」と回答された方のみ】利用するのをやめた、または利用したことがない理由は何ですか。（あてはまるものすべてに○）","利用方法がわからない","60","11.5","12.8"
"202003","外出の機会や日中の活動について","Q6-2. 【問６-１で「３．かつて利用していたが、利用するのをやめた」「４．そのような場所があることは知っているが、利用したことはない」と回答された方のみ】利用するのをやめた、または利用したことがない理由は何ですか。（あてはまるものすべてに○）","その他","37","7.1","7.9"
"202003","外出の機会や日中の活動について","Q6-2. 【問６-１で「３．かつて利用していたが、利用するのをやめた」「４．そのような場所があることは知っているが、利用したことはない」と回答された方のみ】利用するのをやめた、または利用したことがない理由は何ですか。（あてはまるものすべてに○）","特にそのような場所に行く必要がない","287","54.8","61.2"
"202003","外出の機会や日中の活動について","Q6-2. 【問６-１で「３．かつて利用していたが、利用するのをやめた」「４．そのような場所があることは知っているが、利用したことはない」と回答された方のみ】利用するのをやめた、または利用したことがない理由は何ですか。（あてはまるものすべてに○）","無回答","55","10.5",

"港区保健福祉基礎調査（身体障害者）・単純集計表・外出の機会や日中の活動についてQ6-2","Ver202003",,,,,
