"所得段階","説明","2017年度 保険料額[円]","2017年度 被保険者数[人]"
"第1段階","生活保護受給者、中国残留邦人等支援給付受給者又は本人が老齢福祉年金受給者で、世帯全員が住民税非課税の人　本人の合計所得金額と公的年金収入金額を合わせて、80 万円以下の人で、世帯全員が住民税非課税の人","29976","8022"
"第2段階","世帯全員が住民税非課税で、本人の合計所得金額と公的年金収入金額を合わせて、80 万円を超え、120 万円以下の人","41217","2627"
"第3段階","世帯全員が住民税非課税で、本人の合計所得金額と公的年金収入金額を合わせて、120 万円を超える人","48711","2545"
"第4段階","本人が住民税非課税かつ世帯員が住民税課税で、本人の合計所得金額と公的年金収入金額を合わせて、80 万円以下の人","59952","4594"
"第5段階","本人が住民税非課税かつ世帯員が住民税課税で、本人の合計所得金額と公的年金収入金額を合わせて、80 万円を超える人","74940","2980"
"第6段階","本人が住民税課税で、合計所得金額 125 万円未満の人","78687","4789"
"第7段階","本人が住民税課税で、合計所得金額 125 万円以上 190 万円未満の人","82434","4067"
"第8段階","本人が住民税課税で、合計所得金額 190 万円以上 250 万円未満の人","89928","2669"
"第9段階","本人が住民税課税で、合計所得金額 250 万円以上 350 万円未満の人","104916","2701"
"第10段階","本人が住民税課税で、合計所得金額 350 万円以上 500 万円未満の人","119904","2386"
"第11段階","本人が住民税課税で、合計所得金額 500 万円以上 750 万円未満の人","142386","2034"
"第12段階","本人が住民税課税で、合計所得金額 750 万円以上 1,000 万円未満の人","172362","1069"
"第13段階","本人が住民税課税で、合計所得金額 1,000 万円以上 2,000 万円未満の人","206085","1831"
"第14段階","本人が住民税課税で、合計所得金額 2,000 万円以上 3,000 万円未満の人","239808","667"
"第15段階","本人が住民税課税で、合計所得金額 3,000 万円以上の人","273531","1295"
"合計",,,"44276"

"令和4年度港区行政資料集　介護保険 所得段階別被保険者数（65歳以上）-1","Ver202203",,
