年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成30年８月,2018,8,437,114,100,196,332,117,159,632,290,138,375,309,126,...,288,917,278,237,202,133,216,1287,323,828,394,158,864,1823,535,325,875,238,438,999,262,1371,816,1571,1338,2559,566,624,616,718,1035,1692,736,480,642,807,...,...,349,496,...,612,1190,1598,...,1032,373,625,...,...,243,936,196,230,326
平成30年９月,2018,9,430,102,93,194,330,131,145,641,272,133,386,322,119,...,281,910,290,233,199,133,147,1305,262,779,444,159,925,1951,518,341,773,232,456,982,272,1078,861,1567,1285,2474,590,703,709,910,990,1716,905,502,697,588,...,673,346,484,...,514,1256,1345,...,1086,...,...,...,...,246,896,197,230,324
平成30年９月上旬,2018,9上,434,103,94,195,...,130,159,642,268,127,...,...,...,...,...,...,...,...,...,...,155,1262,270,745,428,...,940,1922,...,...,...,219,...,...,266,1084,...,...,1311,2422,596,739,631,904,1030,...,858,...,...,602,...,660,...,...,...,554,1241,1332,...,1071,...,...,...,...,250,...,196,227,321
平成30年９月中旬,2018,9中,424,106,99,195,330,137,160,642,275,135,386,322,119,...,281,910,290,233,199,133,142,1334,270,784,440,159,946,1937,518,341,773,251,456,982,277,1102,861,1567,1311,2399,599,684,705,937,998,1716,901,502,697,590,...,722,346,484,...,507,1232,1353,...,1093,...,...,...,...,244,896,198,226,325
平成30年９月下旬,2018,9下,433,98,86,193,...,127,115,637,272,137,...,...,...,...,...,...,...,...,...,...,144,1317,246,808,465,...,889,1994,...,...,...,227,...,...,271,1047,...,...,1232,2600,574,684,791,888,942,...,958,...,...,573,...,638,...,...,...,481,1294,1350,...,1093,...,...,...,...,245,...,198,237,327
平成30年10月上旬,2018,10上,440,141,101,190,...,139,103,648,264,137,...,...,...,417,...,...,...,...,...,...,168,1147,282,839,538,...,843,1938,...,...,...,208,...,...,267,1036,...,...,...,2641,551,647,747,896,913,...,1034,...,...,573,...,582,...,...,...,504,...,1442,600,...,...,...,...,...,247,...,196,229,328
平成30年10月中旬,2018,10中,448,122,84,194,329,136,98,632,266,126,405,320,120,405,279,898,285,236,208,134,169,1252,272,845,543,157,799,1893,487,333,703,201,492,908,262,1022,882,1567,...,2546,563,656,743,876,959,1763,1161,503,762,566,...,588,343,487,...,511,...,1604,549,...,...,...,...,...,250,956,196,231,330
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H30.1,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成３０年１０月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
