年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成30年９月,2018,9,430,102,93,194,330,131,145,641,272,133,386,322,119,...,281,910,290,233,199,133,147,1305,262,779,444,159,925,1951,518,341,773,232,456,982,272,1078,861,1567,1285,2474,590,703,709,910,990,1716,905,502,697,588,...,673,346,484,...,514,1256,1345,...,1086,...,...,...,...,246,896,197,230,324
平成30年10月,2018,10,445,124,87,193,329,134,96,640,270,133,405,320,120,403,279,898,285,236,208,134,170,1142,263,809,523,157,795,1820,487,333,703,197,492,908,260,1015,882,1567,...,2587,549,661,760,875,958,1763,1204,503,762,584,...,577,343,487,...,472,...,1598,558,...,...,...,...,...,248,956,195,229,330
平成30年10月上旬,2018,10上,440,141,101,190,...,139,103,648,264,137,...,...,...,417,...,...,...,...,...,...,168,1147,282,839,538,...,843,1938,...,...,...,208,...,...,267,1036,...,...,...,2641,551,647,747,896,913,...,1034,...,...,573,...,582,...,...,...,504,...,1442,600,...,...,...,...,...,247,...,196,229,328
平成30年10月中旬,2018,10中,448,122,84,194,329,136,98,632,266,126,405,320,120,405,279,898,285,236,208,134,169,1252,272,845,543,157,799,1893,487,333,703,201,492,908,262,1022,882,1567,...,2546,563,656,743,876,959,1763,1161,503,762,566,...,588,343,487,...,511,...,1604,549,...,...,...,...,...,250,956,196,231,330
平成30年10月下旬,2018,10下,448,108,74,194,...,127,88,640,281,136,...,...,...,387,...,...,...,...,...,...,174,1027,235,744,489,...,741,1630,...,...,...,182,...,...,252,988,...,...,...,2574,535,680,789,853,1001,...,1417,...,...,613,...,560,...,...,...,400,...,1749,526,...,...,...,...,...,247,...,194,229,333
平成30年11月上旬,2018,11上,458,88,109,...,...,119,87,645,279,129,...,...,...,366,...,...,...,...,...,...,186,859,218,685,416,...,633,1616,...,...,...,155,...,...,260,944,...,...,...,2472,551,637,788,845,1039,...,...,...,...,...,500,581,...,...,...,...,...,...,487,...,...,...,...,...,242,...,194,228,334
平成30年11月中旬,2018,11中,461,89,105,...,330,125,84,638,284,131,400,323,119,361,286,909,269,235,199,136,186,773,178,658,371,158,561,1604,474,317,632,156,471,980,258,924,838,1527,...,2530,578,593,741,841,1017,1712,...,501,776,...,503,570,356,498,...,...,...,...,486,...,...,...,...,...,242,857,197,226,331
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H30.1,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成３０年１１月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
