年　　　月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成29年12月,2017,12,464,105,84,...,324,123,106,616,282,135,330,300,128,351,320,900,290,236,201,137,255,1418,223,740,1060,158,808,2069,444,328,667,226,338,877,235,1003,947,1576,...,2922,450,785,1103,809,1136,1851,...,542,837,...,455,620,386,477,...,...,...,...,564,...,...,...,2103,...,242,904,199,231,354
平成30年１月,2018,1,472,122,95,...,322,128,99,618,282,134,347,311,126,341,308,910,284,235,200,139,361,1409,294,823,1221,157,943,2303,470,327,703,312,368,860,238,1087,880,1591,...,2809,506,784,1010,779,1238,1865,...,612,863,...,508,768,436,522,...,...,...,...,...,...,...,...,1996,...,242,945,198,227,337
平成30年１月上旬,2018,1上,487,160,99,...,...,145,98,611,289,144,...,...,...,356,...,...,...,...,...,...,351,1648,273,871,1286,...,1034,2296,...,...,...,305,...,...,238,1124,...,...,...,3137,534,835,1109,835,1232,...,...,...,...,...,509,726,...,...,...,...,...,...,...,...,...,...,2104,...,240,...,202,233,345
平成30年１月中旬,2018,1中,465,94,96,...,322,121,104,614,277,130,347,311,126,333,308,910,284,235,200,139,376,1465,293,822,1367,157,947,2390,470,327,703,324,368,860,237,1085,880,1591,...,2699,492,744,1011,783,1208,1865,...,612,863,...,505,766,436,522,...,...,...,...,...,...,...,...,1957,...,247,945,196,225,335
平成30年１月下旬,2018,1下,464,113,90,...,...,119,95,628,281,128,...,...,...,335,...,...,...,...,...,...,357,1116,317,775,1008,...,848,2224,...,...,...,306,...,...,240,1051,...,...,...,2591,492,774,909,718,1275,...,...,...,...,...,509,811,...,...,...,...,...,...,...,...,...,...,1928,...,240,...,195,225,333
平成30年２月上旬,2018,2上,451,148,101,...,...,123,98,633,274,118,...,...,...,327,...,...,...,...,...,...,372,1152,334,800,975,...,907,1715,...,...,...,301,...,...,240,1091,...,...,...,2399,447,753,907,670,1305,...,...,...,...,...,492,845,...,...,825,...,...,...,...,...,...,...,1754,...,254,...,195,220,338
平成30年２月中旬,2018,2中,456,100,84,...,321,115,98,621,270,137,348,318,119,318,317,884,279,237,205,138,396,1081,329,880,909,157,933,1590,469,331,725,297,402,853,236,1064,874,1580,...,2329,433,689,909,637,1313,1802,...,594,839,...,505,860,427,534,794,...,...,...,...,...,...,...,1743,...,241,980,196,220,346
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H30.1,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成３０年２月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
