"年度","区分","18～20歳[人]","21～30歳[人]","31歳以上[人]","合計[人]"
"2015","合計","9","11","21","41"
"2016","合計","10","11","22","43"
"2017","合計","5","16","24","45"
"2018","合計","5","17","25","47"
"2019","性別 男","3","13","9","25"
"2019","性別 女","2","7","16","25"
"2019","障害別 知的障害","5","20","25","50"
"2019","障害別 身体障害","2","13","18","33"
"2019","障害別 （重複障害）","2","13","18","33"
"2019","障害等級 愛の手帳 1・2度","5","20","23","48"
"2019","障害等級 愛の手帳 3・4度","0","0","2","2"
"2019","障害等級 愛の手帳 手帳なし","0","0","0","0"
"2019","障害等級 身体障害者手帳 1・2級","1","9","13","23"
"2019","障害等級 身体障害者手帳 3・4級","1","3","4","8"
"2019","障害等級 身体障害者手帳 5・6級","0","1","1","2"
"2019","障害等級 身体障害者手帳 手帳なし","3","7","7","17"

"令和元年度港区行政資料集　障害保健福祉センター生活介護事業利用状況","Ver201904",,,,
