[資料21]　大気　ダイオキシン類異性体等分析結果（第３回調査　 ２０２２(令和４)年１１月：区部）,,,,,,,,,,,,,,,[資料21]　大気　ダイオキシン類異性体等分析結果（第３回調査　 ２０２２(令和４)年１１月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2022(令和4）年　11月15日～11月22日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2022(令和4）年　11月15日～11月22日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,11月15日～22日,11月15日～22日,11月15日～22日,11月15日～22日,11月15日～22日,11月15日～22日,11月15日～22日,11月15日～22日,,,,,,,,11月15日～22日,11月15日～22日,,,,11月15日～22日,11月15日～22日,11月15日～22日,11月15日～22日,11月15日～22日,11月15日～22日,,11月15日～22日,,
PCDDs,,"1,3,6,8TeCDD",0,0.0024,0.0009,0.14,0.088,0.091,0.094,0.082,0.21,0.18,0.19,,PCDDs,,"1,3,6,8TeCDD",0,0.004,0.001,0.031,0.027,,0.0024,0.0009,0.045,0.057,0.059,0.033,0.042,0.099,,0.043,0.0008,0.0003
,,"1,3,7,9TeCDD",0,0.0024,0.0009,0.061,0.038,0.035,0.039,0.033,0.1,0.07,0.08,,,,"1,3,7,9TeCDD",0,0.004,0.001,0.011,0.01,,0.0024,0.0009,0.017,0.023,0.025,0.012,0.017,0.043,,0.021,0.0008,0.0003
,,"2,3,7,8TeCDD",1,0.0024,0.0009,0.0014,0.0013,ND,0.0015,ND,0.0018,0.0026,0.0019,,,,"2,3,7,8TeCDD",1,0.004,0.001,ND,ND,,0.0024,0.0009,ND,ND,ND,ND,ND,ND,,0.0007,0.0008,0.0003
,,TeCDDs,,―,―,0.26,0.17,0.16,0.17,0.15,0.4,0.32,0.35,,,,TeCDDs,,,,0.047,0.045,,―,―,0.078,0.1,0.12,0.054,0.072,0.18,,0.11,―,―
,,"1,2,3,7,8PeCDD",1,0.004,0.001,0.005,0.003,0.002,0.003,0.003,0.005,0.008,0.006,,,,"1,2,3,7,8PeCDD",1,0.006,0.002,ND,ND,,0.004,0.001,ND,ND,0.006,ND,0.002,0.003,,0.0031,0.0014,0.0004
,,PeCDDs,,―,―,0.13,0.078,0.072,0.089,0.079,0.17,0.15,0.16,,,,PeCDDs,,,,0.024,0.017,,―,―,0.031,0.052,0.1,0.024,0.037,0.11,,0.12,―,―
,,"1,2,3,4,7,8HxCDD",0.1,0.004,0.001,0.005,0.004,0.003,0.004,0.004,0.005,0.007,0.007,,,,"1,2,3,4,7,8HxCDD",0.1,0.008,0.002,ND,ND,,0.004,0.001,0.001,0.003,0.017,0.002,0.002,0.004,,0.0037,0.0013,0.0004
,,"1,2,3,6,7,8HxCDD",0.1,0.004,0.001,0.012,0.008,0.006,0.008,0.011,0.011,0.013,0.014,,,,"1,2,3,6,7,8HxCDD",0.1,0.011,0.003,ND,ND,,0.004,0.001,0.003,0.005,0.023,0.003,0.004,0.009,,0.0073,0.0012,0.0004
,,"1,2,3,7,8,9HxCDD",0.1,0.006,0.002,0.009,0.005,0.004,0.006,0.008,0.009,0.01,0.01,,,,"1,2,3,7,8,9HxCDD",0.1,0.008,0.002,ND,0.002,,0.006,0.002,0.003,0.005,0.027,0.002,0.004,0.007,,0.0057,0.0021,0.0006
,,HxCDDs,,―,―,0.16,0.11,0.096,0.13,0.15,0.19,0.2,0.19,,,,HxCDDs,,,,0.035,0.029,,―,―,0.048,0.086,0.38,0.038,0.064,0.15,,0.17,―,―
,,"1,2,3,4,6,7,8HpCDD",0.01,0.009,0.003,0.069,0.046,0.046,0.056,0.065,0.08,0.088,0.095,,,,"1,2,3,4,6,7,8HpCDD",0.01,0.012,0.003,0.03,0.03,,0.009,0.003,0.031,0.051,0.62,0.028,0.052,0.064,,0.057,0.003,0.0009
,,HpCDDs,,―,―,0.14,0.098,0.1,0.12,0.13,0.16,0.18,0.19,,,,HpCDDs,,,,0.066,0.067,,―,―,0.068,0.1,1.5,0.054,0.12,0.15,,0.14,―,―
,,OCDD,0.0003,0.021,0.006,0.12,0.11,0.13,0.13,0.13,0.14,0.15,0.17,,,,OCDD,0.0003,0.024,0.007,0.099,0.13,,0.021,0.006,0.11,0.17,5.1,0.1,0.27,0.14,,0.19,0.007,0.002
