［資料1-2］,,,,ベンゼン等28物質の調査結果詳細（2021(令和３)年度平均）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,単位:μg/m3（ただし、＃を付した物質の単位はng/m3）,,,,,,,
分類,,物 質 名,基準値等,定  量下限値,検  出下限値,区部一般環境,,,,,,,,,多摩部一般環境,,,,,都一般平均,沿道,,,檜原（ﾊﾞｯ ｸｸﾞﾗｳﾝﾄﾞ）
,,,,,,中央区晴海,国設東京新宿,目黒区碑文谷,大田区東糀谷,板橋区氷川町,練馬区石神井町,足立区西新井,江戸川区春江町,区部一般平均,八王子市片倉町,八王子市大楽寺町,小金井市貫井北町,東大和市奈良橋,多摩部一般平均,,京葉道路亀戸,環八通り八幡山,沿道平均,
優先取組物質,揮発性有機化合物,ベンゼン,3,0.08,0.03,1.1,0.85,0.86,1.7,0.83,0.78,0.89,0.91,0.98,0.72,0.64,0.80,0.81,0.74,0.90,1.0,0.98,1.0,0.45
,,トリクロロエチレン,130,0.12,0.04,0.71,0.66,0.61,4.0,0.85,0.98,1.6,0.88,1.3,0.41,0.51,0.61,0.51,0.51,1.0,1.7,0.62,1.1,0.19
,,テトラクロロエチレン,200,0.15,0.05,0.17,0.19,0.18,0.16,0.18,0.25,0.34,0.14,0.20,0.09,0.12,0.17,0.11,0.12,0.17,0.20,0.20,0.20,<0.05
,,ジクロロメタン,150,0.14,0.04,1.4,1.7,1.5,1.7,1.6,1.7,1.9,1.3,1.6,1.2,1.2,1.5,1.3,1.3,1.5,1.5,1.8,1.6,0.75
,,アクリロニトリル,2,0.13,0.04,0.22,0.14,0.12,0.38,0.12,0.09,0.13,0.13,0.16,<0.04,<0.04,0.10,0.11,0.06,0.13,0.18,0.12,0.15,<0.04
,,塩化ビニルモノマー,10,0.09,0.03,0.06,0.03,<0.03,0.05,<0.03,<0.03,<0.03,0.79,0.13,<0.03,<0.03,0.04,<0.03,<0.03,0.09,0.09,<0.03,0.06,<0.03
,,クロロホルム,18,0.14,0.04,0.26,0.25,0.24,0.24,0.26,0.24,0.23,0.20,0.24,0.17,0.14,0.27,0.18,0.19,0.23,0.24,0.20,0.22,0.14
,,"1,2-ジクロロエタン",1.6,0.17,0.05,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.08,0.07,0.11,0.11,0.09,0.11,0.12,0.11,0.11,0.11
,,"1,3-ブタジエン",2.5,0.08,0.03,0.21,0.13,0.12,0.32,0.10,0.10,0.16,0.16,0.16,0.07,0.07,0.09,0.10,0.08,0.13,0.50,0.16,0.33,<0.03
,,酸化エチレン,－,0.01,0.003,0.089,0.070,0.076,0.098,0.076,0.066,0.083,0.071,0.078,0.041,0.047,0.068,0.062,0.054,0.070,0.090,0.071,0.081,0.042
,,塩化メチル,94,0.12,0.04,1.5,1.5,1.4,1.5,1.4,1.5,1.5,1.4,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.2
,,トルエン,－,0.06,0.02,5.5,5.1,5.2,7.2,6.9,5.7,8.8,6.5,6.4,4.5,3.8,6.1,6.6,5.2,6.0,7.3,7.1,7.2,1.5
,ｱﾙﾃﾞ,アセトアルデヒド,120,0.8,0.3,3.4,3.2,3.2,4.8,3.5,2.7,3.1,3.1,3.4,2.1,1.9,3.7,3.0,2.7,3.2,3.6,3.3,3.5,1.8
,ﾋﾄﾞ類,ホルムアルデヒド,0.8,0.8,0.3,2.9,2.7,2.9,3.8,3.5,2.0,2.8,2.9,2.9,1.9,1.9,3.2,2.0,2.3,2.7,2.7,2.9,2.8,1.0
,PAH,ベンゾ[a]ピレン #,0.12,0.05,0.02,0.20,0.10,0.09,0.65,0.08,0.08,0.10,0.11,0.17,0.08,0.06,0.08,0.11,0.08,0.14,0.17,0.10,0.14,0.04
,重金属類,ニッケル化合物 #,25,4,1,5,3,2,8,2,2,3,2,3,1,1,1,2,1,3,4,2,3,<1
,,ヒ素化合物 #,6,0.2,0.06,0.69,0.66,0.62,0.78,0.47,0.47,0.55,0.52,0.59,0.65,0.50,0.50,0.50,0.54,0.58,0.67,0.59,0.63,0.41
,,ベリリウム化合物 #,4,0.06,0.02,<0.02,<0.02,<0.02,0.02,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02
,,マンガン化合物 #,140,5,2,31,22,20,46,18,14,17,14,23,16,11,13,20,15,20,24,21,22,5
,,クロム化合物 #,－,1,0.3,8.4,4.5,4.7,12,4.3,2.8,4.7,3.4,5.6,1.9,1.6,3.4,3.2,2.5,4.6,5.9,5.8,5.8,0.7
,,六価クロム化合物 #,0.8,0.06,0.02,0.07,0.08,0.06,0.07,0.10,0.08,0.09,0.08,0.08,－,－,0.05,0.05,0.05,0.07,0.07,0.05,0.06,0.04
その他,,水銀化合物 #,40,0.1,0.03,1.8,1.8,1.8,2.1,1.8,1.7,1.9,1.7,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.7,1.8,1.4
,揮発性有機化合物,キシレン,－,0.09,0.04,1.9,1.5,1.7,2.7,1.5,1.5,1.8,1.4,1.7,1.7,0.99,1.7,1.9,1.6,1.7,1.9,2.0,1.9,0.40
,,"（m,p-キシレン）",－,0.04,0.02,1.4,1.1,1.2,1.9,1.1,1.1,1.3,1.0,1.3,0.47,0.28,1.3,1.4,0.85,1.1,1.4,1.4,1.4,0.29
,,（o-キシレン）,－,0.05,0.02,0.51,0.39,0.47,0.77,0.40,0.39,0.47,0.37,0.47,1.2,0.71,0.45,0.51,0.72,0.55,0.51,0.52,0.52,0.12
,,エチルベンゼン,－,0.06,0.02,1.6,1.4,1.5,2.3,1.4,1.3,1.7,1.4,1.6,1.5,0.88,1.6,1.9,1.5,1.5,1.8,1.6,1.7,0.42
,,スチレン,－,0.09,0.03,0.17,0.10,0.12,0.18,0.11,0.11,0.14,0.11,0.13,0.12,0.08,0.20,0.12,0.13,0.13,0.12,0.15,0.14,0.05
,,"1,1-ジクロロエタン",－,0.13,0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04
,,四塩化炭素,－,0.23,0.07,0.61,0.60,0.59,0.61,0.59,0.59,0.59,0.60,0.60,0.47,0.47,0.60,0.60,0.53,0.58,0.62,0.59,0.60,0.56
備考,,・斜体数字 は定量下限値未満検出下限値以上の値を、<は検出下限値未満を示す。,,,,,,,,,,,,,,,,,,,,,,
,,・基準値等の欄において、ベンゼン、トリクロロエチレン、テトラクロロエチレン及びジクロロメタンは、環境基準。,,,,,,,,,,,,,,,,,,,,,,
,,"アクリロニトリル、塩化ビニルモノマー、クロロホルム、1,2-ジクロロエタン、1,3-ブタジエン、塩化メチル、アセトアルデヒド、ニッケル化合物、ヒ素化合物、マンガン化合物及び水銀化合物は、指針値。",,,,,,,,,,,,,,,,,,,,,,
,,その他は、参考値（WHO、EPA）,,,,,,,,,,,,,,,,,,,,,,
,,・八王子市片倉町及び大楽寺町は、八王子市が調査を実施。八王子市は、六価クロム化合物についての調査は未実施,,,,,,,,,,,,,,,,,,,,,,
