大気　ダイオキシン類異性体等分析結果（第２回調査　 ２０２１(令和３)年８月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第２回調査　 ２０２１(令和３)年８月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2021(令和3）年　8月18日～8月25日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2021(令和3）年　8月18日～8月25日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","⑩八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,8月18日～25日,8月18日～25日,8月18日～25日,8月18日～25日,8月18日～25日,8月18日～25日,8月18日～25日,8月18日～25日,,,,,,,,8月18日～25日,8月18日～25日,,,,8月18日～25日,8月18日～25日,8月18日～25日,8月18日～25日,8月18日～25日,8月18日～25日,,8月18日～25日,,
PCDDs,,"1,3,6,8-TeCDD",0,0.0015,0.0003,0.061,0.07,0.064,0.08,0.077,0.097,0.13,0.11,,PCDDs,,"1,3,6,8-TeCDD",0,0.005,0.001,0.081,0.074,,0.0015,0.0003,0.12,0.087,0.11,0.085,0.09,0.13,,0.36,0.0005,0.0001
,,"1,3,7,9-TeCDD",0,0.0015,0.0003,0.026,0.031,0.027,0.032,0.029,0.036,0.048,0.038,,,,"1,3,7,9-TeCDD",0,0.005,0.001,0.028,0.029,,0.0015,0.0003,0.043,0.033,0.038,0.03,0.032,0.042,,0.22,0.0005,0.0001
,,"2,3,7,8-TeCDD",1,0.0015,0.0003,0.0007,ND,ND,0.0007,0.0004,0.0007,0.0008,0.0008,,,,"2,3,7,8-TeCDD",1,0.005,0.001,      ND,      ND,,0.0015,0.0003,ND,0.0008,ND,0.0007,0.0007,0.0007,,0.0044,0.0005,0.0001
,,TeCDDs,－,―,―,0.11,0.13,0.11,0.13,0.12,0.16,0.2,0.18,,,,TeCDDs,－,－,－,0.12,0.11,,―,―,0.19,0.14,0.16,0.13,0.14,0.2,,0.97,―,―
,,"1,2,3,7,8-PeCDD",1,0.0021,0.0006,0.0016,0.0021,0.0011,0.0014,ND,0.0022,0.003,ND,,,,"1,2,3,7,8-PeCDD",1,0.005,0.001,      ND,      ND,,0.0021,0.0006,0.0018,0.0015,0.0012,0.0018,0.0012,0.0015,,0.021,0.0007,0.0002
,,PeCDDs,－,―,―,0.034,0.047,0.034,0.038,0.033,0.06,0.072,0.055,,,,PeCDDs,－,－,－,0.04,0.028,,―,―,0.064,0.039,0.045,0.039,0.041,0.05,,0.64,―,―
,,"1,2,3,4,7,8-HxCDD",0.1,0.005,0.001,ND,0.001,ND,0.001,ND,0.002,0.002,0.001,,,,"1,2,3,4,7,8-HxCDD",0.1,0.008,0.003,      ND,      ND,,0.005,0.001,0.002,ND,0.001,0.001,0.001,ND,,0.011,0.0016,0.0005
,,"1,2,3,6,7,8-HxCDD",0.1,0.004,0.001,0.002,0.003,0.004,0.002,0.002,0.005,0.007,0.003,,,,"1,2,3,6,7,8-HxCDD",0.1,0.008,0.002,0.004,      ND,,0.004,0.001,0.005,ND,0.003,0.002,0.003,0.003,,0.02,0.0012,0.0004
,,"1,2,3,7,8,9-HxCDD",0.1,0.0027,0.0009,ND,0.0014,0.0021,0.0018,0.0015,0.0047,0.0042,0.0022,,,,"1,2,3,7,8,9-HxCDD",0.1,0.007,0.002,0.002,      ND,,0.0027,0.0009,0.0033,0.0013,0.0019,0.002,0.002,0.0027,,0.014,0.0009,0.0003
,,HxCDDs,－,―,―,0.027,0.034,0.042,0.032,0.028,0.061,0.081,0.059,,,,HxCDDs,－,－,－,0.051,0.021,,―,―,0.059,0.02,0.044,0.035,0.04,0.045,,0.46,―,―
,,"1,2,3,4,6,7,8-HpCDD",0.01,0.008,0.002,0.01,0.011,0.016,0.019,0.014,0.026,0.048,0.038,,,,"1,2,3,4,6,7,8-HpCDD",0.01,0.012,0.004,0.027,0.011,,0.008,0.002,0.028,0.015,0.023,0.016,0.027,0.02,,0.048,0.0028,0.0008
,,HpCDDs,－,―,―,0.023,0.023,0.032,0.041,0.031,0.053,0.093,0.075,,,,HpCDDs,－,－,－,0.054,0.022,,―,―,0.061,0.032,0.046,0.033,0.051,0.044,,0.11,―,―
,,OCDD,0.0003,0.015,0.006,0.027,0.03,0.035,0.091,0.06,0.077,0.092,0.12,,,,OCDD,0.0003,0.024,0.007,0.054,0.049,,0.015,0.006,0.059,0.051,0.11,0.051,0.11,0.067,,0.039,0.005,0.002
