測定年度,測定局,"測定局
の区分",4月(μｇ/m3）,5月(μｇ/m3）,6月(μｇ/m3）,7月(μｇ/m3）,8月(μｇ/m3）,9月(μｇ/m3）,10月(μｇ/m3）,11月(μｇ/m3）,12月(μｇ/m3）,1月(μｇ/m3）,2月(μｇ/m3）,3月(μｇ/m3）,年間(μｇ/m3）,"環境
基準等
注1(μｇ/m3）","定量
下限値
注2(μｇ/m3）","検出
下限値
注2(μｇ/m3）","公定法
毎月24時間
注3(μｇ/m3）"
ﾍﾞﾝｾﾞﾝ,江東局,一般,0.59,0.55,0.63,0.66,0.65,0.36,0.45,0.79,0.7,0.7,0.57,0.55,0.6,3,0.2,0.06,0.86
ﾍﾞﾝｾﾞﾝ,大田局,一般,,,,1.9,2.03,0.83,0.67,1.03,1,1.19,1.13,,1.37,3,0.064/0.014,0.019/0.004,2.1
ﾍﾞﾝｾﾞﾝ,板橋局,一般,0.94,0.89,,0.78,,0.63,1.58,2.15,1.3,1.47,1.14,1.08,1.17,3,0.28,0.09,0.84
ﾍﾞﾝｾﾞﾝ,八幡山局,自排,1.11,0.94,0.87,0.71,0.77,0.82,0.88,1.34,1.11,1.46,1.25,1.03,1.03,3,0.077/0.50,0.023/0.15,0.79
ﾄﾘｸﾛﾛｴﾁﾚﾝ,江東局,一般,0.51,0.48,0.57,0.38,0.4,0.58,1,1.6,1.3,0.87,0.66,0.56,0.73,130,0.2,0.06,1.1
ﾄﾘｸﾛﾛｴﾁﾚﾝ,大田局,一般,,,,1.55,1.61,2.93,3.33,3.02,2.15,1.99,2.3,,2.3,130,0.032/0.056,0.010/0.017,2.7
ﾄﾘｸﾛﾛｴﾁﾚﾝ,板橋局,一般,0.69,0.67,,0.6,,0.63,2.17,2.41,1.15,1.14,0.67,0.65,1.05,130,0.057,0.017,1.1
ﾄﾘｸﾛﾛｴﾁﾚﾝ,八幡山局,自排,0.37,0.22,0.3,0.23,0.31,0.35,0.51,0.63,0.45,0.44,0.4,0.34,0.38,130,0.046/0.046,0.014/0.014,0.48
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,江東局,一般,0.1,0.09,0.08,0.07,0.06,0.07,0.16,0.24,0.21,0.12,0.11,0.07,0.11,200,0.2,0.06,0.13
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,大田局,一般,,,,0.06,0.06,0.06,0.1,0.14,0.15,0.12,0.15,,0.1,200,0.057/0.13,0.017/0.04,0.12
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,板橋局,一般,0.18,0.17,,0.14,,0.1,0.4,0.45,0.18,0.24,0.13,0.19,0.21,200,0.048,0.014,0.15
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,八幡山局,自排,0.17,0.16,0.13,0.13,0.11,0.11,0.16,0.2,0.13,0.13,0.11,0.13,0.14,200,0.048/0.026,0.014/0.008,0.13
ｼﾞｸﾛﾛﾒﾀﾝ,江東局,一般,0.86,0.74,0.81,0.95,0.72,0.74,1.1,1.7,1.3,0.93,1.1,0.81,0.96,150,0.05,0.02,1.3
ｼﾞｸﾛﾛﾒﾀﾝ,大田局,一般,,,,1.99,1.88,1.55,1.98,2.47,2.49,1.82,1.84,,1.97,150,0.12/0.45,0.04/0.13,1.4
ｼﾞｸﾛﾛﾒﾀﾝ,板橋局,一般,1.59,1.26,,1.07,,1.14,3.35,6.86,7.4,1.24,1.91,1.36,2.61,150,0.53,0.16,1.7
ｼﾞｸﾛﾛﾒﾀﾝ,八幡山局,自排,1.53,1.51,1.56,1.44,1.81,1.35,1.66,2.07,1.69,1.63,1.55,1.58,1.62,150,0.092/0.16,0.027/0.05,1.2
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,江東局,一般,0.11,0.07,0.13,0.09,0.15,0.03,0.01,0.02,0.02,0.03,0.03,0.07,0.07,10　*,0.03,0.01,0.2
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,大田局,一般,,,,0.12,0.09,0.09,0.05,0.05,0.08,0.09,0.15,,0.11,10　*,0.13/0.017,0.04/0.005,0.03
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,板橋局,一般,0.04,0.09,,0.03,,0.04,0.03,0.09,0.18,0.09,0.11,0.09,0.08,10　*,0.039,0.012,<0.03
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,八幡山局,自排,0.05,0.09,0.06,0.04,0.07,0.03,0.02,0.04,0.04,0.05,0.06,0.06,0.05,10　*,0.060/0.063,0.018/0.019,<0.03
"1,3-ﾌﾞﾀｼﾞｴﾝ",江東局,一般,0.07,0.27,0.13,0.15,0.15,0.09,0.06,0.11,0.1,0.07,0.06,0.07,0.11,2.5　*,0.02,0.006,0.18
