(4) 揮発性有機化合物（優先取組物質以外）,,,,,,,,
（単位:μg/m3）,,,,,,,,
測定地点（局）,,キシレン,,,エチル ベンゼン,スチレン,"1,1-
ｼﾞｸﾛﾛｴﾀﾝ",四塩化炭素
,,,"m,p-キシレン",o-キシレン,,,,
,中央区晴海,1.9,1.4,0.51,1.6,0.17,<0.04,0.61
区,国設東京新宿,1.5,1.1,0.39,1.4,0.1,<0.04,0.6
部,目黒区碑文谷,1.7,1.2,0.47,1.5,0.12,<0.04,0.59
一,大田区東糀谷,2.7,1.9,0.77,2.3,0.18,<0.04,0.61
般,板橋区氷川町,1.5,1.1,0.4,1.4,0.11,<0.04,0.59
,練馬区石神井町,1.5,1.1,0.39,1.3,0.11,<0.04,0.59
,足立区西新井,1.8,1.3,0.47,1.7,0.14,<0.04,0.59
,江戸川区春江町,1.4,1,0.37,1.4,0.11,<0.04,0.6
,区部一般環境 平均,1.7,1.3,0.47,1.6,0.13,<0.04,0.6
,（令和2年度平均）,1.3,0.97,0.36,1.2,0.13,( <0.03),0.57
多,八王子市片倉町,1.7,0.47,1.2,1.5,0.12,<0.04,0.47
摩,八王子市大楽寺町,0.99,0.28,0.71,0.88,0.08,<0.04,0.47
一,小金井市貫井北町,1.7,1.3,0.45,1.6,0.2,<0.04,0.6
般,東大和市奈良橋,1.9,1.4,0.51,1.9,0.12,<0.04,0.6
,多摩部一般環境 平均,1.6,0.85,0.72,1.5,0.13,<0.04,0.53
,（令和2年度平均）,1.4,1,0.36,1.3,0.11,( <0.03),0.51
都一般環境 平均,,1.7,1.1,0.55,1.5,0.13,<0.04,0.58
,（令和2年度平均）,1.3,0.98,0.36,1.2,0.12,( <0.03),0.55
沿,京葉道路亀戸,1.9,1.4,0.51,1.8,0.12,<0.04,0.62
道,環八通り八幡山,2,1.4,0.52,1.6,0.15,<0.04,0.59
,沿道 平均,1.9,1.4,0.52,1.7,0.14,<0.04,0.6
,（令和2年度平均）,1.5,1.1,0.41,1.2,0.13,( <0.03),0.58
檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,0.4,0.29,0.12,0.42,0.05,<0.04,0.56
,（令和2年度平均）,0.43,0.3,0.12,0.46,0.13,( <0.03),0.56
基準値等,,－,－,－,－,－,－,－
定量下限値,,0.09,0.04,0.05,0.06,0.09,0.13,0.23
検出下限値,,0.04,0.02,0.02,0.02,0.03,0.04,0.07
注1）測定値が検出下限値未満のときは、検出下限値の1/2として、年平均値を計算した。,,,,,,,,
注2）結果は、有効数字2桁で表示。ただし下限値の桁までとした。,,,,,,,,
注3）測定機器の変更等により、定量下限値及び検出下限値が、前年度とは異なる物質がある。,,,,,,,,
注4）地域別等の平均値は、当該地域の全測定値の平均であるため、各地点の年平均値を平均したものとは,,,,,,,,
異なる場合がある。,,,,,,,,
