大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２１(令和３)年５月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２１(令和３)年５月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2021(令和3)年　5月19日～5月26日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2021(令和3)年　5月19日～5月26日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","⑩八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,5月19日～26日,5月19日～26日,5月19日～26日,5月19日～26日,5月19日～26日,5月19日～26日,5月19日～26日,5月19日～26日,,,,,,,,5月19日～26日,5月19日～26日,,,,5月19日～26日,5月19日～26日,5月19日～26日,5月19日～26日,5月19日～26日,5月19日～26日,,5月19日～26日,,
PCDDs,,"1,3,6,8-TeCDD",0,0.0027,0.0009,0.091,0.1,0.094,0.13,0.12,0.15,0.16,0.13,,PCDDs,,"1,3,6,8-TeCDD",0,0.005,0.001,0.14,0.11,,0.0027,0.0009,0.15,0.11,0.15,0.15,0.13,0.22,,0.38,0.0009,0.0003
,,"1,3,7,9-TeCDD",0,0.0027,0.0009,0.035,0.04,0.034,0.048,0.04,0.051,0.053,0.043,,,,"1,3,7,9-TeCDD",0,0.005,0.001,0.038,0.037,,0.0027,0.0009,0.047,0.035,0.044,0.049,0.042,0.068,,0.2,0.0009,0.0003
,,"2,3,7,8-TeCDD",1,0.0027,0.0009,0.0012,0.0012,ND,ND,ND,ND,0.0011,ND,,,,"2,3,7,8-TeCDD",1,0.005,0.001,      ND,      ND,,0.0027,0.0009,ND,ND,ND,0.0011,ND,0.0014,,0.0035,0.0009,0.0003
,,TeCDDs,－,―,―,0.15,0.18,0.15,0.21,0.18,0.24,0.24,0.2,,,,TeCDDs,－,－,－,0.19,0.16,,―,―,0.23,0.16,0.21,0.24,0.2,0.33,,0.8,―,―
,,"1,2,3,7,8-PeCDD",1,0.005,0.001,0.002,0.002,0.001,0.002,ND,0.002,0.002,0.002,,,,"1,2,3,7,8-PeCDD",1,0.005,0.001,0.002,      ND,,0.005,0.001,0.001,ND,0.001,0.002,ND,0.002,,0.0068,0.0016,0.0005
,,PeCDDs,－,―,―,0.051,0.053,0.033,0.06,0.033,0.071,0.056,0.053,,,,PeCDDs,－,－,－,0.055,0.037,,―,―,0.046,0.04,0.045,0.064,0.045,0.069,,0.51,―,―
,,"1,2,3,4,7,8-HxCDD",0.1,0.006,0.002,ND,ND,ND,ND,ND,ND,ND,ND,,,,"1,2,3,4,7,8-HxCDD",0.1,0.008,0.003,      ND,      ND,,0.006,0.002,ND,ND,ND,ND,ND,ND,,0.0049,0.0019,0.0006
,,"1,2,3,6,7,8-HxCDD",0.1,0.0033,0.0009,ND,0.0032,0.0018,0.0032,0.0024,0.0035,0.0027,0.0032,,,,"1,2,3,6,7,8-HxCDD",0.1,0.008,0.002,0.005,      ND,,0.0033,0.0009,0.0037,0.0026,0.0026,0.0049,0.0024,0.0033,,0.011,0.0011,0.0003
,,"1,2,3,7,8,9-HxCDD",0.1,0.005,0.001,0.003,ND,0.002,0.003,ND,0.003,0.002,0.002,,,,"1,2,3,7,8,9-HxCDD",0.1,0.007,0.002,0.003,      ND,,0.005,0.001,0.002,0.002,0.002,0.003,0.001,0.002,,0.0067,0.0016,0.0005
,,HxCDDs,－,―,―,0.04,0.042,0.019,0.053,0.02,0.053,0.036,0.046,,,,HxCDDs,－,－,－,0.078,0.035,,―,―,0.047,0.035,0.038,0.062,0.035,0.053,,0.29,―,―
,,"1,2,3,4,6,7,8-HpCDD",0.01,0.012,0.003,0.016,0.016,0.013,0.021,0.015,0.021,0.017,0.019,,,,"1,2,3,4,6,7,8-HpCDD",0.01,0.012,0.004,0.051,0.019,,0.012,0.003,0.027,0.019,0.014,0.037,0.018,0.02,,0.046,0.004,0.001
,,HpCDDs,－,―,―,0.033,0.035,0.027,0.043,0.031,0.043,0.035,0.039,,,,HpCDDs,－,－,－,0.098,0.04,,―,―,0.053,0.039,0.034,0.073,0.037,0.044,,0.11,―,―
,,OCDD,0.0003,0.024,0.006,0.027,0.03,0.027,0.038,0.037,0.049,0.037,0.036,,,,OCDD,0.0003,0.024,0.007,0.12,0.043,,0.024,0.006,0.059,0.054,0.038,0.09,0.045,0.039,,0.048,0.008,0.002
