表６－１,,環境大気中のダイオキシン類調査結果,,,,,,（単位：pg-TEQ/?）,
地点番号,2022(令和4)年度結果,,,,,,"2021
(令和3）年度","2020
(令和2）年度",
,調査地点,5月18日,8月17日,11月15日,2月3日,平均,平均,平均,
,,～5月25日 (4）,～8月24日,～11月22日,～2月10日,,,,
1,中央区晴海局,0.0089,0.014,0.030,0.017,0.017,0.017,0.018,
2,大田区東糀谷局,0.011,0.013,0.020,0.013,0.014,0.013,0.015,
3,世田谷区世田谷局,0.0072,0.012,0.014,0.016,0.012,0.013,0.011,
4,板橋区氷川町局,0.012,0.013,0.018,0.020,0.016,0.015,0.016,
5,練馬区石神井町局,0.0071,0.011,0.017,0.013,0.012,0.011,0.011,
6,足立区西新井局,0.013,0.013,0.029,0.022,0.019,0.021,0.026,
7,葛飾区鎌倉,0.0087,0.015,0.035,0.026,0.021,0.023,0.020,
8,江戸川区春江町局,0.0081,0.011,0.035,0.018,0.018,0.020,0.018,
9,八王子市片倉町局,0.0070,0.013,0.0079,0.0098,0.0094,0.0097,0.013,
10,八王子市大楽寺町局,0.0068,0.0072,0.0068,0.0085,0.0073,0.0077,0.012,
11,立川市錦町,0.0088,0.011,0.0074,0.0091,0.0091,0.013,0.021,
12,町田市能ヶ谷局,0.0062,0.0086,0.011,0.011,0.0092,0.011,0.011,
13,小金井市貫井北町,0.0092,0.0080,0.029,0.012,0.015,0.011,0.011,
14,福生市本町局,0.0052,0.010,0.0069,0.010,0.0080,0.010,0.023,
15,東大和市奈良橋局,0.0077,0.0085,0.0096,0.012,0.0095,0.0094,0.010,
16,清瀬市下宿,0.0063,0.010,0.020,0.016,0.013,0.022,0.012,
17,西多摩郡檜原局,0.011,0.0025,0.017,0.014,0.011,0.033,0.0098,
平均,,0.0085,0.011,0.018,0.015,0.013,0.015,0.015,
最大,,0.013,0.015,0.035,0.026,0.021,0.033,0.026,
最小,,0.0052,0.0025,0.0068,0.0085,0.0073,0.0077,0.0098,
備考：,(1)毒性等価係数：WHO-TEF 2006。,,,,,,,,
,(2)TEQを換算する際に、分析値が検出下限未満のものについては［検出下限×1/2］として扱った。,,,,,,,,
,(3)測定地点毎の年平均値に対する最大、最小を年平均値欄の下方に示した。,,,,,,,,
,(4）③世田谷区世田谷局は、調査前に5月21日(土)キュービクル点検に伴う停電がある旨、連絡があったため、調査期間を5月23日(月)～5月30日(月)とした。,,,,,,,,
,,,,,,,,,
,,,,,,,,,
