[資料21]　大気　ダイオキシン類異性体等分析結果（第４回調査　 ２０２３(令和５)年２月：区部）,,,,,,,,,,,,,,,[資料21]　大気　ダイオキシン類異性体等分析結果（第４回調査　 ２０２３(令和５)年２月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2023(令和5）年　2月3日～2月10日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2023(令和5）年　2月3日～2月10日）,,,,単位：pg/m3,,,,（2023(令和5）年　2月3日～2月10日）,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,2月3日～10日,2月3日～10日,2月3日～10日,2月3日～10日,2月3日～10日,2月3日～10日,2月3日～10日,2月3日～10日,,,,,,,,2月3日～10日,2月3日～10日,,,,2月3日～10日,2月3日～10日,2月3日～10日,2月3日～10日,2月3日～10日,2月3日～10日,,2月3日～10日,,
PCDDs,,"1,3,6,8TeCDD",0,0.0024,0.0009,0.048,0.043,0.056,0.079,0.047,0.061,0.069,0.056,,PCDDs,,"1,3,6,8TeCDD",0,0.004,0.001,0.026,0.02,,0.0024,0.0009,0.034,0.035,0.047,0.035,0.038,0.066,,0.027,0.0008,0.0003
,,"1,3,7,9TeCDD",0,0.0024,0.0009,0.02,0.018,0.023,0.034,0.02,0.026,0.03,0.024,,,,"1,3,7,9TeCDD",0,0.004,0.001,0.011,0.01,,0.0024,0.0009,0.013,0.015,0.018,0.015,0.016,0.031,,0.014,0.0008,0.0003
,,"2,3,7,8TeCDD",1,0.0024,0.0009,0.0012,ND,0.0013,ND,ND,ND,0.0013,ND,,,,"2,3,7,8TeCDD",1,0.004,0.001,ND,ND,,0.0024,0.0009,ND,ND,ND,ND,ND,ND,,0.0004,0.0008,0.0003
,,TeCDDs,,―,―,0.092,0.083,0.11,0.15,0.093,0.12,0.14,0.11,,,,TeCDDs,,,,0.049,0.036,,―,―,0.061,0.067,0.087,0.067,0.068,0.13,,0.066,―,―
,,"1,2,3,7,8PeCDD",1,0.004,0.001,0.003,0.002,0.003,0.003,0.002,0.004,0.005,0.004,,,,"1,2,3,7,8PeCDD",1,0.006,0.002,ND,ND,,0.004,0.001,0.002,0.002,0.002,0.002,0.002,0.003,,0.0025,0.0014,0.0004
,,PeCDDs,,―,―,0.063,0.059,0.063,0.098,0.068,0.085,0.1,0.074,,,,PeCDDs,,,,0.037,0.024,,―,―,0.038,0.043,0.049,0.04,0.046,0.088,,0.072,―,―
,,"1,2,3,4,7,8HxCDD",0.1,0.004,0.001,0.003,0.002,0.003,0.004,0.003,0.004,0.005,0.003,,,,"1,2,3,4,7,8HxCDD",0.1,0.008,0.002,ND,ND,,0.004,0.001,0.002,0.002,0.002,0.002,0.002,0.003,,0.003,0.0013,0.0004
,,"1,2,3,6,7,8HxCDD",0.1,0.004,0.001,0.005,0.005,0.006,0.007,0.006,0.007,0.009,0.007,,,,"1,2,3,6,7,8HxCDD",0.1,0.011,0.003,ND,ND,,0.004,0.001,0.004,0.004,0.004,0.004,0.004,0.006,,0.0047,0.0012,0.0004
,,"1,2,3,7,8,9HxCDD",0.1,0.006,0.002,0.005,0.004,0.005,0.006,0.004,0.006,0.008,0.005,,,,"1,2,3,7,8,9HxCDD",0.1,0.008,0.002,ND,ND,,0.006,0.002,0.003,0.003,0.003,0.002,0.003,0.004,,0.0038,0.0022,0.0006
,,HxCDDs,,―,―,0.075,0.075,0.088,0.12,0.094,0.11,0.13,0.095,,,,HxCDDs,,,,0.044,0.032,,―,―,0.056,0.06,0.066,0.05,0.069,0.11,,0.11,―,―
,,"1,2,3,4,6,7,8HpCDD",0.01,0.009,0.003,0.028,0.027,0.035,0.043,0.032,0.047,0.053,0.036,,,,"1,2,3,4,6,7,8HpCDD",0.01,0.01,0.003,0.029,0.021,,0.009,0.003,0.02,0.027,0.024,0.024,0.028,0.04,,0.025,0.0031,0.0009
,,HpCDDs,,―,―,0.06,0.062,0.071,0.091,0.069,0.095,0.1,0.081,,,,HpCDDs,,,,0.056,0.042,,―,―,0.041,0.061,0.056,0.052,0.057,0.089,,0.062,―,―
,,OCDD,0.0003,0.021,0.006,0.083,0.074,0.1,0.12,0.085,0.16,0.13,0.081,,,,OCDD,0.0003,0.024,0.007,0.073,0.065,,0.021,0.006,0.069,0.073,0.089,0.13,0.098,0.12,,0.038,0.007,0.002
,,Total PCDDs,,―,―,0.37,0.35,0.43,0.58,0.41,0.57,0.61,0.44,,,,Total PCDDs,,,,0.26,0.2,,―,―,0.26,0.3,0.35,0.34,0.34,0.54,,0.34,―,―
PCDFs,,"1,2,7,8TeCDF",0,0.003,0.0009,0.011,0.011,0.012,0.014,0.0096,0.013,0.017,0.012,,PCDFs,,"1,2,7,8TeCDF",0,0.005,0.002,0.008,0.007,,0.003,0.0009,0.0058,0.0075,0.0082,0.0093,0.0086,0.011,,0.0076,0.001,0.0003
,,"2,3,7,8TeCDF",0.1,0.003,0.0009,0.0056,0.0057,0.0056,0.0093,0.0045,0.0079,0.0089,0.0065,,,,"2,3,7,8TeCDF",0.1,0.005,0.002,0.005,0.005,,0.003,0.0009,0.0032,0.0046,0.0057,0.004,0.0053,0.0067,,0.0043,0.001,0.0003
,,"1,3,6,8TeCDF",0,0.003,0.0009,0.014,0.012,0.013,0.018,0.0093,0.016,0.021,0.016,,,,"1,3,6,8TeCDF",0,0.005,0.002,0.01,0.01,,0.003,0.0009,0.0082,0.0091,0.011,0.013,0.0093,0.013,,0.012,0.001,0.0003
,,TeCDFs,,―,―,0.28,0.28,0.3,0.38,0.26,0.35,0.44,0.33,,,,TeCDFs,,,,0.21,0.2,,―,―,0.17,0.2,0.23,0.22,0.21,0.3,,0.23,―,―
,,"1,2,3,7,8PeCDF",0.03,0.006,0.002,0.009,0.008,0.007,0.012,0.008,0.013,0.016,0.009,,,,"1,2,3,7,8PeCDF",0.03,0.006,0.002,0.006,0.006,,0.006,0.002,0.005,0.007,0.007,0.006,0.006,0.01,,0.007,0.0019,0.0006
,,"2,3,4,7,8PeCDF",0.3,0.004,0.001,0.012,0.01,0.01,0.015,0.01,0.016,0.018,0.012,,,,"2,3,4,7,8PeCDF",0.3,0.004,0.001,0.009,0.007,,0.004,0.001,0.006,0.008,0.009,0.007,0.008,0.012,,0.011,0.0014,0.0004
,,PeCDFs,,―,―,0.19,0.18,0.18,0.24,0.16,0.24,0.29,0.21,,,,PeCDFs,,,,0.12,0.092,,―,―,0.091,0.12,0.14,0.11,0.12,0.19,,0.16,―,―
,,"1,2,3,4,7,8HxCDF",0.1,0.0033,0.0009,0.017,0.015,0.013,0.021,0.012,0.024,0.028,0.018,,,,"1,2,3,4,7,8HxCDF",0.1,0.01,0.003,0.011,0.008,,0.0033,0.0009,0.0079,0.0096,0.011,0.0089,0.012,0.014,,0.013,0.0011,0.0003
,,"1,2,3,6,7,8HxCDF",0.1,0.005,0.001,0.016,0.014,0.013,0.021,0.013,0.022,0.027,0.018,,,,"1,2,3,6,7,8HxCDF",0.1,0.009,0.003,0.009,0.008,,0.005,0.001,0.008,0.011,0.011,0.009,0.011,0.017,,0.013,0.0017,0.0005
