揮発性有機化合物（続き）,,,,,,,
（単位:μg/m3）,,,,,,,
測定地点（局）,,クロロホルム,"1,2-ジクロロエタン","1,3-
ブタジエン","酸化
エチレン",塩化メチル,トルエン
,中央区晴海,0.26,0.13,0.21,0.089,1.5,5.5
区,国設東京新宿,0.25,0.12,0.13,0.07,1.5,5.1
部,目黒区碑文谷,0.24,0.12,0.12,0.076,1.4,5.2
一,大田区東糀谷,0.24,0.11,0.32,0.098,1.5,7.2
般,板橋区氷川町,0.26,0.12,0.1,0.076,1.4,6.9
,練馬区石神井町,0.24,0.11,0.1,0.066,1.5,5.7
,足立区西新井,0.23,0.12,0.16,0.083,1.5,8.8
,江戸川区春江町,0.2,0.12,0.16,0.071,1.4,6.5
,区部一般環境 平均,0.24,0.12,0.16,0.078,1.5,6.4
,（令和2年度平均）,0.21,0.12,0.13,0.072,1.4,5.2
多,八王子市片倉町,0.17,0.08,0.07,0.041,1.5,4.5
摩,八王子市大楽寺町,0.14,0.07,0.07,0.047,1.4,3.8
一,小金井市貫井北町,0.27,0.11,0.09,0.068,1.4,6.1
般,東大和市奈良橋,0.18,0.11,0.1,0.062,1.4,6.6
,多摩部一般環境 平均,0.19,0.09,0.08,0.054,1.4,5.2
,（令和2年度平均）,0.16,0.11,0.07,0.059,1.4,4.7
都一般環境 平均,,0.23,0.11,0.13,0.07,1.5,6
,（令和2年度平均）,0.2,0.12,0.11,0.068,1.4,5
沿,京葉道路亀戸,0.24,0.12,0.5,0.09,1.5,7.3
道,環八通り八幡山,0.2,0.11,0.16,0.071,1.5,7.1
,沿道 平均,0.22,0.11,0.33,0.081,1.5,7.2
,（令和2年度平均）,0.17,0.12,0.15,0.072,1.4,5.1
檜原（バックグラウンド）,,0.14,0.11,0.03,0.042,1.2,1.5
,（令和2年度平均）,0.15,0.11,0.03,0.051,1.2,1.7
基準値等,,指針値,指針値,指針値,－,指針値,－
,,18,1.6,2.5,,94,
定量下限値,,0.14,0.17,0.08,0.01,0.12,0.06
検出下限値,,0.04,0.05,0.03,0.003,0.04,0.02
注1）測定値が検出下限値未満のときは、検出下限値の1/2として、年平均値を計算した。,,,,,,,
注2）結果は、有効数字2桁で表示。ただし下限値の桁までとした。,,,,,,,
注3）測定機器の変更等により、定量下限値及び検出下限値が、前年度とは異なる物質がある。,,,,,,,
注4）指針値（環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値）,,,,,,,
注5）地域別等の平均値は、当該地域の全測定値の平均であるため、各地点の年平均値を平均したものとは,,,,,,,
異なる場合がある。,,,,,,,
注6）塩化メチル及びトルエンは、2012（平成24）年度から、優先取組物質の扱いとなった項目である。,,,,,,,
