台帳番号,全解除,年度,文書記号,種別,番号,所在地,起点（地番）,起点ｘ座標,起点ｙ座標,回転角（度分秒）,調査区画数,調査種別（土壌概況/土壌詳細/地下水代表地点/地下水対象地境界/地下水詳細）,地点種別（一部対象混合/一部対象個別/全部対象/第一種代表地点/第二種・第三種代表地点）,評価区画,採取区画,深度(m),標高(TPm),標高(APm),TCE_GAS(ppm),PCE_GAS(ppm),DCM_GAS(ppm),VC_GAS(ppm),CCl4_GAS(ppm),EDC_GAS(ppm),"1,1-DCE_GAS(ppm)","1,2-DCE_GAS(ppm)","1,1,1-TCE_GAS(ppm)","1,1,2-TCE_GAS(ppm)","1,3-DCP_GAS(ppm)",Bz_GAS(ppm),TCE_GAS(WATER）(mg/l),PCE_GAS(WATER）(mg/l),DCM_GAS(WATER）(mg/l),VC_GAS(WATER）(mg/l),CCl4_GAS(WATER）(mg/l),EDC_GAS(WATER）(mg/l),"1,1-DCE_GAS(WATER）(mg/l)","1,2-DCE_GAS(WATER）(mg/l)","1,1,1-TCE_GAS(WATER）(mg/l)","1,1,2-TCE_GAS(WATER）(mg/l)","1,3-DCP_GAS(WATER）(mg/l)",Bz_GAS(WATER）(mg/l),TCE_Elu(mg/l),PCE_Elu(mg/l),DCM_Elu(mg/l),VC_Elu(mg/l),CCl4_Elu(mg/l),EDC_Elu(mg/l),"1,1-DCE_Elu(mg/l)","1,2-DCE_Elu(mg/l)","1,1,1-TCE_Elu(mg/l)","1,1,2-TCE_Elu(mg/l)","1,3-DCP_Elu(mg/l)",Bz_Elu(mg/l),Cd_Elu(mg/l),CN_Elu(mg/l),Pb_Elu(mg/l),Cr6+_Elu(mg/l),As_Elu(mg/l),Hg_Elu(mg/l),Se_Elu(mg/l),B_Elu(mg/l),F_Elu(mg/l),有機リン_Elu(mg/l),PCB_Elu(mg/l),チウラム_Elu(mg/l),シマジン_Elu(mg/l),チオベンカルブ_Elu(mg/l),Cd_Con(mg/kg),CN_Con(mg/kg),Pb_Con(mg/kg),Cr6+_Con(mg/kg),As_Con(mg/kg),Hg_Con(mg/kg),Se_Con(mg/kg),B_Con(mg/kg),F_Con(mg/kg),TCE_Wat(mg/l),PCE_Wat(mg/l),DCM_Wat(mg/l),VC_Wat(mg/l),CCl4_Wat(mg/l),EDC_Wat(mg/l),"1,1-DCE_Wat(mg/l)","1,2-DCE_Wat(mg/l)","1,1,1-TCE_Wat(mg/l)","1,1,2-TCE_Wat(mg/l)","1,3-DCP_Wat(mg/l)",Bz_Wat(mg/l),Cd_Wat(mg/l),CN_Wat(mg/l),Pb_Wat(mg/l),Cr6+_Wat(mg/l),As_Wat(mg/l),Hg_Wat(mg/l),Se_Wat(mg/l),B_Wat(mg/l),F_Wat(mg/l),有機リン_Wat(mg/l),PCB_Wat(mg/l),チウラム_Wat(mg/l),シマジン_Wat(mg/l),チオベンカルブ_Wat(mg/l)
T0013,○,2,環多改,土,65,国分寺市東恋ヶ窪二丁目３３番１５外１０筆,,,,,16,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,,,,,,,,,,,,320,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0013,○,2,環多改,土,65,国分寺市東恋ヶ窪二丁目３３番１５外１０筆,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0014,○,2,環多改,土,66,八王子市散田町３丁目７４５－１外５筆,,,,,49,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0015,,2,環多改,土,86,八王子市北野町５９６－３,,,,,11,土壌概況,,,,,,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,0.013,適合,適合,適合,適合,適合,適合,,適合,,,,適合,適合,適合,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
T0015,,2,環多改,土,86,八王子市北野町５９６－３,,,,,1,地下水代表地点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,,,,,,
T0015,,2,環多改,土,86,八王子市北野町５９－３,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0014,○,2,環多改,土,88,八王子市散田町３丁目７４５－１外５筆,,,,,3,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0016,○,2,環多改,土,94,国分寺市東恋ヶ窪３丁目２１番９外１５筆,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0016,○,2,環多改,土,94,国分寺市東恋ヶ窪３丁目２１番９外１５筆,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,適合,,,,,
T0016,○,2,環多改,土,115,国分寺市東恋ヶ窪３丁目２１番９外１５筆,,,,,32,土壌概況,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,適合,0.046,適合,,,,適合,0.87,,,,,,,適合,760,適合,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
